topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,10,2,10,10,false,1,10,512,100,2,0,2.8599999999999994
4,10,2,1000000,10,true,1,1000,512,10000,5,0,1.7
4,10,2,10,1,false,1,1000,1024,10000,2,0,nan
2,10,4,1000000,1,true,1000,1000,1024,10000,2,0,nan
4,1,4,1000000,10,true,1,1000,1024,10000,2,29,nan
4,1,2,10,1,true,1000,10,512,100,2,0,68.200000000000003
2,10,2,10,1,false,1000,10,512,100,2,0,nan
2,10,4,1000000,1,true,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,false,1000,10,1024,100,5,29,nan
4,10,4,1000000,1,true,1,10,512,100,5,0,nan
2,1,2,1000000,1,false,1,10,512,100,5,0,nan
2,10,4,1000000,10,false,1,10,1024,100,5,29,nan
4,1,4,10,10,false,1000,10,1024,100,5,0,1657.0
4,10,4,10,10,false,1,1000,512,10000,2,0,1.9500000000000002
4,1,4,10,10,true,1,10,512,100,2,29,2.0833333333333335
2,10,2,1000000,10,true,1,10,512,100,2,0,nan
4,10,4,10,10,true,1000,1000,1024,10000,5,29,1731.9624999999999
2,1,4,1000000,1,false,1000,10,1024,100,5,29,nan
4,1,2,1000000,10,true,1,1000,1024,10000,5,0,0.71666666666666679
2,10,4,1000000,1,false,1000,10,512,100,5,0,nan
4,1,2,1000000,10,false,1000,10,512,100,2,0,605.27499999999998
4,10,2,1000000,10,false,1000,1000,1024,10000,2,29,nan
2,1,2,10,1,true,1,10,512,100,5,0,nan
4,1,2,1000000,10,true,1000,10,1024,100,2,0,557.16000000000008
4,1,4,1000000,10,true,1000,1000,512,10000,2,0,910.00000000000011
2,1,4,1000000,10,false,1000,10,512,100,2,0,nan
2,1,4,1000000,1,false,1,10,1024,100,5,0,nan
2,1,4,10,10,true,1000,1000,512,10000,2,29,nan
2,10,4,10,10,true,1,1000,1024,10000,2,0,1.3999999999999997
2,10,2,10,1,true,1,1000,1024,10000,2,0,nan
4,10,4,1000000,10,true,1000,1000,1024,10000,5,29,481.30000000000001
2,1,2,10,1,true,1,1000,1024,10000,2,0,nan
4,1,4,1000000,1,true,1,10,1024,100,5,29,nan
4,10,4,1000000,10,true,1000,1000,1024,10000,2,0,nan
4,10,4,10,10,false,1,10,1024,100,5,0,2.1999999999999997
4,1,4,1000000,1,false,1,10,1024,100,5,29,nan
2,1,2,1000000,1,true,1,1000,1024,10000,2,0,nan
4,10,4,10,10,false,1,1000,1024,10000,2,29,2.4749999999999996
2,1,4,1000000,1,false,1000,10,1024,100,2,29,nan
2,10,4,10,10,true,1,10,1024,100,5,0,nan
4,1,2,10,10,false,1,10,512,100,2,0,2.5249999999999999
4,10,2,1000000,10,true,1,10,512,100,5,0,0.95999999999999996
4,10,4,1000000,1,false,1,1000,512,10000,5,29,nan
2,10,2,10,1,true,1,1000,512,10000,2,0,nan
4,10,4,10,10,false,1,1000,512,10000,2,29,2.6399999999999997
4,10,4,1000000,1,false,1,1000,512,10000,5,0,nan
4,10,2,1000000,10,true,1,10,1024,100,2,29,0.79999999999999993
4,10,4,1000000,1,false,1000,10,1024,100,2,0,46.5
4,1,2,10,10,false,1000,10,1024,100,2,0,1726.1199999999997
4,10,2,1000000,1,false,1,10,512,100,5,0,nan
2,1,2,10,1,true,1000,1000,1024,10000,5,0,nan
4,1,4,10,1,false,1,1000,512,10000,5,29,nan
2,1,4,1000000,10,false,1000,1000,512,10000,2,0,nan
4,10,2,10,10,true,1000,10,1024,100,5,0,1899.9142857142854
4,10,4,10,1,false,1000,1000,512,10000,5,29,26.733333333333334
2,10,4,1000000,1,false,1000,1000,1024,10000,5,0,nan
2,1,4,1000000,1,false,1000,1000,1024,10000,2,0,nan
2,1,4,10,1,true,1,1000,512,10000,2,0,nan
2,1,2,10,10,true,1000,10,512,100,5,29,nan
4,10,2,1000000,1,true,1,10,512,100,2,0,nan
4,10,4,10,1,false,1000,10,1024,100,5,29,nan
2,10,4,10,10,true,1000,10,1024,100,2,29,nan
2,1,2,10,10,true,1,10,1024,100,2,0,nan
2,10,4,1000000,10,true,1,1000,512,10000,2,29,nan
4,1,2,10,10,true,1000,1000,512,10000,5,0,2097.3333333333335
4,1,4,1000000,10,true,1,10,1024,100,5,29,93.700000000000003
2,1,2,10,1,true,1,10,512,100,2,29,nan
2,10,2,10,10,true,1,1000,1024,10000,2,29,nan
4,10,4,10,10,true,1,1000,512,10000,2,0,2.9909090909090907
4,10,2,1000000,10,true,1,1000,1024,10000,2,29,nan
4,1,2,1000000,1,false,1,10,512,100,5,0,nan
2,1,2,10,1,false,1000,1000,1024,10000,5,0,nan
4,10,2,1000000,10,true,1,1000,1024,10000,2,29,nan
2,1,4,1000000,10,true,1000,10,512,100,5,29,nan
4,1,4,10,10,false,1000,10,512,100,2,29,1945.1285714285711
4,10,4,10,10,false,1,1000,1024,10000,5,0,3.1333333333333333
4,1,4,10,1,false,1,10,512,100,2,29,nan
4,10,4,10,1,false,1,1000,512,10000,2,29,nan
4,10,4,1000000,1,false,1,1000,512,10000,2,29,nan
2,10,4,10,10,false,1,10,512,100,2,0,nan
2,1,2,10,1,false,1,1000,512,10000,5,0,nan
2,1,4,10,1,true,1000,10,512,100,2,29,nan
4,1,2,1000000,1,false,1,10,1024,100,5,0,nan
4,10,2,10,1,true,1000,1000,512,10000,2,0,52.600000000000001
4,10,4,1000000,10,true,1,1000,1024,10000,2,0,nan
2,10,2,10,1,false,1000,10,1024,100,2,0,nan
4,10,4,10,1,true,1,1000,512,10000,5,29,nan
4,10,2,1000000,1,true,1,1000,512,10000,5,0,nan
2,1,4,10,10,true,1,10,1024,100,5,0,nan
2,1,2,10,1,true,1,1000,1024,10000,2,0,nan
4,10,4,1000000,1,true,1000,10,1024,100,2,29,nan
4,10,4,10,10,false,1000,1000,512,10000,5,29,1721.625
2,10,4,10,10,false,1,1000,1024,10000,5,29,nan
4,10,4,10,10,true,1000,10,1024,100,2,29,1715.75
2,1,2,1000000,1,false,1000,1000,512,10000,2,0,nan
2,1,2,1000000,1,true,1000,1000,1024,10000,5,29,nan
4,1,2,1000000,10,false,1000,1000,1024,10000,2,0,389.12
4,10,2,1000000,10,false,1,10,1024,100,2,0,0.90000000000000002
4,10,2,1000000,10,true,1,1000,512,10000,2,0,1.1333333333333335
4,10,4,10,10,false,1,1000,512,10000,2,0,nan
4,10,4,10,10,false,1000,1000,1024,10000,5,0,1256.9818181818182
4,10,4,10,1,false,1,1000,1024,10000,2,29,nan
2,1,4,10,1,true,1,1000,1024,10000,5,29,nan
2,1,4,10,1,true,1000,1000,1024,10000,5,29,nan
4,10,4,1000000,1,true,1000,1000,512,10000,2,29,nan
2,10,2,10,10,true,1000,1000,512,10000,2,29,nan
4,1,2,10,10,true,1,10,1024,100,2,0,3.2000000000000002
2,1,4,10,1,false,1000,1000,1024,10000,2,29,nan
4,10,2,1000000,1,false,1000,10,1024,100,5,0,97.299999999999997
4,1,4,10,1,false,1,1000,1024,10000,5,29,nan
4,1,4,10,1,false,1,10,512,100,5,29,nan
2,10,4,10,1,false,1,1000,512,10000,5,0,nan
2,1,4,10,1,true,1,10,512,100,2,29,nan
2,1,4,10,1,false,1000,10,512,100,5,29,nan
4,1,4,1000000,1,false,1000,10,1024,100,5,29,28.300000000000001
4,10,4,10,1,true,1000,1000,512,10000,2,29,nan
2,1,4,1000000,1,true,1000,1000,512,10000,5,0,nan
2,1,4,10,1,false,1000,1000,1024,10000,2,29,25.699999999999999
4,1,2,10,10,true,1,1000,1024,10000,5,0,nan
4,1,2,1000000,10,true,1,10,512,100,2,29,1.8500000000000003
4,1,2,1000000,1,false,1000,10,1024,100,2,0,nan
4,10,4,10,1,false,1000,10,512,100,5,29,36.299999999999997
2,1,4,1000000,1,false,1000,10,512,100,2,0,nan
2,10,2,1000000,1,false,1000,1000,512,10000,2,0,nan
4,1,4,1000000,10,true,1000,10,512,100,5,29,nan
4,10,4,10,1,false,1,1000,512,10000,2,0,nan
2,1,2,1000000,10,true,1,1000,1024,10000,5,29,nan
4,1,4,10,10,true,1,10,1024,100,2,0,1.8571428571428574
4,10,4,1000000,10,false,1,10,512,100,5,29,nan
2,1,2,1000000,10,false,1,10,1024,100,5,0,nan
2,10,2,10,10,false,1,1000,1024,10000,5,29,nan
2,1,2,1000000,1,true,1,10,1024,100,5,29,nan
2,10,4,10,10,true,1,1000,512,10000,5,0,1.3999999999999999
2,1,4,10,1,false,1000,10,1024,100,5,0,nan
2,1,2,10,1,true,1000,1000,1024,10000,5,29,nan
2,10,4,10,1,true,1,1000,512,10000,5,0,nan
2,10,4,10,10,true,1,10,512,100,5,29,nan
2,1,4,10,1,true,1,10,512,100,2,0,nan
2,10,2,1000000,1,true,1000,1000,1024,10000,5,0,nan
4,1,4,10,1,true,1000,10,1024,100,2,29,45.0
4,1,2,1000000,10,true,1,1000,512,10000,2,29,1.0
4,1,2,1000000,1,true,1,1000,512,10000,5,0,nan
4,1,4,10,1,true,1,1000,512,10000,5,29,nan
4,10,4,1000000,1,false,1,10,1024,100,5,29,nan
2,1,2,10,1,true,1,10,512,100,5,29,nan
2,1,4,10,1,false,1,1000,1024,10000,2,0,nan
2,1,4,1000000,10,true,1000,10,512,100,2,29,nan
2,10,4,10,1,true,1,1000,1024,10000,2,0,nan
4,1,4,10,10,false,1000,1000,512,10000,2,0,2026.9749999999999
4,1,4,10,10,false,1000,1000,512,10000,2,29,1613.9714285714288
2,1,4,10,1,true,1,10,512,100,2,29,nan
2,1,2,1000000,1,false,1,10,1024,100,5,29,nan
2,10,4,10,10,false,1000,10,512,100,5,0,nan
4,10,2,10,10,true,1,1000,1024,10000,2,0,2.2999999999999998
4,10,4,1000000,10,true,1000,1000,1024,10000,2,29,1694.1250000000002
4,10,2,10,1,false,1,1000,512,10000,2,0,nan
4,10,4,10,1,false,1,10,512,100,2,29,nan
2,1,4,1000000,1,false,1,1000,1024,10000,5,29,nan
2,1,4,10,10,false,1000,1000,1024,10000,2,29,nan
4,10,2,1000000,10,true,1000,1000,1024,10000,5,29,461.625
2,1,2,10,1,true,1,1000,512,10000,2,0,nan
4,10,4,1000000,10,true,1,1000,1024,10000,5,29,66.900000000000006
4,10,4,10,10,false,1,1000,512,10000,5,0,2.2800000000000002
2,10,2,10,1,false,1000,1000,512,10000,2,0,nan
4,10,2,10,10,true,1000,10,1024,100,5,0,1827.5833333333333
4,10,4,10,10,true,1,1000,1024,10000,5,0,nan
4,1,2,10,1,true,1000,1000,512,10000,2,0,67.466666666666669
4,1,4,10,10,true,1000,10,1024,100,2,0,1705.5375000000001
4,1,2,1000000,10,false,1,10,512,100,5,0,0.81999999999999995
2,10,4,1000000,1,true,1000,10,512,100,2,0,nan
2,10,2,1000000,10,false,1000,10,1024,100,5,0,nan
2,1,4,10,1,true,1,10,512,100,5,29,nan
4,1,4,1000000,10,true,1,10,512,100,2,29,nan
4,10,2,1000000,1,true,1,1000,512,10000,2,0,nan
4,1,2,1000000,1,true,1000,1000,1024,10000,5,0,84.200000000000003
2,1,4,1000000,1,false,1,10,1024,100,2,0,nan
4,10,2,10,1,true,1000,10,512,100,2,0,60.100000000000001
2,1,4,1000000,1,true,1,1000,1024,10000,2,29,nan
4,1,4,10,1,true,1,1000,1024,10000,5,29,nan
4,10,4,1000000,10,false,1,10,512,100,2,0,nan
4,1,2,10,10,false,1,1000,512,10000,5,29,2.2000000000000002
4,1,4,10,10,true,1000,1000,1024,10000,2,0,1998.1875
2,1,4,1000000,1,true,1000,10,512,100,2,29,nan
2,1,2,1000000,1,false,1,10,1024,100,2,29,nan
2,10,4,10,1,false,1,10,1024,100,5,0,nan
2,10,4,10,10,true,1,1000,1024,10000,2,29,nan
2,1,2,1000000,1,false,1000,10,1024,100,5,29,nan
4,10,4,10,1,false,1000,1000,512,10000,5,29,31.600000000000001
4,1,4,1000000,10,false,1000,10,512,100,2,0,279.30000000000001
4,10,2,10,10,true,1000,1000,512,10000,2,29,2116.3857142857141
2,10,4,10,10,false,1,10,1024,100,5,0,nan
2,10,2,10,10,false,1,1000,512,10000,5,0,1.3999999999999999
2,1,2,1000000,10,true,1,10,1024,100,2,0,nan
2,1,2,10,1,false,1,1000,512,10000,2,0,nan
4,1,2,1000000,10,true,1,10,512,100,5,0,0.6333333333333333
2,10,4,1000000,10,false,1000,10,512,100,5,0,nan
4,1,2,10,10,true,1000,1000,1024,10000,2,0,nan
2,1,4,10,1,false,1000,10,1024,100,2,29,nan
4,10,4,10,1,true,1,10,1024,100,5,29,nan
4,1,2,1000000,1,false,1000,10,512,100,5,0,54.799999999999997
2,1,4,1000000,1,false,1000,10,512,100,5,29,nan
2,1,2,1000000,1,true,1,1000,512,10000,2,29,nan
2,1,2,1000000,10,true,1,10,512,100,2,29,nan
2,1,2,10,1,true,1,10,1024,100,2,0,nan
2,1,4,1000000,1,true,1000,10,512,100,2,29,nan
2,1,2,10,10,false,1000,10,512,100,5,29,818.39999999999998
4,10,4,10,10,false,1000,1000,1024,10000,2,0,1699.3
2,10,2,10,1,true,1000,1000,512,10000,2,0,nan
2,1,2,1000000,1,true,1,1000,512,10000,5,29,nan
4,1,4,1000000,1,false,1,1000,1024,10000,5,29,nan
4,1,2,10,1,false,1000,10,1024,100,2,0,79.299999999999997
4,1,4,10,1,false,1000,1000,512,10000,5,29,21.600000000000001
4,10,4,10,1,false,1,10,1024,100,2,0,nan
2,10,4,10,10,false,1,1000,512,10000,5,29,nan
2,1,2,1000000,1,false,1,10,512,100,5,29,nan
4,10,4,1000000,1,true,1000,10,1024,100,2,29,30.966666666666665
4,10,4,1000000,10,false,1000,1000,512,10000,2,29,nan
2,10,2,10,1,false,1000,1000,1024,10000,5,0,nan
4,1,4,1000000,10,true,1,1000,1024,10000,2,29,nan
2,10,4,10,10,false,1,10,1024,100,5,29,nan
4,10,2,1000000,10,false,1000,1000,1024,10000,2,0,nan
2,1,2,1000000,10,true,1,10,512,100,2,0,nan
2,1,2,10,10,false,1000,10,1024,100,5,29,892.70000000000016
2,10,4,1000000,10,true,1,10,1024,100,5,0,nan
4,10,4,10,1,false,1,10,512,100,5,29,nan
4,10,4,1000000,10,false,1,1000,512,10000,2,29,nan
4,10,2,10,10,false,1000,1000,1024,10000,5,29,1791.5
4,1,2,1000000,10,true,1000,10,1024,100,5,29,nan
4,10,4,1000000,1,true,1,1000,512,10000,2,29,nan
2,1,4,1000000,1,true,1,1000,512,10000,5,29,nan
4,10,2,10,1,true,1,10,512,100,5,0,nan
2,1,2,1000000,1,false,1000,1000,1024,10000,5,0,nan
4,1,2,10,1,false,1000,1000,1024,10000,5,29,72.200000000000003
2,10,4,10,10,false,1000,1000,1024,10000,5,29,699.57499999999993
4,10,4,1000000,10,true,1,10,512,100,5,29,nan
4,1,4,1000000,10,true,1000,1000,512,10000,5,0,1219.8
2,1,4,10,1,true,1,1000,512,10000,2,29,nan
2,10,2,10,10,false,1,1000,1024,10000,2,0,nan
4,10,4,10,1,true,1000,10,512,100,5,29,30.5
2,10,4,10,10,false,1,1000,1024,10000,2,0,1.9285714285714286
2,1,4,10,1,true,1,10,1024,100,5,0,nan
4,10,4,1000000,1,false,1,1000,1024,10000,5,29,nan
2,10,4,10,10,false,1000,10,1024,100,5,0,531.11249999999995
2,1,4,10,10,true,1,10,512,100,5,0,1.3999999999999999
4,10,4,1000000,10,false,1,1000,1024,10000,5,0,nan
2,1,2,10,10,false,1000,1000,512,10000,2,29,857.47500000000002
