SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq
1,0,0,1,1,1,1,0,0,0,1,1,1,0,13.653
1,0,0,1,0,0,1,1,0,0,0,0,0,1,10.801
1,1,1,0,0,1,0,0,1,0,1,0,1,1,10.652
0,0,1,1,0,1,0,1,1,1,0,0,0,0,10.807
1,0,0,0,1,1,0,1,0,1,1,1,1,0,13.663
1,1,1,0,0,0,0,1,0,0,0,0,0,1,10.821
0,0,1,0,1,1,1,0,0,0,1,0,0,0,10.69
1,1,1,0,0,0,0,0,0,1,1,0,0,0,10.748
0,0,0,0,0,1,1,1,1,0,0,1,1,0,13.802
0,0,1,1,1,0,1,1,0,0,1,0,0,0,10.638
0,1,0,0,0,1,1,1,1,1,0,1,1,0,13.82
0,0,0,1,0,0,0,0,0,1,1,0,0,1,10.658
1,0,0,0,1,1,0,1,0,1,1,1,0,0,13.886
0,0,1,1,0,0,1,1,0,1,1,1,1,0,13.475
0,1,1,1,1,0,1,0,0,0,1,0,1,0,10.604
0,0,0,1,0,0,0,0,0,1,0,1,1,0,13.491
0,1,0,1,0,0,1,0,0,1,1,0,1,1,10.593
0,0,1,1,1,0,1,0,1,1,1,0,1,0,10.61
0,0,0,1,1,0,1,0,1,1,0,0,1,0,10.635
0,0,1,0,0,0,0,0,1,0,1,0,1,1,10.534
0,0,1,0,1,0,1,0,0,0,0,0,0,1,10.744
0,1,1,1,1,1,1,0,1,1,0,1,1,1,13.516
1,1,0,1,0,0,0,1,0,1,0,1,0,0,13.905
1,0,1,1,0,0,0,1,1,1,1,0,0,0,10.681
1,1,0,0,1,1,1,0,0,0,0,1,1,0,13.665
1,0,0,1,1,1,1,0,1,1,1,1,0,1,13.749
0,0,0,0,0,1,0,1,0,0,0,0,0,1,10.952
1,1,1,1,1,1,1,1,1,1,1,0,0,1,10.913
0,0,1,1,0,0,1,1,0,0,1,1,0,0,13.632
1,1,1,0,1,0,1,1,1,1,0,1,0,0,14.068
0,0,0,1,1,0,0,0,0,1,1,0,1,0,11.087
1,1,0,0,1,0,0,0,1,0,0,1,1,0,13.754
0,1,0,1,1,0,0,0,0,0,0,1,1,0,13.621
1,0,0,1,0,1,0,0,1,1,1,1,1,0,13.788
1,1,1,1,1,1,0,0,1,1,1,0,0,0,11.028
1,0,1,0,1,1,0,0,1,1,1,1,0,1,13.817
0,0,1,1,0,1,0,1,0,0,1,1,0,1,14.523
0,1,0,1,0,0,1,1,1,1,1,0,1,1,10.874
1,0,0,1,1,1,1,0,1,0,0,1,1,0,13.843
1,0,0,1,1,0,1,0,1,1,0,1,1,0,13.762
0,0,1,1,0,0,0,0,1,1,0,0,1,0,10.677
0,0,0,0,1,1,1,1,1,0,1,0,1,0,10.81
1,0,0,1,1,1,1,1,1,0,1,0,0,1,10.738
1,1,0,0,0,1,0,0,1,0,0,1,0,0,13.679
1,0,1,1,0,0,0,0,0,0,1,1,0,0,13.989
1,0,1,0,1,0,0,0,1,0,0,1,0,0,13.656
0,1,1,1,1,1,0,1,1,0,0,0,0,0,10.752
0,1,0,0,0,1,0,0,1,0,1,1,0,0,13.66
1,0,0,0,1,1,0,0,0,1,1,0,0,1,10.595
1,1,0,1,1,0,0,1,1,0,0,1,0,0,13.82
1,0,1,1,0,1,0,1,1,1,1,0,1,1,10.703
0,1,1,0,1,1,1,0,0,1,1,0,0,1,10.989
1,1,0,1,0,0,1,1,0,0,1,1,1,0,13.743
0,1,0,1,1,0,1,1,0,1,1,0,1,0,10.578
1,0,0,1,1,0,1,1,0,1,0,1,0,1,13.814
1,1,1,0,1,0,0,0,1,0,0,0,0,1,10.915
0,0,1,1,0,0,1,0,0,1,0,1,0,1,13.641
0,1,1,0,0,0,1,1,0,0,1,0,0,1,11.116
0,1,1,1,1,1,0,0,0,1,1,1,0,1,13.738
1,0,1,0,0,0,1,0,1,0,0,1,0,0,13.974
0,0,1,0,0,1,1,0,1,0,0,0,1,1,10.433
1,1,1,0,0,0,0,1,0,0,1,1,1,1,14.136
0,0,0,1,0,1,1,1,1,1,0,0,0,0,10.677
0,1,1,0,0,0,0,0,1,0,1,1,1,1,13.941
0,1,0,0,0,0,0,1,0,1,1,1,1,0,13.602
0,1,1,1,1,0,1,1,1,1,1,0,0,0,10.691
0,0,0,1,1,0,0,0,0,1,1,1,0,1,13.833
1,0,1,0,0,1,0,0,0,0,0,0,1,1,10.639
1,0,1,0,1,1,0,0,1,1,0,1,0,0,13.945
0,1,1,1,0,1,0,0,0,0,0,1,0,0,13.683
1,0,1,1,0,1,0,1,0,0,0,0,1,1,11.486
0,1,1,1,1,0,0,1,1,1,1,0,0,0,10.707
0,1,0,1,1,0,1,0,0,1,1,0,1,0,10.542
0,0,1,1,1,0,0,1,1,1,1,0,1,0,10.868
1,0,1,1,1,1,1,1,0,1,1,0,1,0,10.623
0,0,1,1,1,0,1,0,0,1,1,1,0,1,14.012
1,1,0,0,0,0,1,1,1,1,1,0,1,0,10.8
0,1,1,1,0,1,0,0,0,0,1,1,1,0,14.188
1,1,1,1,0,1,1,1,1,1,1,0,1,1,10.538
1,1,1,0,0,0,1,0,0,1,1,0,1,1,10.588
1,0,0,0,0,1,1,1,1,1,0,1,1,0,14.252
1,1,0,1,1,0,1,1,0,1,0,1,1,1,13.602
1,0,1,1,1,1,0,0,1,0,1,0,0,1,10.723
0,0,1,1,0,0,1,0,0,0,1,0,1,0,10.459
1,1,0,1,0,1,0,1,0,1,0,0,0,0,10.828
1,1,1,0,0,1,1,0,1,0,0,1,0,0,13.888
1,1,0,1,0,1,1,0,1,1,0,1,0,1,13.902
1,0,1,0,1,0,1,1,0,1,0,1,1,0,13.75
1,0,1,1,0,1,0,0,1,0,1,1,0,1,13.961
1,0,0,0,1,0,0,1,0,1,1,0,1,1,10.67
1,0,0,1,0,0,0,1,1,1,1,0,0,0,10.678
1,0,1,0,0,1,1,1,1,1,1,0,0,1,10.677
1,0,0,0,0,1,0,1,0,0,0,0,1,0,10.969
0,1,1,1,1,1,0,0,1,1,0,0,1,1,10.854
1,1,1,1,1,1,0,1,0,0,0,1,1,0,14.286
1,1,1,1,0,0,1,0,1,1,0,0,1,0,10.623
0,1,0,1,0,0,1,0,1,0,0,1,0,0,13.924
0,1,0,1,1,0,1,0,1,1,1,0,0,1,10.88
0,0,1,1,0,1,0,1,1,0,0,0,0,0,10.91
0,0,1,1,0,1,0,1,0,1,0,0,1,0,10.679
0,0,0,1,1,0,0,0,0,1,1,0,1,0,10.59
0,1,1,0,1,0,0,1,0,0,0,1,1,0,14.063
0,1,1,1,0,1,0,1,0,0,1,1,1,1,13.752
1,1,0,0,1,1,1,0,0,1,1,1,1,1,13.902
1,1,1,0,0,0,0,1,1,0,0,1,1,1,13.648
1,1,1,1,1,1,0,1,1,0,0,0,1,0,10.68
1,1,0,0,0,1,0,1,1,0,1,1,1,0,13.867
0,1,0,0,0,1,0,1,1,0,0,1,0,0,14.54
1,0,1,1,1,1,0,1,1,0,0,1,1,1,13.8
1,0,0,1,1,1,0,0,1,0,1,0,1,1,10.874
0,1,0,1,1,1,0,1,1,0,0,1,1,0,13.615
1,1,1,1,1,1,1,1,1,0,0,0,1,0,10.724
0,0,1,1,1,1,0,1,1,1,1,1,1,1,13.581
0,1,1,0,0,0,0,0,0,1,0,1,1,1,13.642
1,0,1,0,0,0,1,1,1,0,0,0,0,1,10.985
1,1,0,1,0,0,0,0,0,0,0,0,1,0,10.762
0,1,1,0,1,1,1,1,1,1,0,0,1,1,10.674
1,1,1,1,1,0,1,0,1,0,0,0,1,1,10.767
1,1,1,0,0,1,0,0,0,1,1,1,0,0,13.746
0,1,1,1,1,0,1,0,0,1,1,1,1,0,14.146
1,1,1,1,1,0,1,0,1,1,0,1,1,0,13.663
1,0,0,0,1,0,1,1,1,1,0,0,0,0,10.764
0,1,0,0,0,1,0,1,1,0,0,1,1,1,13.663
0,1,0,0,1,0,0,1,1,1,0,0,1,1,10.444
0,1,1,0,0,0,0,0,1,1,0,1,0,1,13.913
1,0,0,1,1,1,0,1,0,1,1,1,1,0,13.97
0,0,1,0,1,0,0,1,1,1,1,0,1,0,10.544
0,1,1,1,1,0,0,1,1,1,1,1,1,1,13.983
1,0,0,1,1,1,0,1,0,1,1,1,0,1,13.77
0,0,0,1,0,0,1,0,0,1,1,1,1,1,13.91
1,0,0,0,1,1,1,0,0,0,0,0,0,0,10.789
1,1,0,1,0,1,1,0,1,1,0,0,0,1,10.872
1,1,1,0,1,0,1,1,0,0,1,1,0,1,14.303
0,0,1,0,0,0,0,0,1,0,0,0,0,1,10.832
1,1,0,1,1,0,1,0,1,1,1,1,1,1,13.853
0,0,1,1,1,1,0,1,0,0,0,1,0,1,14.025
0,0,1,1,1,1,1,0,1,0,0,1,0,0,13.663
0,1,1,1,0,0,0,0,0,1,1,1,1,1,13.694
0,1,1,0,1,1,0,0,1,1,1,1,0,1,13.639
1,0,0,1,1,1,1,0,0,1,0,1,0,0,13.899
0,1,0,1,1,1,1,1,1,0,0,1,1,1,13.588
1,0,1,1,0,0,0,0,0,0,1,1,1,0,13.568
1,1,0,0,0,1,0,1,0,1,1,1,0,1,13.699
0,1,0,0,0,0,0,1,1,0,0,0,0,1,10.618
0,1,1,0,1,0,1,0,0,0,0,1,1,1,13.636
1,0,1,1,0,0,0,0,1,1,1,0,0,0,10.773
1,1,1,0,1,1,0,1,1,0,0,1,0,1,13.776
0,1,1,1,1,1,1,0,0,1,0,0,0,0,11.175
1,0,1,0,1,1,0,1,1,1,1,1,1,0,14.189
0,0,1,0,1,0,0,1,1,0,0,1,0,0,13.665
1,0,0,1,1,1,0,1,0,1,0,0,1,0,10.646
1,0,1,1,1,0,0,0,1,0,0,1,0,1,13.885
1,0,0,0,1,1,1,1,1,1,1,1,0,0,13.991
0,0,0,0,1,0,0,1,0,0,0,0,1,0,10.638
0,1,1,0,0,0,1,0,0,1,1,1,1,1,13.813
0,1,1,1,0,1,1,0,1,1,0,1,0,0,13.715
0,0,0,0,1,1,1,1,1,0,0,1,1,1,13.796
1,1,1,0,0,1,1,0,1,0,0,1,1,1,13.673
0,1,1,0,0,1,1,0,1,0,0,0,0,0,10.814
1,1,1,0,0,1,0,1,1,1,1,0,1,0,10.817
0,1,1,1,0,1,0,0,1,0,0,0,1,0,10.636
1,1,1,1,0,1,0,0,1,0,1,1,1,1,14.146
1,1,1,0,1,0,1,1,0,1,1,1,0,0,14.25
1,1,0,1,0,0,1,0,0,0,0,1,0,0,13.678
1,1,0,0,1,0,0,0,1,1,1,0,1,1,10.568
1,1,0,0,0,1,0,1,0,0,0,1,0,0,13.966
0,1,0,1,1,1,1,0,0,1,1,0,0,0,10.703
0,1,0,0,1,1,0,0,0,0,0,1,1,1,13.768
0,0,1,0,1,1,1,1,0,1,0,0,1,0,10.717
0,0,0,0,0,1,1,1,1,0,1,0,1,1,10.59
0,1,1,1,1,1,0,0,0,1,0,1,0,1,13.753
1,1,1,1,1,0,1,0,1,0,0,1,1,1,14.192
0,1,1,1,0,1,1,0,0,1,1,0,1,1,10.833
0,0,0,0,0,0,1,0,1,0,1,0,0,0,10.919
0,0,0,1,0,0,0,0,1,0,1,0,0,1,10.962
0,1,0,0,0,0,0,0,0,1,1,0,1,1,10.761
1,1,0,0,1,1,1,1,1,1,1,0,0,1,10.742
0,1,0,1,0,0,1,0,1,0,0,0,1,0,10.892
1,1,1,1,0,0,1,0,0,1,1,1,0,1,13.798
1,1,0,1,0,0,0,0,0,1,1,0,1,0,10.647
1,0,0,1,1,1,1,1,0,0,0,0,0,1,10.86
0,0,0,1,0,1,1,1,1,0,0,1,0,1,13.655
1,1,0,0,0,0,1,0,1,1,0,0,1,0,10.649
0,0,0,1,1,1,0,1,1,0,1,0,1,0,10.451
1,1,0,0,1,1,1,1,0,0,1,0,1,1,10.699
0,1,0,1,0,1,0,1,1,1,0,1,0,1,14.251
0,0,1,1,1,0,0,0,0,1,1,1,1,1,13.829
1,0,0,0,1,0,1,1,1,0,0,1,1,0,13.409
0,0,1,1,1,1,1,1,0,0,1,1,0,1,14.152
0,0,1,1,0,0,1,1,1,1,1,0,1,1,10.486
0,1,0,0,1,1,1,0,0,1,1,1,1,1,13.924
1,0,1,0,1,1,0,1,1,0,0,0,0,1,10.703
0,1,1,0,1,0,1,1,0,0,0,0,0,0,10.604
1,0,0,0,0,0,1,1,0,0,0,1,1,0,13.632
1,1,1,1,1,1,1,0,1,0,1,0,0,0,10.928
0,0,0,1,0,1,1,0,1,1,0,0,0,1,11.36
1,0,0,1,1,0,0,1,0,1,1,0,0,0,10.672
1,0,0,1,0,0,1,0,0,0,1,0,1,0,10.502
1,1,1,0,0,1,0,0,0,0,0,1,1,0,13.52
1,1,0,1,1,1,1,0,0,0,1,0,1,1,11.192
1,0,1,1,0,1,0,1,0,1,1,1,1,0,14.109
1,0,1,1,1,0,0,0,1,1,1,1,1,0,13.709
1,0,1,0,0,1,0,0,1,0,1,0,0,0,10.965
0,0,1,0,0,0,1,1,1,1,0,1,1,1,13.752
0,1,1,1,0,1,0,1,1,0,0,0,0,0,10.705
0,0,1,0,0,0,1,1,1,0,1,1,1,1,13.552
0,1,0,0,1,0,0,1,1,0,1,1,0,1,13.625
1,1,1,1,0,1,1,0,1,0,1,1,1,0,13.649
1,1,0,0,1,0,1,1,0,1,1,0,0,1,10.879
1,0,1,1,1,1,0,1,1,1,1,1,1,1,13.599
0,0,1,1,1,0,1,0,1,1,1,1,1,0,13.71
0,1,0,1,1,1,1,1,1,0,1,0,1,1,10.604
0,0,0,0,0,1,1,0,1,1,1,0,1,0,10.534
1,0,0,0,0,0,1,1,0,1,1,0,1,0,10.827
0,0,0,1,0,0,0,0,0,1,0,0,1,1,10.538
1,1,0,1,0,0,1,1,1,0,0,1,1,1,13.593
1,0,0,0,1,1,1,1,0,0,0,1,0,1,13.838
1,0,1,0,1,0,1,1,0,1,0,1,0,0,13.897
1,0,1,0,1,1,0,1,0,1,1,1,0,1,13.717
1,0,1,1,0,0,0,0,1,1,1,1,1,0,13.993
0,0,1,0,1,1,1,0,0,0,0,0,1,0,10.628
0,1,0,1,1,1,1,1,1,1,1,0,1,0,10.784
0,1,0,1,0,0,0,0,0,0,1,0,1,0,11.309
1,0,0,1,0,0,1,1,0,1,1,1,0,1,13.92
0,1,0,0,0,0,0,0,1,1,0,0,0,1,11.096
0,0,1,0,0,1,1,0,1,1,1,1,0,0,14.453
1,0,1,1,0,1,1,1,1,0,0,0,1,1,10.609
0,1,0,0,1,1,1,1,0,0,0,1,1,0,13.629
1,1,0,0,0,0,0,1,1,1,0,1,0,0,13.878
0,0,1,1,0,1,1,1,0,0,0,1,1,0,13.57
1,0,1,0,0,0,1,1,1,0,1,0,0,1,10.887
0,1,1,0,0,1,0,0,0,1,1,0,0,1,10.829
1,1,0,0,0,0,0,0,0,0,0,1,1,1,14.356
1,0,0,1,0,1,0,0,1,0,1,1,0,0,13.751
1,1,1,0,1,0,1,1,0,1,0,0,0,1,11.146
1,1,0,0,1,1,0,1,0,0,0,1,1,1,13.603
1,0,1,1,0,1,1,1,1,1,0,1,0,1,13.988
0,0,0,0,1,0,1,1,1,0,1,0,0,1,11.303
0,1,1,1,0,1,0,1,0,1,1,1,0,1,13.87
0,0,1,0,1,1,0,0,0,0,0,1,1,1,13.56
0,1,0,1,0,1,0,0,1,0,1,1,1,1,13.575
0,1,1,0,0,0,1,1,0,0,0,0,0,1,10.599
0,1,1,1,1,0,1,0,0,0,0,0,0,1,10.715
1,1,1,1,0,1,0,0,1,0,0,1,0,1,13.624
1,0,1,0,0,1,0,1,1,0,1,1,0,0,13.737
1,0,1,0,0,0,0,1,1,0,1,0,1,0,10.96
0,1,1,0,0,1,0,0,1,0,1,0,1,1,10.669
0,0,0,0,0,0,1,0,1,0,1,1,1,0,13.569
0,0,1,0,1,1,1,0,1,0,0,1,0,0,13.951
0,0,1,1,1,0,0,0,1,0,0,1,0,0,13.582
1,0,1,1,1,0,0,1,0,0,1,1,1,0,13.798
0,0,1,0,1,1,0,1,0,1,0,0,1,1,10.93
1,1,0,0,1,0,0,1,1,1,1,0,1,1,11.208
1,1,0,0,1,1,0,1,0,0,0,1,0,1,13.659
1,0,1,1,0,0,0,0,0,1,0,0,1,0,10.709
1,1,0,0,0,1,0,0,1,1,0,0,1,0,10.654
0,1,0,1,1,0,0,0,0,0,0,1,1,0,13.676
1,0,0,1,0,1,0,0,0,0,1,0,0,1,10.61
1,1,1,0,0,1,0,1,1,0,0,0,1,0,10.638
1,0,0,1,0,1,1,0,1,1,1,1,1,1,13.697
1,1,0,1,1,0,1,1,1,1,1,1,1,0,13.715
1,0,0,1,1,1,1,1,0,1,1,0,0,1,10.914
0,0,1,0,1,1,0,0,0,1,0,0,1,0,10.573
1,1,1,1,0,0,0,1,0,0,0,0,0,0,10.905
1,1,1,1,0,0,1,1,0,0,0,0,0,1,10.883
0,1,1,0,0,0,1,1,1,1,0,1,0,1,14.062
0,0,0,1,1,0,1,0,0,0,0,1,1,0,14.085
0,1,0,1,1,0,1,0,1,0,0,0,1,0,10.708
0,0,0,0,1,0,0,1,1,0,1,1,0,1,13.581
1,1,0,0,0,1,1,1,1,1,1,0,0,0,10.708
0,1,0,1,1,1,0,1,0,1,0,0,0,1,10.877
1,0,0,1,0,0,0,1,0,0,1,1,0,0,13.918
0,0,0,1,1,0,1,1,1,0,1,1,0,1,13.912
1,1,0,1,0,0,1,0,0,1,1,0,1,0,10.756
0,0,0,1,0,1,0,1,1,0,1,1,0,1,14.006
1,1,1,0,0,1,1,1,1,1,0,1,1,0,13.803
0,1,0,0,0,1,1,1,0,1,1,0,1,0,10.493
1,1,0,0,0,0,1,1,1,1,1,1,0,1,13.729
1,0,0,1,1,1,1,1,1,0,0,0,1,1,10.74
1,1,0,0,1,0,0,0,0,1,0,0,1,1,10.759
1,0,0,1,1,1,1,1,1,1,1,1,0,1,13.884
1,1,0,0,0,1,0,0,1,1,1,0,1,1,10.547
1,0,1,1,1,0,1,0,0,0,0,1,1,1,13.476
1,1,1,1,1,1,0,0,0,1,1,0,0,0,10.9
0,1,1,1,1,1,0,0,0,1,0,1,1,1,13.601
0,0,1,1,1,1,1,1,1,0,0,0,1,0,10.657
1,0,1,1,1,1,0,1,0,1,1,0,1,0,10.637
0,1,0,1,1,0,0,1,1,0,0,1,0,0,13.766
1,1,0,0,0,1,1,1,1,0,0,0,0,1,10.785
0,0,0,1,1,1,0,1,0,1,0,1,0,1,13.733
0,1,1,1,0,0,1,1,1,1,1,0,0,1,10.904
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13.841
1,1,0,1,1,1,0,0,1,1,1,0,0,0,10.71
0,1,0,1,0,0,1,1,0,1,0,0,0,1,11.142
0,0,1,0,0,0,1,0,0,0,0,1,0,1,13.654
0,1,0,0,1,0,0,1,0,1,0,1,1,0,13.709
0,0,1,0,1,1,1,1,0,0,0,0,1,1,10.721
0,0,0,0,0,0,0,0,1,1,0,0,0,0,10.971
0,0,0,0,0,0,1,1,1,1,0,0,1,0,10.529
1,1,1,1,1,0,1,0,1,0,1,0,0,0,10.891
0,0,1,0,1,1,0,1,0,0,0,0,1,1,10.809
0,0,1,0,0,1,0,0,1,0,0,1,1,0,13.467
1,0,0,0,1,0,0,1,1,0,1,1,1,0,13.591
1,0,0,1,1,0,0,0,0,0,1,0,0,1,11.406
0,0,0,1,0,1,1,0,0,1,0,0,0,0,10.932
0,1,1,1,0,0,0,0,0,1,0,1,0,0,13.926
0,1,1,1,1,0,1,1,1,0,1,0,1,0,10.617
1,0,1,0,0,1,1,0,0,0,0,0,0,0,10.791
1,0,0,0,1,0,0,1,1,1,0,1,1,0,13.881
0,1,1,0,0,0,1,0,0,0,1,1,0,1,13.834
1,0,1,0,1,1,1,0,0,1,1,0,0,0,10.81
1,0,0,1,0,0,1,0,0,1,1,1,0,1,13.798
1,0,0,0,0,0,1,1,1,0,1,0,1,0,10.496
1,1,0,0,0,0,0,1,0,0,1,1,1,0,13.577
0,1,1,1,0,0,1,1,0,1,1,1,1,0,13.611
1,1,0,1,1,0,0,1,0,0,1,1,0,0,13.626
1,1,0,1,0,0,1,0,0,1,1,1,1,1,14.0
0,1,0,0,0,1,0,1,0,1,1,1,1,0,13.487
0,1,1,1,1,0,0,1,0,1,1,0,1,1,11.022
0,0,0,0,0,0,1,0,1,0,1,0,1,1,10.61
0,1,1,1,1,0,0,0,1,0,0,0,0,0,10.913
0,1,1,1,1,1,1,1,0,0,1,0,1,1,10.65
0,1,0,0,1,0,0,1,0,1,0,0,1,1,10.711
1,0,1,0,0,0,0,1,0,0,1,1,0,0,13.892
1,1,0,0,1,0,0,1,0,0,0,0,1,0,10.975
0,1,0,0,1,1,1,0,1,0,1,1,1,1,13.541
1,1,1,0,0,1,0,1,1,0,1,0,0,1,10.818
1,0,0,0,0,0,1,0,1,1,1,0,1,1,10.934
1,0,0,1,1,0,1,1,1,1,1,1,1,1,13.625
1,1,0,1,1,1,0,0,1,1,0,1,0,0,14.406
0,1,1,1,0,0,1,1,1,1,1,0,0,0,10.542
0,0,0,1,0,1,0,1,0,0,1,0,0,0,10.879
1,0,1,0,0,1,1,0,0,1,1,1,1,0,13.885
0,1,1,0,0,0,0,1,1,1,0,0,1,0,10.611
1,0,0,1,0,1,1,0,0,1,1,1,1,1,13.736
1,0,1,0,1,0,0,0,1,1,1,0,1,0,10.679
1,0,1,1,1,1,1,0,0,1,1,1,1,0,13.578
0,1,1,0,1,1,1,1,0,1,0,1,0,0,13.802
0,0,1,0,0,0,0,0,1,0,1,1,0,1,14.024
0,1,1,1,0,0,0,0,0,0,0,1,0,1,13.69
0,0,1,1,0,0,1,0,0,1,0,0,1,0,11.107
0,1,1,0,0,1,1,0,0,1,0,1,0,0,13.715
0,1,0,1,0,0,0,1,0,0,1,1,0,0,13.537
0,0,1,1,0,1,0,1,0,1,0,1,1,1,13.68
1,1,0,0,0,0,1,1,0,1,1,1,1,0,13.734
0,1,1,1,1,0,1,1,1,1,0,0,0,0,10.671
0,1,0,0,0,0,1,0,0,1,1,0,0,0,10.704
1,0,1,0,0,1,0,1,0,0,1,1,1,0,13.637
0,0,1,1,0,1,1,1,0,1,0,0,0,1,10.89
0,0,1,1,0,1,1,0,0,0,0,1,0,0,13.731
1,1,0,1,1,1,1,0,1,1,0,0,0,0,10.998
1,1,0,0,0,0,0,1,0,1,0,1,1,0,13.831
0,0,1,0,0,0,1,0,1,0,0,1,1,0,13.581
0,0,0,0,1,0,0,1,0,1,1,1,1,1,13.937
0,1,0,1,1,1,0,1,0,0,0,1,1,1,13.735
1,0,0,0,1,0,0,0,0,1,0,1,1,1,13.688
1,0,1,1,0,0,0,1,1,0,1,0,1,0,11.169
0,0,1,0,1,1,1,1,0,0,0,0,0,1,10.963
1,0,0,0,0,1,0,0,1,0,0,1,1,0,13.574
1,0,0,0,1,1,1,1,0,1,0,0,0,1,11.062
0,1,1,1,0,0,0,0,0,0,0,0,1,1,10.797
1,1,0,1,0,1,0,1,1,1,0,0,0,0,10.992
0,1,1,1,0,0,0,1,1,1,0,0,0,0,11.451
0,1,1,1,1,1,0,0,1,1,1,1,1,1,13.814
1,0,0,0,0,0,0,0,0,0,1,0,1,0,10.633
0,1,0,1,0,0,0,1,1,1,0,1,0,0,14.085
0,1,0,0,0,0,1,1,1,1,1,0,0,1,10.677
