SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom
1,0,0,1,1,1,1,0,0,0,1,1,1,0,6.211
1,0,0,1,0,0,1,1,0,0,0,0,0,1,6.314
1,1,1,0,0,1,0,0,1,0,1,0,1,1,6.196
0,0,1,1,0,1,0,1,1,1,0,0,0,0,6.355
1,0,0,0,1,1,0,1,0,1,1,1,1,0,6.407
1,1,1,0,0,0,0,1,0,0,0,0,0,1,6.421
0,0,1,0,1,1,1,0,0,0,1,0,0,0,6.208
1,1,1,0,0,0,0,0,0,1,1,0,0,0,6.36
0,0,0,0,0,1,1,1,1,0,0,1,1,0,6.339
0,0,1,1,1,0,1,1,0,0,1,0,0,0,6.287
0,1,0,0,0,1,1,1,1,1,0,1,1,0,6.268
0,0,0,1,0,0,0,0,0,1,1,0,0,1,6.303
1,0,0,0,1,1,0,1,0,1,1,1,0,0,6.338
0,0,1,1,0,0,1,1,0,1,1,1,1,0,6.239
0,1,1,1,1,0,1,0,0,0,1,0,1,0,6.188
0,0,0,1,0,0,0,0,0,1,0,1,1,0,6.32
0,1,0,1,0,0,1,0,0,1,1,0,1,1,6.444
0,0,1,1,1,0,1,0,1,1,1,0,1,0,6.218
0,0,0,1,1,0,1,0,1,1,0,0,1,0,6.234
0,0,1,0,0,0,0,0,1,0,1,0,1,1,6.173
0,0,1,0,1,0,1,0,0,0,0,0,0,1,6.273
0,1,1,1,1,1,1,0,1,1,0,1,1,1,6.356
1,1,0,1,0,0,0,1,0,1,0,1,0,0,6.316
1,0,1,1,0,0,0,1,1,1,1,0,0,0,6.463
1,1,0,0,1,1,1,0,0,0,0,1,1,0,6.306
1,0,0,1,1,1,1,0,1,1,1,1,0,1,6.322
0,0,0,0,0,1,0,1,0,0,0,0,0,1,6.253
1,1,1,1,1,1,1,1,1,1,1,0,0,1,6.435
0,0,1,1,0,0,1,1,0,0,1,1,0,0,6.247
1,1,1,0,1,0,1,1,1,1,0,1,0,0,6.29
0,0,0,1,1,0,0,0,0,1,1,0,1,0,6.235
1,1,0,0,1,0,0,0,1,0,0,1,1,0,6.262
0,1,0,1,1,0,0,0,0,0,0,1,1,0,6.19
1,0,0,1,0,1,0,0,1,1,1,1,1,0,6.186
1,1,1,1,1,1,0,0,1,1,1,0,0,0,6.366
1,0,1,0,1,1,0,0,1,1,1,1,0,1,6.36
0,0,1,1,0,1,0,1,0,0,1,1,0,1,6.174
0,1,0,1,0,0,1,1,1,1,1,0,1,1,6.397
1,0,0,1,1,1,1,0,1,0,0,1,1,0,6.291
1,0,0,1,1,0,1,0,1,1,0,1,1,0,6.341
0,0,1,1,0,0,0,0,1,1,0,0,1,0,6.391
0,0,0,0,1,1,1,1,1,0,1,0,1,0,6.478
1,0,0,1,1,1,1,1,1,0,1,0,0,1,6.215
1,1,0,0,0,1,0,0,1,0,0,1,0,0,6.158
1,0,1,1,0,0,0,0,0,0,1,1,0,0,6.255
1,0,1,0,1,0,0,0,1,0,0,1,0,0,6.199
0,1,1,1,1,1,0,1,1,0,0,0,0,0,6.238
0,1,0,0,0,1,0,0,1,0,1,1,0,0,6.127
1,0,0,0,1,1,0,0,0,1,1,0,0,1,6.647
1,1,0,1,1,0,0,1,1,0,0,1,0,0,6.269
1,0,1,1,0,1,0,1,1,1,1,0,1,1,6.143
0,1,1,0,1,1,1,0,0,1,1,0,0,1,6.395
1,1,0,1,0,0,1,1,0,0,1,1,1,0,6.215
0,1,0,1,1,0,1,1,0,1,1,0,1,0,6.364
1,0,0,1,1,0,1,1,0,1,0,1,0,1,6.297
1,1,1,0,1,0,0,0,1,0,0,0,0,1,6.313
0,0,1,1,0,0,1,0,0,1,0,1,0,1,6.242
0,1,1,0,0,0,1,1,0,0,1,0,0,1,6.416
0,1,1,1,1,1,0,0,0,1,1,1,0,1,6.226
1,0,1,0,0,0,1,0,1,0,0,1,0,0,6.27
0,0,1,0,0,1,1,0,1,0,0,0,1,1,6.316
1,1,1,0,0,0,0,1,0,0,1,1,1,1,6.106
0,0,0,1,0,1,1,1,1,1,0,0,0,0,6.366
0,1,1,0,0,0,0,0,1,0,1,1,1,1,6.16
0,1,0,0,0,0,0,1,0,1,1,1,1,0,6.169
0,1,1,1,1,0,1,1,1,1,1,0,0,0,6.584
0,0,0,1,1,0,0,0,0,1,1,1,0,1,6.381
1,0,1,0,0,1,0,0,0,0,0,0,1,1,6.366
1,0,1,0,1,1,0,0,1,1,0,1,0,0,6.576
0,1,1,1,0,1,0,0,0,0,0,1,0,0,6.276
1,0,1,1,0,1,0,1,0,0,0,0,1,1,6.397
0,1,1,1,1,0,0,1,1,1,1,0,0,0,6.294
0,1,0,1,1,0,1,0,0,1,1,0,1,0,6.314
0,0,1,1,1,0,0,1,1,1,1,0,1,0,6.258
1,0,1,1,1,1,1,1,0,1,1,0,1,0,6.494
0,0,1,1,1,0,1,0,0,1,1,1,0,1,6.437
1,1,0,0,0,0,1,1,1,1,1,0,1,0,6.401
0,1,1,1,0,1,0,0,0,0,1,1,1,0,6.28
1,1,1,1,0,1,1,1,1,1,1,0,1,1,6.326
1,1,1,0,0,0,1,0,0,1,1,0,1,1,6.281
1,0,0,0,0,1,1,1,1,1,0,1,1,0,6.306
1,1,0,1,1,0,1,1,0,1,0,1,1,1,6.225
1,0,1,1,1,1,0,0,1,0,1,0,0,1,6.279
0,0,1,1,0,0,1,0,0,0,1,0,1,0,6.206
1,1,0,1,0,1,0,1,0,1,0,0,0,0,6.518
1,1,1,0,0,1,1,0,1,0,0,1,0,0,6.278
1,1,0,1,0,1,1,0,1,1,0,1,0,1,6.357
1,0,1,0,1,0,1,1,0,1,0,1,1,0,6.364
1,0,1,1,0,1,0,0,1,0,1,1,0,1,6.427
1,0,0,0,1,0,0,1,0,1,1,0,1,1,6.392
1,0,0,1,0,0,0,1,1,1,1,0,0,0,6.297
1,0,1,0,0,1,1,1,1,1,1,0,0,1,6.486
1,0,0,0,0,1,0,1,0,0,0,0,1,0,6.303
0,1,1,1,1,1,0,0,1,1,0,0,1,1,6.316
1,1,1,1,1,1,0,1,0,0,0,1,1,0,6.185
1,1,1,1,0,0,1,0,1,1,0,0,1,0,6.361
0,1,0,1,0,0,1,0,1,0,0,1,0,0,6.486
0,1,0,1,1,0,1,0,1,1,1,0,0,1,6.387
0,0,1,1,0,1,0,1,1,0,0,0,0,0,6.37
0,0,1,1,0,1,0,1,0,1,0,0,1,0,6.264
0,0,0,1,1,0,0,0,0,1,1,0,1,0,6.287
0,1,1,0,1,0,0,1,0,0,0,1,1,0,6.244
0,1,1,1,0,1,0,1,0,0,1,1,1,1,6.163
1,1,0,0,1,1,1,0,0,1,1,1,1,1,6.249
1,1,1,0,0,0,0,1,1,0,0,1,1,1,6.406
1,1,1,1,1,1,0,1,1,0,0,0,1,0,6.255
1,1,0,0,0,1,0,1,1,0,1,1,1,0,6.221
0,1,0,0,0,1,0,1,1,0,0,1,0,0,6.631
1,0,1,1,1,1,0,1,1,0,0,1,1,1,6.163
1,0,0,1,1,1,0,0,1,0,1,0,1,1,6.202
0,1,0,1,1,1,0,1,1,0,0,1,1,0,6.419
1,1,1,1,1,1,1,1,1,0,0,0,1,0,6.574
0,0,1,1,1,1,0,1,1,1,1,1,1,1,6.172
0,1,1,0,0,0,0,0,0,1,0,1,1,1,6.287
1,0,1,0,0,0,1,1,1,0,0,0,0,1,6.285
1,1,0,1,0,0,0,0,0,0,0,0,1,0,6.194
0,1,1,0,1,1,1,1,1,1,0,0,1,1,6.354
1,1,1,1,1,0,1,0,1,0,0,0,1,1,6.436
1,1,1,0,0,1,0,0,0,1,1,1,0,0,6.47
0,1,1,1,1,0,1,0,0,1,1,1,1,0,6.187
1,1,1,1,1,0,1,0,1,1,0,1,1,0,6.222
1,0,0,0,1,0,1,1,1,1,0,0,0,0,6.329
0,1,0,0,0,1,0,1,1,0,0,1,1,1,6.329
0,1,0,0,1,0,0,1,1,1,0,0,1,1,6.345
0,1,1,0,0,0,0,0,1,1,0,1,0,1,6.359
1,0,0,1,1,1,0,1,0,1,1,1,1,0,6.315
0,0,1,0,1,0,0,1,1,1,1,0,1,0,6.168
0,1,1,1,1,0,0,1,1,1,1,1,1,1,6.266
1,0,0,1,1,1,0,1,0,1,1,1,0,1,6.39
0,0,0,1,0,0,1,0,0,1,1,1,1,1,6.244
1,0,0,0,1,1,1,0,0,0,0,0,0,0,6.321
1,1,0,1,0,1,1,0,1,1,0,0,0,1,6.296
1,1,1,0,1,0,1,1,0,0,1,1,0,1,6.228
0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.199
1,1,0,1,1,0,1,0,1,1,1,1,1,1,6.259
0,0,1,1,1,1,0,1,0,0,0,1,0,1,6.194
0,0,1,1,1,1,1,0,1,0,0,1,0,0,6.387
0,1,1,1,0,0,0,0,0,1,1,1,1,1,6.26
0,1,1,0,1,1,0,0,1,1,1,1,0,1,6.259
1,0,0,1,1,1,1,0,0,1,0,1,0,0,6.473
0,1,0,1,1,1,1,1,1,0,0,1,1,1,6.088
1,0,1,1,0,0,0,0,0,0,1,1,1,0,6.14
1,1,0,0,0,1,0,1,0,1,1,1,0,1,6.321
0,1,0,0,0,0,0,1,1,0,0,0,0,1,6.326
0,1,1,0,1,0,1,0,0,0,0,1,1,1,6.145
1,0,1,1,0,0,0,0,1,1,1,0,0,0,6.475
1,1,1,0,1,1,0,1,1,0,0,1,0,1,6.377
0,1,1,1,1,1,1,0,0,1,0,0,0,0,6.325
1,0,1,0,1,1,0,1,1,1,1,1,1,0,6.231
0,0,1,0,1,0,0,1,1,0,0,1,0,0,6.298
1,0,0,1,1,1,0,1,0,1,0,0,1,0,6.241
1,0,1,1,1,0,0,0,1,0,0,1,0,1,6.299
1,0,0,0,1,1,1,1,1,1,1,1,0,0,6.347
0,0,0,0,1,0,0,1,0,0,0,0,1,0,6.26
0,1,1,0,0,0,1,0,0,1,1,1,1,1,6.251
0,1,1,1,0,1,1,0,1,1,0,1,0,0,6.324
0,0,0,0,1,1,1,1,1,0,0,1,1,1,6.24
1,1,1,0,0,1,1,0,1,0,0,1,1,1,6.211
0,1,1,0,0,1,1,0,1,0,0,0,0,0,6.293
1,1,1,0,0,1,0,1,1,1,1,0,1,0,6.388
0,1,1,1,0,1,0,0,1,0,0,0,1,0,6.33
1,1,1,1,0,1,0,0,1,0,1,1,1,1,6.181
1,1,1,0,1,0,1,1,0,1,1,1,0,0,6.312
1,1,0,1,0,0,1,0,0,0,0,1,0,0,6.327
1,1,0,0,1,0,0,0,1,1,1,0,1,1,6.3
1,1,0,0,0,1,0,1,0,0,0,1,0,0,6.227
0,1,0,1,1,1,1,0,0,1,1,0,0,0,6.317
0,1,0,0,1,1,0,0,0,0,0,1,1,1,6.445
0,0,1,0,1,1,1,1,0,1,0,0,1,0,6.31
0,0,0,0,0,1,1,1,1,0,1,0,1,1,6.217
0,1,1,1,1,1,0,0,0,1,0,1,0,1,6.345
1,1,1,1,1,0,1,0,1,0,0,1,1,1,6.162
0,1,1,1,0,1,1,0,0,1,1,0,1,1,6.79
0,0,0,0,0,0,1,0,1,0,1,0,0,0,6.451
0,0,0,1,0,0,0,0,1,0,1,0,0,1,6.326
0,1,0,0,0,0,0,0,0,1,1,0,1,1,6.272
1,1,0,0,1,1,1,1,1,1,1,0,0,1,6.277
0,1,0,1,0,0,1,0,1,0,0,0,1,0,6.062
1,1,1,1,0,0,1,0,0,1,1,1,0,1,6.33
1,1,0,1,0,0,0,0,0,1,1,0,1,0,6.438
1,0,0,1,1,1,1,1,0,0,0,0,0,1,6.509
0,0,0,1,0,1,1,1,1,0,0,1,0,1,6.251
1,1,0,0,0,0,1,0,1,1,0,0,1,0,6.33
0,0,0,1,1,1,0,1,1,0,1,0,1,0,6.189
1,1,0,0,1,1,1,1,0,0,1,0,1,1,6.244
0,1,0,1,0,1,0,1,1,1,0,1,0,1,6.331
0,0,1,1,1,0,0,0,0,1,1,1,1,1,6.265
1,0,0,0,1,0,1,1,1,0,0,1,1,0,6.156
0,0,1,1,1,1,1,1,0,0,1,1,0,1,6.251
0,0,1,1,0,0,1,1,1,1,1,0,1,1,6.316
0,1,0,0,1,1,1,0,0,1,1,1,1,1,6.328
1,0,1,0,1,1,0,1,1,0,0,0,0,1,6.308
0,1,1,0,1,0,1,1,0,0,0,0,0,0,6.161
1,0,0,0,0,0,1,1,0,0,0,1,1,0,6.301
1,1,1,1,1,1,1,0,1,0,1,0,0,0,6.472
0,0,0,1,0,1,1,0,1,1,0,0,0,1,6.258
1,0,0,1,1,0,0,1,0,1,1,0,0,0,6.423
1,0,0,1,0,0,1,0,0,0,1,0,1,0,6.254
1,1,1,0,0,1,0,0,0,0,0,1,1,0,6.123
1,1,0,1,1,1,1,0,0,0,1,0,1,1,6.264
1,0,1,1,0,1,0,1,0,1,1,1,1,0,6.19
1,0,1,1,1,0,0,0,1,1,1,1,1,0,6.18
1,0,1,0,0,1,0,0,1,0,1,0,0,0,6.296
0,0,1,0,0,0,1,1,1,1,0,1,1,1,6.297
0,1,1,1,0,1,0,1,1,0,0,0,0,0,6.296
0,0,1,0,0,0,1,1,1,0,1,1,1,1,6.223
0,1,0,0,1,0,0,1,1,0,1,1,0,1,6.266
1,1,1,1,0,1,1,0,1,0,1,1,1,0,6.243
1,1,0,0,1,0,1,1,0,1,1,0,0,1,6.383
1,0,1,1,1,1,0,1,1,1,1,1,1,1,6.187
0,0,1,1,1,0,1,0,1,1,1,1,1,0,6.296
0,1,0,1,1,1,1,1,1,0,1,0,1,1,6.198
0,0,0,0,0,1,1,0,1,1,1,0,1,0,6.229
1,0,0,0,0,0,1,1,0,1,1,0,1,0,6.233
0,0,0,1,0,0,0,0,0,1,0,0,1,1,6.397
1,1,0,1,0,0,1,1,1,0,0,1,1,1,6.122
1,0,0,0,1,1,1,1,0,0,0,1,0,1,6.258
1,0,1,0,1,0,1,1,0,1,0,1,0,0,6.35
1,0,1,0,1,1,0,1,0,1,1,1,0,1,6.381
1,0,1,1,0,0,0,0,1,1,1,1,1,0,6.323
0,0,1,0,1,1,1,0,0,0,0,0,1,0,6.386
0,1,0,1,1,1,1,1,1,1,1,0,1,0,6.24
0,1,0,1,0,0,0,0,0,0,1,0,1,0,7.152
1,0,0,1,0,0,1,1,0,1,1,1,0,1,6.315
0,1,0,0,0,0,0,0,1,1,0,0,0,1,6.347
0,0,1,0,0,1,1,0,1,1,1,1,0,0,6.351
1,0,1,1,0,1,1,1,1,0,0,0,1,1,6.227
0,1,0,0,1,1,1,1,0,0,0,1,1,0,6.173
1,1,0,0,0,0,0,1,1,1,0,1,0,0,6.386
0,0,1,1,0,1,1,1,0,0,0,1,1,0,6.218
1,0,1,0,0,0,1,1,1,0,1,0,0,1,6.308
0,1,1,0,0,1,0,0,0,1,1,0,0,1,6.608
1,1,0,0,0,0,0,0,0,0,0,1,1,1,6.252
1,0,0,1,0,1,0,0,1,0,1,1,0,0,6.301
1,1,1,0,1,0,1,1,0,1,0,0,0,1,6.37
1,1,0,0,1,1,0,1,0,0,0,1,1,1,6.262
1,0,1,1,0,1,1,1,1,1,0,1,0,1,6.699
0,0,0,0,1,0,1,1,1,0,1,0,0,1,6.833
0,1,1,1,0,1,0,1,0,1,1,1,0,1,6.266
0,0,1,0,1,1,0,0,0,0,0,1,1,1,6.209
0,1,0,1,0,1,0,0,1,0,1,1,1,1,6.22
0,1,1,0,0,0,1,1,0,0,0,0,0,1,6.262
0,1,1,1,1,0,1,0,0,0,0,0,0,1,6.198
1,1,1,1,0,1,0,0,1,0,0,1,0,1,6.316
1,0,1,0,0,1,0,1,1,0,1,1,0,0,6.31
1,0,1,0,0,0,0,1,1,0,1,0,1,0,6.264
0,1,1,0,0,1,0,0,1,0,1,0,1,1,6.322
0,0,0,0,0,0,1,0,1,0,1,1,1,0,6.21
0,0,1,0,1,1,1,0,1,0,0,1,0,0,6.363
0,0,1,1,1,0,0,0,1,0,0,1,0,0,6.29
1,0,1,1,1,0,0,1,0,0,1,1,1,0,6.169
0,0,1,0,1,1,0,1,0,1,0,0,1,1,6.257
1,1,0,0,1,0,0,1,1,1,1,0,1,1,6.296
1,1,0,0,1,1,0,1,0,0,0,1,0,1,6.301
1,0,1,1,0,0,0,0,0,1,0,0,1,0,6.245
1,1,0,0,0,1,0,0,1,1,0,0,1,0,6.262
0,1,0,1,1,0,0,0,0,0,0,1,1,0,6.161
1,0,0,1,0,1,0,0,0,0,1,0,0,1,6.314
1,1,1,0,0,1,0,1,1,0,0,0,1,0,6.303
1,0,0,1,0,1,1,0,1,1,1,1,1,1,6.204
1,1,0,1,1,0,1,1,1,1,1,1,1,0,6.211
1,0,0,1,1,1,1,1,0,1,1,0,0,1,6.254
0,0,1,0,1,1,0,0,0,1,0,0,1,0,6.27
1,1,1,1,0,0,0,1,0,0,0,0,0,0,6.225
1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.467
0,1,1,0,0,0,1,1,1,1,0,1,0,1,6.449
0,0,0,1,1,0,1,0,0,0,0,1,1,0,6.392
0,1,0,1,1,0,1,0,1,0,0,0,1,0,6.287
0,0,0,0,1,0,0,1,1,0,1,1,0,1,6.201
1,1,0,0,0,1,1,1,1,1,1,0,0,0,6.338
0,1,0,1,1,1,0,1,0,1,0,0,0,1,6.368
1,0,0,1,0,0,0,1,0,0,1,1,0,0,6.605
0,0,0,1,1,0,1,1,1,0,1,1,0,1,6.175
1,1,0,1,0,0,1,0,0,1,1,0,1,0,6.356
0,0,0,1,0,1,0,1,1,0,1,1,0,1,6.263
1,1,1,0,0,1,1,1,1,1,0,1,1,0,6.274
0,1,0,0,0,1,1,1,0,1,1,0,1,0,6.512
1,1,0,0,0,0,1,1,1,1,1,1,0,1,6.288
1,0,0,1,1,1,1,1,1,0,0,0,1,1,6.248
1,1,0,0,1,0,0,0,0,1,0,0,1,1,6.485
1,0,0,1,1,1,1,1,1,1,1,1,0,1,6.507
1,1,0,0,0,1,0,0,1,1,1,0,1,1,6.257
1,0,1,1,1,0,1,0,0,0,0,1,1,1,6.249
1,1,1,1,1,1,0,0,0,1,1,0,0,0,6.427
0,1,1,1,1,1,0,0,0,1,0,1,1,1,6.209
0,0,1,1,1,1,1,1,1,0,0,0,1,0,6.27
1,0,1,1,1,1,0,1,0,1,1,0,1,0,6.182
0,1,0,1,1,0,0,1,1,0,0,1,0,0,6.301
1,1,0,0,0,1,1,1,1,0,0,0,0,1,6.407
0,0,0,1,1,1,0,1,0,1,0,1,0,1,6.422
0,1,1,1,0,0,1,1,1,1,1,0,0,1,6.387
1,1,1,1,1,1,1,1,1,1,1,1,0,1,6.402
1,1,0,1,1,1,0,0,1,1,1,0,0,0,6.319
0,1,0,1,0,0,1,1,0,1,0,0,0,1,6.271
0,0,1,0,0,0,1,0,0,0,0,1,0,1,6.236
0,1,0,0,1,0,0,1,0,1,0,1,1,0,6.297
0,0,1,0,1,1,1,1,0,0,0,0,1,1,6.194
0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.336
0,0,0,0,0,0,1,1,1,1,0,0,1,0,6.326
1,1,1,1,1,0,1,0,1,0,1,0,0,0,6.303
0,0,1,0,1,1,0,1,0,0,0,0,1,1,6.279
0,0,1,0,0,1,0,0,1,0,0,1,1,0,6.238
1,0,0,0,1,0,0,1,1,0,1,1,1,0,6.126
1,0,0,1,1,0,0,0,0,0,1,0,0,1,6.317
0,0,0,1,0,1,1,0,0,1,0,0,0,0,6.385
0,1,1,1,0,0,0,0,0,1,0,1,0,0,6.485
0,1,1,1,1,0,1,1,1,0,1,0,1,0,6.159
1,0,1,0,0,1,1,0,0,0,0,0,0,0,6.308
1,0,0,0,1,0,0,1,1,1,0,1,1,0,6.21
0,1,1,0,0,0,1,0,0,0,1,1,0,1,6.307
1,0,1,0,1,1,1,0,0,1,1,0,0,0,6.427
1,0,0,1,0,0,1,0,0,1,1,1,0,1,6.815
1,0,0,0,0,0,1,1,1,0,1,0,1,0,6.255
1,1,0,0,0,0,0,1,0,0,1,1,1,0,6.129
0,1,1,1,0,0,1,1,0,1,1,1,1,0,6.232
1,1,0,1,1,0,0,1,0,0,1,1,0,0,6.19
1,1,0,1,0,0,1,0,0,1,1,1,1,1,6.26
0,1,0,0,0,1,0,1,0,1,1,1,1,0,6.207
0,1,1,1,1,0,0,1,0,1,1,0,1,1,6.285
0,0,0,0,0,0,1,0,1,0,1,0,1,1,6.211
0,1,1,1,1,0,0,0,1,0,0,0,0,0,6.155
0,1,1,1,1,1,1,1,0,0,1,0,1,1,6.301
0,1,0,0,1,0,0,1,0,1,0,0,1,1,6.478
1,0,1,0,0,0,0,1,0,0,1,1,0,0,6.311
1,1,0,0,1,0,0,1,0,0,0,0,1,0,6.349
0,1,0,0,1,1,1,0,1,0,1,1,1,1,6.165
1,1,1,0,0,1,0,1,1,0,1,0,0,1,6.335
1,0,0,0,0,0,1,0,1,1,1,0,1,1,6.263
1,0,0,1,1,0,1,1,1,1,1,1,1,1,6.257
1,1,0,1,1,1,0,0,1,1,0,1,0,0,6.342
0,1,1,1,0,0,1,1,1,1,1,0,0,0,6.322
0,0,0,1,0,1,0,1,0,0,1,0,0,0,6.366
1,0,1,0,0,1,1,0,0,1,1,1,1,0,6.194
0,1,1,0,0,0,0,1,1,1,0,0,1,0,6.535
1,0,0,1,0,1,1,0,0,1,1,1,1,1,6.713
1,0,1,0,1,0,0,0,1,1,1,0,1,0,6.289
1,0,1,1,1,1,1,0,0,1,1,1,1,0,6.24
0,1,1,0,1,1,1,1,0,1,0,1,0,0,6.291
0,0,1,0,0,0,0,0,1,0,1,1,0,1,6.3
0,1,1,1,0,0,0,0,0,0,0,1,0,1,6.386
0,0,1,1,0,0,1,0,0,1,0,0,1,0,6.232
0,1,1,0,0,1,1,0,0,1,0,1,0,0,6.239
0,1,0,1,0,0,0,1,0,0,1,1,0,0,6.272
0,0,1,1,0,1,0,1,0,1,0,1,1,1,6.351
1,1,0,0,0,0,1,1,0,1,1,1,1,0,6.214
0,1,1,1,1,0,1,1,1,1,0,0,0,0,6.235
0,1,0,0,0,0,1,0,0,1,1,0,0,0,6.214
1,0,1,0,0,1,0,1,0,0,1,1,1,0,6.285
0,0,1,1,0,1,1,1,0,1,0,0,0,1,6.353
0,0,1,1,0,1,1,0,0,0,0,1,0,0,6.349
1,1,0,1,1,1,1,0,1,1,0,0,0,0,6.748
1,1,0,0,0,0,0,1,0,1,0,1,1,0,6.232
0,0,1,0,0,0,1,0,1,0,0,1,1,0,6.19
0,0,0,0,1,0,0,1,0,1,1,1,1,1,6.271
0,1,0,1,1,1,0,1,0,0,0,1,1,1,6.119
1,0,0,0,1,0,0,0,0,1,0,1,1,1,6.268
1,0,1,1,0,0,0,1,1,0,1,0,1,0,6.232
0,0,1,0,1,1,1,1,0,0,0,0,0,1,6.253
1,0,0,0,0,1,0,0,1,0,0,1,1,0,6.253
1,0,0,0,1,1,1,1,0,1,0,0,0,1,6.276
0,1,1,1,0,0,0,0,0,0,0,0,1,1,6.424
1,1,0,1,0,1,0,1,1,1,0,0,0,0,6.365
0,1,1,1,0,0,0,1,1,1,0,0,0,0,6.881
0,1,1,1,1,1,0,0,1,1,1,1,1,1,6.191
1,0,0,0,0,0,0,0,0,0,1,0,1,0,6.266
0,1,0,1,0,0,0,1,1,1,0,1,0,0,6.475
0,1,0,0,0,0,1,1,1,1,1,0,0,1,6.37
