SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.6
0,1,1,1,1,1,1,0,1,1,1,0,1,0,12416.0
0,1,0,1,0,0,1,1,1,1,1,0,0,0,12304.0
1,0,1,1,1,0,1,0,1,1,0,1,1,0,11901.0
1,0,0,1,1,1,1,0,0,0,1,1,1,0,11838.0
1,0,0,1,0,0,1,1,0,0,0,0,0,1,12300.0
1,1,1,0,0,1,0,0,1,0,1,0,1,1,13325.0
0,0,1,1,0,1,0,1,1,1,0,0,0,0,12303.0
1,0,0,0,1,1,0,1,0,1,1,1,1,0,12036.0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,12324.0
0,0,1,0,1,1,1,0,0,0,1,0,0,0,12311.0
1,1,1,0,0,0,0,0,0,1,1,0,0,0,12307.0
0,0,0,0,0,1,1,1,1,0,0,1,1,0,11906.0
0,0,1,1,1,0,1,1,0,0,1,0,0,0,12298.0
0,1,0,0,0,1,1,1,1,1,0,1,1,0,11841.0
0,0,0,1,0,0,0,0,0,1,1,0,0,1,12299.0
1,0,0,0,1,1,0,1,0,1,1,1,0,0,11858.0
0,0,1,1,0,0,1,1,0,1,1,1,1,0,11840.0
0,1,1,1,1,0,1,0,0,0,1,0,1,0,12355.0
0,0,0,1,0,0,0,0,0,1,0,1,1,0,11972.0
0,1,0,1,0,0,1,0,0,1,1,0,1,1,12300.0
0,0,1,1,1,0,1,0,1,1,1,0,1,0,12303.0
0,0,0,1,1,0,1,0,1,1,0,0,1,0,12380.0
0,0,1,0,0,0,0,0,1,0,1,0,1,1,12300.0
0,0,1,0,1,0,1,0,0,0,0,0,0,1,12299.0
0,1,1,1,1,1,1,0,1,1,0,1,1,1,11855.0
1,1,0,1,0,0,0,1,0,1,0,1,0,0,11923.0
1,0,1,1,0,0,0,1,1,1,1,0,0,0,12339.0
1,1,0,0,1,1,1,0,0,0,0,1,1,0,1016.2
1,0,0,1,1,1,1,0,1,1,1,1,0,1,1094.1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1079.6
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1072.1
0,0,1,1,0,0,1,1,0,0,1,1,0,0,1073.4
1,1,1,0,1,0,1,1,1,1,0,1,0,0,1133.0
0,0,0,1,1,0,0,0,0,1,1,0,1,0,1063.2
1,1,0,0,1,0,0,0,1,0,0,1,1,0,11844.0
0,1,0,1,1,0,0,0,0,0,0,1,1,0,11843.0
1,0,0,1,0,1,0,0,1,1,1,1,1,0,11839.0
1,1,1,1,1,1,0,0,1,1,1,0,0,0,12325.0
1,0,1,0,1,1,0,0,1,1,1,1,0,1,11925.0
0,0,1,1,0,1,0,1,0,0,1,1,0,1,11905.0
0,1,0,1,0,0,1,1,1,1,1,0,1,1,12340.0
1,0,0,1,1,1,1,0,1,0,0,1,1,0,11867.0
1,0,0,1,1,0,1,0,1,1,0,1,1,0,11858.0
0,0,1,1,0,0,0,0,1,1,0,0,1,0,12339.0
0,0,0,0,1,1,1,1,1,0,1,0,1,0,12420.0
1,0,0,1,1,1,1,1,1,0,1,0,0,1,12311.0
1,1,0,0,0,1,0,0,1,0,0,1,0,0,11839.0
1,0,1,1,0,0,0,0,0,0,1,1,0,0,11994.0
1,0,1,0,1,0,0,0,1,0,0,1,0,0,11898.0
0,1,1,1,1,1,0,1,1,0,0,0,0,0,12299.0
0,1,0,0,0,1,0,0,1,0,1,1,0,0,11873.0
1,0,0,0,1,1,0,0,0,1,1,0,0,1,12585.0
1,1,0,1,1,0,0,1,1,0,0,1,0,0,11843.0
1,0,1,1,0,1,0,1,1,1,1,0,1,1,12299.0
0,1,1,0,1,1,1,0,0,1,1,0,0,1,12351.0
1,1,0,1,0,0,1,1,0,0,1,1,1,0,11886.0
0,1,0,1,1,0,1,1,0,1,1,0,1,0,12304.0
1,0,0,1,1,0,1,1,0,1,0,1,0,1,11920.0
1,1,1,0,1,0,0,0,1,0,0,0,0,1,12400.0
0,0,1,1,0,0,1,0,0,1,0,1,0,1,11851.0
0,1,1,0,0,0,1,1,0,0,1,0,0,1,12298.0
0,1,1,1,1,1,0,0,0,1,1,1,0,1,11841.0
1,0,1,0,0,0,1,0,1,0,0,1,0,0,11864.0
0,0,1,0,0,1,1,0,1,0,0,0,1,1,12301.0
1,1,1,0,0,0,0,1,0,0,1,1,1,1,11852.0
0,0,0,1,0,1,1,1,1,1,0,0,0,0,12454.0
0,1,1,0,0,0,0,0,1,0,1,1,1,1,11896.0
0,1,0,0,0,0,0,1,0,1,1,1,1,0,11840.0
0,1,1,1,1,0,1,1,1,1,1,0,0,0,12426.0
0,0,0,1,1,0,0,0,0,1,1,1,0,1,11840.0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,12306.0
1,0,1,0,1,1,0,0,1,1,0,1,0,0,11929.0
0,1,1,1,0,1,0,0,0,0,0,1,0,0,11839.0
1,0,1,1,0,1,0,1,0,0,0,0,1,1,12353.0
0,1,1,1,1,0,0,1,1,1,1,0,0,0,12299.0
0,1,0,1,1,0,1,0,0,1,1,0,1,0,12300.0
0,0,1,1,1,0,0,1,1,1,1,0,1,0,12299.0
1,0,1,1,1,1,1,1,0,1,1,0,1,0,12302.0
0,0,1,1,1,0,1,0,0,1,1,1,0,1,11870.0
1,1,0,0,0,0,1,1,1,1,1,0,1,0,12299.0
0,1,1,1,0,1,0,0,0,0,1,1,1,0,11841.0
1,1,1,1,0,1,1,1,1,1,1,0,1,1,12307.0
1,1,1,0,0,0,1,0,0,1,1,0,1,1,12299.0
1,0,0,0,0,1,1,1,1,1,0,1,1,0,11839.0
1,1,0,1,1,0,1,1,0,1,0,1,1,1,11844.0
1,0,1,1,1,1,0,0,1,0,1,0,0,1,12299.0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,12300.0
1,1,0,1,0,1,0,1,0,1,0,0,0,0,12395.0
1,1,1,0,0,1,1,0,1,0,0,1,0,0,11993.0
1,1,0,1,0,1,1,0,1,1,0,1,0,1,11845.0
1,0,1,0,1,0,1,1,0,1,0,1,1,0,11842.0
1,0,1,1,0,1,0,0,1,0,1,1,0,1,11843.0
1,0,0,0,1,0,0,1,0,1,1,0,1,1,12426.0
1,0,0,1,0,0,0,1,1,1,1,0,0,0,12300.0
1,0,1,0,0,1,1,1,1,1,1,0,0,1,12339.0
1,0,0,0,0,1,0,1,0,0,0,0,1,0,12470.0
0,1,1,1,1,1,0,0,1,1,0,0,1,1,12637.0
1,1,1,1,1,1,0,1,0,0,0,1,1,0,11857.0
1,1,1,1,0,0,1,0,1,1,0,0,1,0,12392.0
0,1,0,1,0,0,1,0,1,0,0,1,0,0,11838.0
0,1,0,1,1,0,1,0,1,1,1,0,0,1,12435.0
0,0,1,1,0,1,0,1,1,0,0,0,0,0,12302.0
0,0,1,1,0,1,0,1,0,1,0,0,1,0,12300.0
0,0,0,1,1,0,0,0,0,1,1,0,1,0,12302.0
0,1,1,0,1,0,0,1,0,0,0,1,1,0,11851.0
0,1,1,1,0,1,0,1,0,0,1,1,1,1,11931.0
1,1,0,0,1,1,1,0,0,1,1,1,1,1,11891.0
1,1,1,0,0,0,0,1,1,0,0,1,1,1,11848.0
1,1,1,1,1,1,0,1,1,0,0,0,1,0,12320.0
1,1,0,0,0,1,0,1,1,0,1,1,1,0,11928.0
0,1,0,0,0,1,0,1,1,0,0,1,0,0,11897.0
1,0,1,1,1,1,0,1,1,0,0,1,1,1,11934.0
1,0,0,1,1,1,0,0,1,0,1,0,1,1,12300.0
0,1,0,1,1,1,0,1,1,0,0,1,1,0,11843.0
1,1,1,1,1,1,1,1,1,0,0,0,1,0,12298.0
0,0,1,1,1,1,0,1,1,1,1,1,1,1,11843.0
0,1,1,0,0,0,0,0,0,1,0,1,1,1,11842.0
1,0,1,0,0,0,1,1,1,0,0,0,0,1,12317.0
1,1,0,1,0,0,0,0,0,0,0,0,1,0,12309.0
0,1,1,0,1,1,1,1,1,1,0,0,1,1,12328.0
1,1,1,1,1,0,1,0,1,0,0,0,1,1,12312.0
1,1,1,0,0,1,0,0,0,1,1,1,0,0,11855.0
0,1,1,1,1,0,1,0,0,1,1,1,1,0,11843.0
1,1,1,1,1,0,1,0,1,1,0,1,1,0,11841.0
1,0,0,0,1,0,1,1,1,1,0,0,0,0,12312.0
0,1,0,0,0,1,0,1,1,0,0,1,1,1,11885.0
0,1,0,0,1,0,0,1,1,1,0,0,1,1,12302.0
0,1,1,0,0,0,0,0,1,1,0,1,0,1,11840.0
1,0,0,1,1,1,0,1,0,1,1,1,1,0,11840.0
0,0,1,0,1,0,0,1,1,1,1,0,1,0,12299.0
0,1,1,1,1,0,0,1,1,1,1,1,1,1,11856.0
1,0,0,1,1,1,0,1,0,1,1,1,0,1,11901.0
0,0,0,1,0,0,1,0,0,1,1,1,1,1,11886.0
1,0,0,0,1,1,1,0,0,0,0,0,0,0,12299.0
1,1,0,1,0,1,1,0,1,1,0,0,0,1,12301.0
1,1,1,0,1,0,1,1,0,0,1,1,0,1,11949.0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,12302.0
1,1,0,1,1,0,1,0,1,1,1,1,1,1,12048.0
0,0,1,1,1,1,0,1,0,0,0,1,0,1,11880.0
0,0,1,1,1,1,1,0,1,0,0,1,0,0,11855.0
0,1,1,1,0,0,0,0,0,1,1,1,1,1,11891.0
0,1,1,0,1,1,0,0,1,1,1,1,0,1,11848.0
1,0,0,1,1,1,1,0,0,1,0,1,0,0,11997.0
0,1,0,1,1,1,1,1,1,0,0,1,1,1,11842.0
1,0,1,1,0,0,0,0,0,0,1,1,1,0,11840.0
1,1,0,0,0,1,0,1,0,1,1,1,0,1,11869.0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,12398.0
0,1,1,0,1,0,1,0,0,0,0,1,1,1,11850.0
1,0,1,1,0,0,0,0,1,1,1,0,0,0,12337.0
1,1,1,0,1,1,0,1,1,0,0,1,0,1,12123.0
0,1,1,1,1,1,1,0,0,1,0,0,0,0,12302.0
1,0,1,0,1,1,0,1,1,1,1,1,1,0,11932.0
0,0,1,0,1,0,0,1,1,0,0,1,0,0,11841.0
1,0,0,1,1,1,0,1,0,1,0,0,1,0,12298.0
1,0,1,1,1,0,0,0,1,0,0,1,0,1,11869.0
1,0,0,0,1,1,1,1,1,1,1,1,0,0,20164.0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,12306.0
0,1,1,0,0,0,1,0,0,1,1,1,1,1,11843.0
0,1,1,1,0,1,1,0,1,1,0,1,0,0,11870.0
0,0,0,0,1,1,1,1,1,0,0,1,1,1,11878.0
1,1,1,0,0,1,1,0,1,0,0,1,1,1,11841.0
0,1,1,0,0,1,1,0,1,0,0,0,0,0,12477.0
1,1,1,0,0,1,0,1,1,1,1,0,1,0,12304.0
0,1,1,1,0,1,0,0,1,0,0,0,1,0,12299.0
1,1,1,1,0,1,0,0,1,0,1,1,1,1,11847.0
1,1,1,0,1,0,1,1,0,1,1,1,0,0,11890.0
1,1,0,1,0,0,1,0,0,0,0,1,0,0,11871.0
1,1,0,0,1,0,0,0,1,1,1,0,1,1,12326.0
1,1,0,0,0,1,0,1,0,0,0,1,0,0,11924.0
0,1,0,1,1,1,1,0,0,1,1,0,0,0,12322.0
0,1,0,0,1,1,0,0,0,0,0,1,1,1,12000.0
0,0,1,0,1,1,1,1,0,1,0,0,1,0,12331.0
0,0,0,0,0,1,1,1,1,0,1,0,1,1,12305.0
0,1,1,1,1,1,0,0,0,1,0,1,0,1,12064.0
1,1,1,1,1,0,1,0,1,0,0,1,1,1,11913.0
0,1,1,1,0,1,1,0,0,1,1,0,1,1,12311.0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,12339.0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,12328.0
0,1,0,0,0,0,0,0,0,1,1,0,1,1,12526.0
1,1,0,0,1,1,1,1,1,1,1,0,0,1,12311.0
0,1,0,1,0,0,1,0,1,0,0,0,1,0,12385.0
1,1,1,1,0,0,1,0,0,1,1,1,0,1,11856.0
1,1,0,1,0,0,0,0,0,1,1,0,1,0,12367.0
1,0,0,1,1,1,1,1,0,0,0,0,0,1,12301.0
0,0,0,1,0,1,1,1,1,0,0,1,0,1,11964.0
1,1,0,0,0,0,1,0,1,1,0,0,1,0,12364.0
0,0,0,1,1,1,0,1,1,0,1,0,1,0,12409.0
1,1,0,0,1,1,1,1,0,0,1,0,1,1,12315.0
0,1,0,1,0,1,0,1,1,1,0,1,0,1,11898.0
0,0,1,1,1,0,0,0,0,1,1,1,1,1,11846.0
1,0,0,0,1,0,1,1,1,0,0,1,1,0,11870.0
0,0,1,1,1,1,1,1,0,0,1,1,0,1,11857.0
0,0,1,1,0,0,1,1,1,1,1,0,1,1,12364.0
0,1,0,0,1,1,1,0,0,1,1,1,1,1,11859.0
1,0,1,0,1,1,0,1,1,0,0,0,0,1,12301.0
0,1,1,0,1,0,1,1,0,0,0,0,0,0,12302.0
1,0,0,0,0,0,1,1,0,0,0,1,1,0,11843.0
1,1,1,1,1,1,1,0,1,0,1,0,0,0,12317.0
0,0,0,1,0,1,1,0,1,1,0,0,0,1,12386.0
1,0,0,1,1,0,0,1,0,1,1,0,0,0,12302.0
1,0,0,1,0,0,1,0,0,0,1,0,1,0,12302.0
1,1,1,0,0,1,0,0,0,0,0,1,1,0,12146.0
1,1,0,1,1,1,1,0,0,0,1,0,1,1,12329.0
1,0,1,1,0,1,0,1,0,1,1,1,1,0,11942.0
1,0,1,1,1,0,0,0,1,1,1,1,1,0,11902.0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,12302.0
0,0,1,0,0,0,1,1,1,1,0,1,1,1,11877.0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,12318.0
0,0,1,0,0,0,1,1,1,0,1,1,1,1,11952.0
0,1,0,0,1,0,0,1,1,0,1,1,0,1,11860.0
1,1,1,1,0,1,1,0,1,0,1,1,1,0,11841.0
1,1,0,0,1,0,1,1,0,1,1,0,0,1,12303.0
1,0,1,1,1,1,0,1,1,1,1,1,1,1,11842.0
0,0,1,1,1,0,1,0,1,1,1,1,1,0,11845.0
0,1,0,1,1,1,1,1,1,0,1,0,1,1,12468.0
0,0,0,0,0,1,1,0,1,1,1,0,1,0,12466.0
1,0,0,0,0,0,1,1,0,1,1,0,1,0,12307.0
0,0,0,1,0,0,0,0,0,1,0,0,1,1,12314.0
1,1,0,1,0,0,1,1,1,0,0,1,1,1,11870.0
1,0,0,0,1,1,1,1,0,0,0,1,0,1,11876.0
1,0,1,0,1,0,1,1,0,1,0,1,0,0,11880.0
1,0,1,0,1,1,0,1,0,1,1,1,0,1,11873.0
1,0,1,1,0,0,0,0,1,1,1,1,1,0,11844.0
0,0,1,0,1,1,1,0,0,0,0,0,1,0,12303.0
0,1,0,1,1,1,1,1,1,1,1,0,1,0,12334.0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,12328.0
1,0,0,1,0,0,1,1,0,1,1,1,0,1,11890.0
0,1,0,0,0,0,0,0,1,1,0,0,0,1,12324.0
0,0,1,0,0,1,1,0,1,1,1,1,0,0,12036.0
1,0,1,1,0,1,1,1,1,0,0,0,1,1,12300.0
0,1,0,0,1,1,1,1,0,0,0,1,1,0,11924.0
1,1,0,0,0,0,0,1,1,1,0,1,0,0,11867.0
0,0,1,1,0,1,1,1,0,0,0,1,1,0,11894.0
1,0,1,0,0,0,1,1,1,0,1,0,0,1,12326.0
0,1,1,0,0,1,0,0,0,1,1,0,0,1,12305.0
1,1,0,0,0,0,0,0,0,0,0,1,1,1,11903.0
1,0,0,1,0,1,0,0,1,0,1,1,0,0,11844.0
1,1,1,0,1,0,1,1,0,1,0,0,0,1,12363.0
1,1,0,0,1,1,0,1,0,0,0,1,1,1,11842.0
1,0,1,1,0,1,1,1,1,1,0,1,0,1,11843.0
0,0,0,0,1,0,1,1,1,0,1,0,0,1,12303.0
0,1,1,1,0,1,0,1,0,1,1,1,0,1,11937.0
0,0,1,0,1,1,0,0,0,0,0,1,1,1,12047.0
0,1,0,1,0,1,0,0,1,0,1,1,1,1,12041.0
0,1,1,0,0,0,1,1,0,0,0,0,0,1,12303.0
0,1,1,1,1,0,1,0,0,0,0,0,0,1,12302.0
1,1,1,1,0,1,0,0,1,0,0,1,0,1,11847.0
1,0,1,0,0,1,0,1,1,0,1,1,0,0,11941.0
1,0,1,0,0,0,0,1,1,0,1,0,1,0,12301.0
0,1,1,0,0,1,0,0,1,0,1,0,1,1,12346.0
0,0,0,0,0,0,1,0,1,0,1,1,1,0,11839.0
0,0,1,0,1,1,1,0,1,0,0,1,0,0,11928.0
0,0,1,1,1,0,0,0,1,0,0,1,0,0,11856.0
1,0,1,1,1,0,0,1,0,0,1,1,1,0,12006.0
0,0,1,0,1,1,0,1,0,1,0,0,1,1,12626.0
1,1,0,0,1,0,0,1,1,1,1,0,1,1,12299.0
1,1,0,0,1,1,0,1,0,0,0,1,0,1,11852.0
1,0,1,1,0,0,0,0,0,1,0,0,1,0,14451.0
1,1,0,0,0,1,0,0,1,1,0,0,1,0,12302.0
0,1,0,1,1,0,0,0,0,0,0,1,1,0,11881.0
1,0,0,1,0,1,0,0,0,0,1,0,0,1,12361.0
1,1,1,0,0,1,0,1,1,0,0,0,1,0,12304.0
1,0,0,1,0,1,1,0,1,1,1,1,1,1,11844.0
1,1,0,1,1,0,1,1,1,1,1,1,1,0,11841.0
1,0,0,1,1,1,1,1,0,1,1,0,0,1,12299.0
0,0,1,0,1,1,0,0,0,1,0,0,1,0,12447.0
1,1,1,1,0,0,0,1,0,0,0,0,0,0,12297.0
1,1,1,1,0,0,1,1,0,0,0,0,0,1,12420.0
0,1,1,0,0,0,1,1,1,1,0,1,0,1,11871.0
0,0,0,1,1,0,1,0,0,0,0,1,1,0,11841.0
0,1,0,1,1,0,1,0,1,0,0,0,1,0,12476.0
0,0,0,0,1,0,0,1,1,0,1,1,0,1,11868.0
1,1,0,0,0,1,1,1,1,1,1,0,0,0,12316.0
0,1,0,1,1,1,0,1,0,1,0,0,0,1,12340.0
1,0,0,1,0,0,0,1,0,0,1,1,0,0,11850.0
0,0,0,1,1,0,1,1,1,0,1,1,0,1,11839.0
1,1,0,1,0,0,1,0,0,1,1,0,1,0,12300.0
0,0,0,1,0,1,0,1,1,0,1,1,0,1,11841.0
1,1,1,0,0,1,1,1,1,1,0,1,1,0,11843.0
0,1,0,0,0,1,1,1,0,1,1,0,1,0,12331.0
1,1,0,0,0,0,1,1,1,1,1,1,0,1,11839.0
1,0,0,1,1,1,1,1,1,0,0,0,1,1,12298.0
1,1,0,0,1,0,0,0,0,1,0,0,1,1,12393.0
1,0,0,1,1,1,1,1,1,1,1,1,0,1,11945.0
1,1,0,0,0,1,0,0,1,1,1,0,1,1,12349.0
1,0,1,1,1,0,1,0,0,0,0,1,1,1,11843.0
1,1,1,1,1,1,0,0,0,1,1,0,0,0,12311.0
0,1,1,1,1,1,0,0,0,1,0,1,1,1,11972.0
0,0,1,1,1,1,1,1,1,0,0,0,1,0,12371.0
1,0,1,1,1,1,0,1,0,1,1,0,1,0,12331.0
0,1,0,1,1,0,0,1,1,0,0,1,0,0,11858.0
1,1,0,0,0,1,1,1,1,0,0,0,0,1,12306.0
0,0,0,1,1,1,0,1,0,1,0,1,0,1,11870.0
0,1,1,1,0,0,1,1,1,1,1,0,0,1,12303.0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,11840.0
1,1,0,1,1,1,0,0,1,1,1,0,0,0,12300.0
0,1,0,1,0,0,1,1,0,1,0,0,0,1,12422.0
0,0,1,0,0,0,1,0,0,0,0,1,0,1,11839.0
0,1,0,0,1,0,0,1,0,1,0,1,1,0,11887.0
0,0,1,0,1,1,1,1,0,0,0,0,1,1,12298.0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,12548.0
0,0,0,0,0,0,1,1,1,1,0,0,1,0,12563.0
1,1,1,1,1,0,1,0,1,0,1,0,0,0,12301.0
0,0,1,0,1,1,0,1,0,0,0,0,1,1,12297.0
0,0,1,0,0,1,0,0,1,0,0,1,1,0,11864.0
1,0,0,0,1,0,0,1,1,0,1,1,1,0,11857.0
1,0,0,1,1,0,0,0,0,0,1,0,0,1,12307.0
0,0,0,1,0,1,1,0,0,1,0,0,0,0,12307.0
0,1,1,1,0,0,0,0,0,1,0,1,0,0,11880.0
0,1,1,1,1,0,1,1,1,0,1,0,1,0,12301.0
1,0,1,0,0,1,1,0,0,0,0,0,0,0,12310.0
1,0,0,0,1,0,0,1,1,1,0,1,1,0,11882.0
0,1,1,0,0,0,1,0,0,0,1,1,0,1,11910.0
1,0,1,0,1,1,1,0,0,1,1,0,0,0,12316.0
1,0,0,1,0,0,1,0,0,1,1,1,0,1,11856.0
1,0,0,0,0,0,1,1,1,0,1,0,1,0,12310.0
1,1,0,0,0,0,0,1,0,0,1,1,1,0,11910.0
0,1,1,1,0,0,1,1,0,1,1,1,1,0,11858.0
1,1,0,1,1,0,0,1,0,0,1,1,0,0,11848.0
1,1,0,1,0,0,1,0,0,1,1,1,1,1,11921.0
0,1,0,0,0,1,0,1,0,1,1,1,1,0,11845.0
0,1,1,1,1,0,0,1,0,1,1,0,1,1,12332.0
0,0,0,0,0,0,1,0,1,0,1,0,1,1,12404.0
0,1,1,1,1,0,0,0,1,0,0,0,0,0,12339.0
0,1,1,1,1,1,1,1,0,0,1,0,1,1,12413.0
0,1,0,0,1,0,0,1,0,1,0,0,1,1,12305.0
1,0,1,0,0,0,0,1,0,0,1,1,0,0,11885.0
1,1,0,0,1,0,0,1,0,0,0,0,1,0,12304.0
0,1,0,0,1,1,1,0,1,0,1,1,1,1,11976.0
1,1,1,0,0,1,0,1,1,0,1,0,0,1,33591.0
1,0,0,0,0,0,1,0,1,1,1,0,1,1,12314.0
1,0,0,1,1,0,1,1,1,1,1,1,1,1,11926.0
1,1,0,1,1,1,0,0,1,1,0,1,0,0,11977.0
0,1,1,1,0,0,1,1,1,1,1,0,0,0,12492.0
0,0,0,1,0,1,0,1,0,0,1,0,0,0,12316.0
1,0,1,0,0,1,1,0,0,1,1,1,1,0,11907.0
0,1,1,0,0,0,0,1,1,1,0,0,1,0,12318.0
1,0,0,1,0,1,1,0,0,1,1,1,1,1,11954.0
1,0,1,0,1,0,0,0,1,1,1,0,1,0,12382.0
1,0,1,1,1,1,1,0,0,1,1,1,1,0,11851.0
0,1,1,0,1,1,1,1,0,1,0,1,0,0,11876.0
0,0,1,0,0,0,0,0,1,0,1,1,0,1,11944.0
0,1,1,1,0,0,0,0,0,0,0,1,0,1,11971.0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,12459.0
0,1,1,0,0,1,1,0,0,1,0,1,0,0,11999.0
0,1,0,1,0,0,0,1,0,0,1,1,0,0,11845.0
0,0,1,1,0,1,0,1,0,1,0,1,1,1,11936.0
1,1,0,0,0,0,1,1,0,1,1,1,1,0,11861.0
0,1,1,1,1,0,1,1,1,1,0,0,0,0,12469.0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,12335.0
1,0,1,0,0,1,0,1,0,0,1,1,1,0,11920.0
0,0,1,1,0,1,1,1,0,1,0,0,0,1,12305.0
0,0,1,1,0,1,1,0,0,0,0,1,0,0,11852.0
1,1,0,1,1,1,1,0,1,1,0,0,0,0,12319.0
1,1,0,0,0,0,0,1,0,1,0,1,1,0,11849.0
0,0,1,0,0,0,1,0,1,0,0,1,1,0,11846.0
0,0,0,0,1,0,0,1,0,1,1,1,1,1,11965.0
0,1,0,1,1,1,0,1,0,0,0,1,1,1,11848.0
