SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.5
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.536812674744
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0582479030755
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.528890959925
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.554054054054
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.790307548928
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.362068965517
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.389095992544
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.166356011184
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0414725069897
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.794035414725
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.395619757689
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.113699906803
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.431500465983
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0824790307549
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.856943150047
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.519571295433
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.483224603914
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0219012115564
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.345293569432
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.067101584343
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0237651444548
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.861136999068
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.450605778192
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.473904939422
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.429636533085
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.48182665424
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.373718546132
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.469245107176
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.524697110904
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.801957129543
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.471575023299
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0843429636533
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.169151910531
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.525163094129
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.815936626281
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0675675675676
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.130009319664
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.58201304753
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.29962721342
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.108574091333
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.767474370923
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.490680335508
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.832712022367
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.742777260019
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.00186393289841
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.823392357875
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.48788443616
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.375116495806
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.391891891892
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0479962721342
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0862068965517
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.720876048462
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.95852749301
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.545200372787
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.456663560112
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.819198508854
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0945945945946
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.530754892824
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.436626281454
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.92311276794
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.545666356011
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.37045666356
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.371388630009
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.883038210624
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.54753028891
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.842031686859
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.41798695247
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.50605778192
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.459925442684
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.863932898416
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.460857409133
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0596458527493
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0414725069897
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.431966449208
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.437558247903
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.414259086673
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.159366262815
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.432898415657
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.486952469711
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.528890959925
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.472041006524
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.586672879776
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.451071761417
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.531686859273
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.879310344828
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.151910531221
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.920316868593
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.179869524697
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.756756756757
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.471109040075
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.0507921714818
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.408667287978
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.51817334576
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.372786579683
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.787977632805
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.543802423113
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.78844361603
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.120689655172
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.813606710158
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.446411929171
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.0512581547064
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.510251630941
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.577353215284
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.420782851817
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.548462255359
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.806616961789
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.521435228332
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.389095992544
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.466915191053
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.538676607642
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.878844361603
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.81780055918
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.12954333644
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.116961789376
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.571295433364
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.428238583411
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.869990680336
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.855079217148
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.518639328984
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.476234855545
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.563373718546
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.477166821994
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0666356011184
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.493476234856
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.427306616962
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.420782851817
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.492544268406
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.601584342964
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0885368126747
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.383504193849
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.53541472507
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.447809878844
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.496272134203
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.7935694315
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.337371854613
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.152376514445
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.368126747437
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.501863932898
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.37651444548
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.133271202237
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.392823858341
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0680335507922
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.804287045666
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.811276794035
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.104846225536
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.104380242311
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.42311276794
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.168219944082
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.827120223672
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.890027958993
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.861602982293
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.540074557316
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.43522833178
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.415657036347
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.850419384902
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.893289841566
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.472506989748
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.768872320596
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.868126747437
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.877446411929
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.150512581547
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.561043802423
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.556383970177
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0684995340168
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.834575955266
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.388164026095
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.342963653308
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.79962721342
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.860671015843
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.898415657036
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.373252562908
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.456663560112
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.832246039143
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0652376514445
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.402609506058
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.609506057782
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.495340167754
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.501863932898
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.914725069897
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.468313140727
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.485554520037
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.513979496738
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.876048462255
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0498602050326
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.936626281454
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.791705498602
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.376980428705
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.39981360671
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0135135135135
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.57595526561
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.124417520969
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.495340167754
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.913327120224
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.438024231128
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.551258154706
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.524697110904
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.568499534017
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.457129543336
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.473904939422
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.0843429636533
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.830848089469
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.438956197577
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.379776328052
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0750232991612
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.141192917055
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.532152842498
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.550792171482
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0619757688723
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.973904939422
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.593196644921
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.166821994408
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.410997204101
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.489748369059
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.0787511649581
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.153308480895
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.896085740913
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.890027958993
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.389561975769
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.438490214352
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.392357875116
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.806616961789
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.191519105312
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0955265610438
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.41192917055
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.120223671948
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.420316868593
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.650046598322
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.182665424045
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.440820130475
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.0885368126747
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.869524697111
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.814538676608
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.0633737185461
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.738583410997
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.113699906803
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.420316868593
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.455265610438
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.465051258155
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.65890027959
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.878844361603
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.794967381174
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.126281453868
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.47670083877
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.451537744641
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.55265610438
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.38863000932
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.449673811743
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.838769804287
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.846225535881
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.816402609506
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.047064305685
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.525163094129
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0107176141659
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.956663560112
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.469711090401
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.813140726934
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.144920782852
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.455265610438
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.881640260951
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.385368126747
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.149114631873
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.647250698975
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.395619757689
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.549394221808
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.603914259087
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.452003727866
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.916123019571
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.118825722274
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.766542404473
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.36439888164
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.407269338304
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.124883504194
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.1761416589
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.462721342032
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.479962721342
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0885368126747
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.115097856477
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.390027958993
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.447809878844
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.480894687791
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.429636533085
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.426374650513
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.495806150979
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.505591798695
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.57082945014
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.402143522833
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.377446411929
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.115097856477
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.0698974836906
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.848555452004
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.907735321528
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.457595526561
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.460857409133
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.15284249767
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.123019571295
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.840633737185
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.355545200373
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.133271202237
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.361602982293
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.497670083877
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.575489282386
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.470177073625
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.442218080149
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.612767940354
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.402609506058
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.802889095993
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.501397949674
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.966915191053
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0489282385834
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.504659832246
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.82898415657
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.511649580615
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.473438956198
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.701770736253
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.850419384902
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.0535880708294
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.502795899348
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.616961789376
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.189655172414
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.709226467847
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.602982292637
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.815004659832
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.461789375582
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.514911463187
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.449207828518
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.807082945014
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.0619757688723
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.590866728798
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.373718546132
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.12954333644
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.185927306617
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.383038210624
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.404939422181
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0344827586207
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.473438956198
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.877912395154
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.0731593662628
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.122553588071
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.780055917987
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.553588070829
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.536812674744
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.924510717614
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.0340167753961
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.449207828518
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.836905871389
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.516309412861
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.865330848089
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.87045666356
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.439422180801
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.0400745573159
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.144920782852
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0.132339235788
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.440354147251
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.498602050326
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.123951537745
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.418452935694
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0.130941286114
1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.468313140727
1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.85321528425
1,1,0,1,1,1,0,0,1,1,0,1,0,0,0.958993476235
