topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
2,1,2,1000000,1,0,1000,10,1024,100,2,29,102.94166666666666
2,1,2,1000000,10,0,1,10,512,100,2,29,1.7833333333333332
4,1,2,10,10,1,1,10,512,100,2,29,3.274999999999999
2,1,2,10,10,0,1,1000,512,10000,5,29,1.875
2,10,2,10,10,0,1,10,1024,100,2,0,1.8499999999999999
4,10,2,1000000,1,0,1,1000,1024,10000,5,0,1.2416666666666665
2,10,2,1000000,1,0,1000,10,1024,100,2,0,103.66666666666667
2,10,2,10,10,1,1,1000,1024,10000,2,29,1.7999999999999998
4,1,2,1000000,1,1,1,1000,512,10000,2,0,1.2499999999999998
2,1,4,1000000,1,1,1000,10,512,100,2,29,117.70833333333333
2,1,2,1000000,1,1,1000,10,512,100,2,0,99.741666666666674
2,10,4,10,1,1,1000,10,512,100,5,0,109.55833333333332
4,10,2,10,1,0,1,10,1024,100,2,0,1.2583333333333331
2,10,4,10,1,0,1,10,512,100,5,29,1.1249999999999998
4,10,2,1000000,1,1,1,1000,512,10000,5,29,1.2249999999999996
4,1,2,10,1,0,1,1000,1024,10000,2,29,1.2666666666666664
2,10,4,1000000,10,1,1000,10,512,100,2,0,1868.4416666666666
2,1,4,1000000,10,1,1,1000,512,10000,5,29,2.2333333333333334
2,10,4,10,1,1,1,10,512,100,2,0,1.0999999999999999
2,1,4,1000000,10,1,1000,10,1024,100,2,29,1917.633333333333
4,10,2,1000000,10,1,1000,1000,1024,10000,2,29,2612.2166666666662
4,10,2,10,10,1,1,10,512,100,5,0,3.2416666666666658
2,10,4,10,10,1,1,1000,512,10000,5,0,2.7666666666666671
2,1,4,1000000,10,1,1000,1000,512,10000,5,29,1676.0916666666669
4,10,2,1000000,10,0,1,1000,1024,10000,2,0,3.2583333333333329
2,1,4,10,1,0,1000,1000,512,10000,2,29,110.79166666666664
4,10,4,10,1,1,1000,10,512,100,2,0,229.63333333333333
4,1,2,1000000,10,1,1,1000,1024,10000,2,29,3.2833333333333328
2,10,4,10,10,1,1000,10,1024,100,2,0,1627.916666666667
4,10,4,10,10,1,1,1000,1024,10000,2,29,4.3916666666666657
2,1,4,10,10,0,1,10,512,100,2,0,1.8833333333333335
4,1,4,10,1,0,1,10,512,100,5,29,1.2583333333333331
4,1,4,10,1,1,1000,10,512,100,5,29,212.12499999999997
4,1,2,10,1,1,1,10,512,100,5,29,1.2499999999999998
2,10,2,1000000,10,1,1000,10,512,100,2,0,1589.7833333333335
4,10,4,10,10,1,1000,1000,512,10000,5,0,5809.5166666666664
4,10,2,1000000,10,0,1000,10,1024,100,5,29,3897.3333333333326
4,1,2,1000000,1,1,1,1000,1024,10000,5,0,1.325
2,10,2,10,1,0,1,10,1024,100,5,29,1.1166666666666665
4,10,4,1000000,10,0,1,1000,1024,10000,5,29,4.1083333333333334
4,10,4,10,1,0,1,10,512,100,5,0,1.2583333333333331
2,1,4,10,10,1,1,1000,1024,10000,5,29,1.8916666666666668
4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,3918.525000000001
2,1,2,10,10,0,1000,10,512,100,2,29,1466.1833333333334
4,1,2,10,10,1,1000,10,1024,100,5,0,4308.75
2,10,4,10,1,0,1,1000,512,10000,2,29,1.0999999999999999
4,1,2,1000000,10,1,1000,1000,1024,10000,2,0,4157.9666666666662
2,1,2,10,10,1,1000,10,512,100,2,0,1605.4499999999998
2,10,4,10,10,1,1000,10,512,100,5,29,1695.9666666666669
2,10,4,1000000,10,0,1000,10,512,100,2,29,1898.1416666666664
2,10,2,1000000,10,0,1,10,512,100,2,0,1.8166666666666664
4,1,2,10,10,1,1000,10,512,100,2,29,3622.375
2,10,2,10,1,1,1,1000,1024,10000,5,0,1.1333333333333331
2,1,4,10,10,1,1000,1000,1024,10000,5,29,1640.4583333333333
2,10,4,1000000,10,0,1,1000,512,10000,5,29,1.9749999999999999
4,10,2,1000000,1,0,1000,10,1024,100,5,0,171.48333333333335
4,1,4,1000000,10,1,1000,1000,1024,10000,5,0,4643.1083333333327
2,10,4,10,1,1,1000,10,1024,100,5,29,119.91666666666667
2,1,2,1000000,1,0,1000,10,1024,100,5,29,98.291666666666643
4,1,2,10,10,0,1000,1000,512,10000,2,0,4234.916666666667
4,10,4,1000000,10,0,1,10,512,100,2,0,4.3166666666666664
4,1,4,10,1,0,1,1000,512,10000,5,29,1.283333333333333
2,1,2,1000000,10,0,1,1000,512,10000,2,0,1.833333333333333
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,225.48333333333326
2,1,2,1000000,10,1,1,1000,512,10000,2,0,1.8416666666666666
4,1,2,10,10,0,1,10,1024,100,2,0,3.3833333333333329
4,1,4,1000000,1,1,1,1000,512,10000,5,0,1.2666666666666664
2,10,4,10,10,1,1000,1000,512,10000,2,29,1819.5166666666671
4,1,2,10,1,0,1,1000,1024,10000,5,29,1.2499999999999998
4,1,2,1000000,10,0,1,10,512,100,2,29,3.3333333333333326
4,10,4,10,1,0,1,10,1024,100,5,0,1.2749999999999997
2,10,2,10,1,1,1,10,512,100,2,0,1.0999999999999999
2,10,2,1000000,10,1,1000,10,1024,100,5,29,1566.4833333333333
4,1,2,10,10,0,1,1000,512,10000,5,29,3.1999999999999993
4,10,2,1000000,10,0,1000,1000,1024,10000,5,29,4400.3083333333334
4,10,4,1000000,10,1,1,1000,512,10000,2,29,4.2666666666666666
4,1,2,10,1,0,1,10,1024,100,2,29,1.2583333333333331
4,10,2,10,1,1,1000,10,1024,100,5,0,172.01666666666668
2,1,4,1000000,10,0,1,1000,512,10000,2,0,2.3000000000000003
4,1,2,10,10,0,1000,10,1024,100,5,29,4133.9333333333334
2,10,2,10,1,1,1,1000,512,10000,2,0,1.1166666666666665
4,10,4,1000000,10,1,1000,10,1024,100,5,0,5758.6333333333323
2,10,4,10,10,0,1,1000,512,10000,2,29,1.9416666666666671
4,10,2,10,1,0,1000,1000,1024,10000,2,0,195.23333333333335
4,10,2,10,10,0,1000,10,512,100,5,29,3806.9499999999994
4,1,4,10,1,1,1,10,512,100,2,0,1.2499999999999998
2,10,2,1000000,1,0,1,1000,1024,10000,5,0,1.1083333333333332
4,1,4,10,10,0,1,1000,1024,10000,2,29,4.2916666666666661
2,10,4,1000000,1,1,1,1000,512,10000,2,0,1.1249999999999998
4,1,2,1000000,10,0,1000,1000,512,10000,2,0,4665.3916666666664
2,10,2,10,10,1,1,10,1024,100,5,0,1.8583333333333332
2,10,2,10,10,0,1000,10,512,100,2,29,1511.5916666666665
2,1,2,10,1,1,1000,1000,1024,10000,2,0,106.7
2,10,4,1000000,1,1,1,1000,512,10000,5,29,1.1083333333333332
2,10,4,1000000,1,0,1000,1000,1024,10000,2,29,123.84166666666668
4,10,2,10,10,1,1,10,512,100,5,29,3.2833333333333328
4,10,2,10,1,1,1000,10,512,100,5,29,177.73333333333335
2,10,4,1000000,1,1,1000,10,1024,100,2,29,121.72499999999998
4,1,4,1000000,1,0,1000,1000,1024,10000,2,29,211.07500000000002
4,1,4,1000000,10,0,1000,1000,1024,10000,2,29,3890.3083333333329
4,1,2,10,10,0,1,10,1024,100,5,0,3.3083333333333331
2,1,4,1000000,10,1,1000,1000,512,10000,5,0,1775.4166666666663
4,10,4,1000000,1,1,1000,1000,512,10000,2,0,222.79999999999998
4,10,2,10,10,0,1,10,512,100,5,29,3.3583333333333329
2,10,4,1000000,1,1,1000,1000,512,10000,5,0,114.48333333333333
2,10,4,10,10,0,1,1000,1024,10000,5,0,1.9666666666666668
4,10,2,1000000,1,0,1,1000,1024,10000,5,29,1.2583333333333331
4,1,2,1000000,10,1,1,1000,512,10000,5,0,3.3916666666666662
2,1,2,10,10,0,1,10,1024,100,2,0,1.7916666666666663
4,1,4,1000000,1,1,1000,10,1024,100,2,0,230.7833333333333
2,10,4,10,10,0,1,1000,512,10000,5,29,1.9083333333333334
2,10,2,10,10,1,1000,10,512,100,2,29,1474.0166666666667
4,1,4,10,10,1,1,10,512,100,5,29,5.3916666666666657
2,1,4,10,10,0,1,1000,1024,10000,2,0,2.0083333333333333
2,10,4,10,10,0,1,10,1024,100,5,29,1.9583333333333333
4,10,2,1000000,10,1,1,10,1024,100,2,29,3.2416666666666658
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,1.2416666666666665
4,1,4,10,10,0,1000,10,1024,100,2,29,4785.1833333333334
2,1,4,1000000,1,1,1,1000,1024,10000,5,0,1.1333333333333331
4,1,4,10,10,1,1,10,1024,100,5,0,4.2749999999999995
2,10,2,10,1,1,1,10,512,100,5,0,1.0999999999999999
4,10,2,1000000,1,0,1000,10,1024,100,2,29,190.64166666666665
2,1,2,1000000,10,1,1,10,1024,100,2,29,1.825
4,1,4,1000000,1,1,1,10,1024,100,5,0,1.2666666666666664
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,118.02499999999999
4,1,2,1000000,10,1,1000,1000,512,10000,5,0,4334.0666666666666
4,1,2,10,10,0,1,10,512,100,5,29,3.2083333333333326
2,10,2,10,10,0,1000,10,1024,100,2,0,1665.625
4,10,2,10,10,0,1,1000,1024,10000,2,29,3.1999999999999997
2,1,2,10,10,1,1,1000,1024,10000,2,29,1.825
4,1,2,1000000,10,0,1,1000,1024,10000,2,29,3.4833333333333329
2,10,2,10,10,1,1000,1000,1024,10000,2,29,1495.6083333333333
4,10,4,10,10,1,1000,10,1024,100,5,0,5037.75
2,1,4,10,10,1,1000,10,1024,100,5,0,1812.1000000000001
2,1,4,10,10,0,1000,1000,1024,10000,2,0,1683.5666666666666
2,1,4,10,10,0,1,10,1024,100,5,29,1.9000000000000004
2,10,4,10,1,1,1,10,1024,100,5,29,1.2416666666666665
2,10,4,1000000,10,0,1,10,512,100,2,29,1.8833333333333335
2,1,2,10,1,1,1000,10,1024,100,2,29,99.0
4,1,2,10,10,0,1000,10,512,100,2,0,4532.3583333333336
2,1,4,1000000,1,1,1,1000,1024,10000,2,29,3.5416666666666665
2,10,2,10,1,0,1,10,1024,100,5,0,1.1166666666666665
4,10,4,1000000,1,0,1000,1000,1024,10000,5,0,258.39166666666671
2,1,4,1000000,10,0,1000,1000,512,10000,5,29,1604.7083333333333
4,10,4,10,10,0,1,10,512,100,2,29,4.458333333333333
2,1,4,1000000,1,1,1,1000,512,10000,2,0,1.1166666666666665
2,1,4,1000000,1,1,1,10,512,100,5,0,1.1083333333333332
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,185.79166666666666
4,10,4,1000000,1,0,1000,10,1024,100,2,0,222.26666666666668
2,10,2,1000000,10,0,1,1000,512,10000,5,0,2.1916666666666664
4,1,2,1000000,10,1,1000,10,1024,100,5,0,3925.9666666666672
2,1,4,10,1,1,1000,10,512,100,2,29,124.47499999999998
4,1,4,1000000,10,1,1000,10,512,100,2,0,5083.5916666666662
2,10,2,10,10,1,1000,1000,1024,10000,5,0,1628.9666666666669
4,10,4,10,1,1,1000,10,512,100,2,29,235.68333333333337
2,1,2,1000000,10,0,1000,10,512,100,2,0,1525.3583333333333
2,1,2,10,10,1,1,10,1024,100,2,29,1.7916666666666663
4,10,4,1000000,1,0,1,10,1024,100,5,29,1.2499999999999998
4,10,2,10,1,0,1000,10,1024,100,2,29,173.80833333333331
2,10,2,10,10,0,1,10,1024,100,5,29,1.7916666666666663
4,1,2,1000000,1,1,1000,1000,512,10000,2,0,198.40833333333333
2,10,4,10,1,0,1000,1000,512,10000,5,0,113.55833333333334
4,1,2,1000000,10,1,1,10,512,100,5,0,3.274999999999999
2,1,2,1000000,10,1,1000,1000,1024,10000,2,29,1392.5666666666666
4,10,2,1000000,1,1,1000,10,512,100,5,0,185.375
2,10,4,10,10,0,1,1000,1024,10000,2,29,1.9916666666666663
4,1,2,10,10,0,1000,1000,1024,10000,2,0,4781.5666666666666
2,10,2,1000000,10,1,1,10,512,100,2,0,1.7916666666666663
4,1,4,1000000,10,1,1,1000,1024,10000,5,29,4.2416666666666663
2,1,2,1000000,1,1,1,1000,512,10000,2,0,3.5583333333333336
4,10,2,10,10,1,1000,10,1024,100,2,0,4022.0833333333335
