spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_azure_2_7_10286
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01
1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.03
1,1,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.01
1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.025
1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.015
1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.03
1,1,0,1,0,1,0,0,0,0,0,0,0,0,5.0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.01
1,0,1,1,0,1,0,0,0,0,0,0,0,0,5.0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.03
1,1,1,1,0,1,0,0,0,0,0,0,0,0,5.005
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.01
1,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.05
1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.02
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.005
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.02
1,0,0,1,1,1,0,0,0,0,0,0,0,0,5.005
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.02
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5.005
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,1,1,1,0,0,0,0,0,0,0,0,5.005
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.015
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02
1,1,0,0,0,0,1,0,0,0,0,0,0,0,3.965
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.01
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.235
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.05
1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.01
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.01
1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.02
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.01
1,1,0,1,0,0,1,0,0,0,0,0,0,0,5.04
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.015
1,0,1,1,0,0,1,0,0,0,0,0,0,0,5.025
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.005
1,1,1,1,0,0,1,0,0,0,0,0,0,0,5.02
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.05
1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.01
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.055
1,1,0,0,1,0,1,0,0,0,0,0,0,0,5.01
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.015
1,0,1,0,1,0,1,0,0,0,0,0,0,0,5.01
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.05
1,1,1,0,1,0,1,0,0,0,0,0,0,0,5.01
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,4.65
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.01
1,1,0,1,1,0,1,0,0,0,0,0,0,0,1.45
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,1,1,1,0,1,0,0,0,0,0,0,0,5.01
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.025
1,1,1,1,1,0,1,0,0,0,0,0,0,0,5.01
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.02
1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.01
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.04
1,1,0,0,0,1,1,0,0,0,0,0,0,0,5.005
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.015
1,0,1,0,0,1,1,0,0,0,0,0,0,0,5.01
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.04
1,1,1,0,0,1,1,0,0,0,0,0,0,0,5.01
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.02
1,0,0,1,0,1,1,0,0,0,0,0,0,0,5.01
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.02
1,1,0,1,0,1,1,0,0,0,0,0,0,0,5.005
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.005
1,0,1,1,0,1,1,0,0,0,0,0,0,0,5.005
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.03
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.385
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.01
1,0,0,0,1,1,1,0,0,0,0,0,0,0,5.005
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.04
1,1,0,0,1,1,1,0,0,0,0,0,0,0,5.01
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.01
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5.0
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.03
1,1,1,0,1,1,1,0,0,0,0,0,0,0,5.0
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.01
1,0,0,1,1,1,1,0,0,0,0,0,0,0,5.01
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.035
1,1,0,1,1,1,1,0,0,0,0,0,0,0,5.0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.01
1,0,1,1,1,1,1,0,0,0,0,0,0,0,5.01
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.03
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.005
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.005
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.02
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.01
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.02
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,1.96
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.01
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.02
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.005
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5.02
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.005
1,0,1,1,0,0,0,1,0,0,0,0,0,0,5.02
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.01
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5.02
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.07
1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.015
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.025
1,1,0,0,1,0,0,1,0,0,0,0,0,0,5.01
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.06
1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.01
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.02
1,1,1,0,1,0,0,1,0,0,0,0,0,0,5.01
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.07
1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.01
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.02
1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.01
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.065
1,0,1,1,1,0,0,1,0,0,0,0,0,0,5.015
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.02
1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.01
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.01
1,0,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.03
1,1,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.01
1,0,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.02
1,1,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.015
1,0,0,1,0,1,0,1,0,0,0,0,0,0,5.0
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.03
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.01
1,0,1,1,0,1,0,1,0,0,0,0,0,0,5.0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.03
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5.0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.01
1,0,0,0,1,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.04
1,1,0,0,1,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.01
1,0,1,0,1,1,0,1,0,0,0,0,0,0,5.005
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0.045
1,1,1,0,1,1,0,1,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.015
1,0,0,1,1,1,0,1,0,0,0,0,0,0,5.0
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,1,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.02
1,0,1,1,1,1,0,1,0,0,0,0,0,0,5.0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0.05
1,1,1,1,1,1,0,1,0,0,0,0,0,0,5.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.015
1,0,0,0,0,0,1,1,0,0,0,0,0,0,5.0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.02
1,1,0,0,0,0,1,1,0,0,0,0,0,0,3.825
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.01
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.23
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.04
1,1,1,0,0,0,1,1,0,0,0,0,0,0,5.01
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.005
1,0,0,1,0,0,1,1,0,0,0,0,0,0,5.02
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.01
1,1,0,1,0,0,1,1,0,0,0,0,0,0,5.04
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.02
1,0,1,1,0,0,1,1,0,0,0,0,0,0,5.02
0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.01
1,1,1,1,0,0,1,1,0,0,0,0,0,0,5.02
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.05
1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.01
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.055
1,1,0,0,1,0,1,1,0,0,0,0,0,0,5.01
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.01
1,0,1,0,1,0,1,1,0,0,0,0,0,0,5.01
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.045
1,1,1,0,1,0,1,1,0,0,0,0,0,0,5.015
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.0
1,0,0,1,1,0,1,1,0,0,0,0,0,0,4.47
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0.01
1,1,0,1,1,0,1,1,0,0,0,0,0,0,1.445
0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.0
1,0,1,1,1,0,1,1,0,0,0,0,0,0,5.01
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0.025
1,1,1,1,1,0,1,1,0,0,0,0,0,0,5.01
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.01
1,0,0,0,0,1,1,1,0,0,0,0,0,0,5.01
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.035
1,1,0,0,0,1,1,1,0,0,0,0,0,0,5.005
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.015
1,0,1,0,0,1,1,1,0,0,0,0,0,0,5.01
0,1,1,0,0,1,1,1,0,0,0,0,0,0,0.04
1,1,1,0,0,1,1,1,0,0,0,0,0,0,5.01
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.01
1,0,0,1,0,1,1,1,0,0,0,0,0,0,5.01
0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.02
1,1,0,1,0,1,1,1,0,0,0,0,0,0,5.01
0,0,1,1,0,1,1,1,0,0,0,0,0,0,0.01
1,0,1,1,0,1,1,1,0,0,0,0,0,0,5.005
0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.03
1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.385
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.01
1,0,0,0,1,1,1,1,0,0,0,0,0,0,5.0
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.04
1,1,0,0,1,1,1,1,0,0,0,0,0,0,5.01
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.01
1,0,1,0,1,1,1,1,0,0,0,0,0,0,5.005
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.03
1,1,1,0,1,1,1,1,0,0,0,0,0,0,5.005
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.01
1,0,0,1,1,1,1,1,0,0,0,0,0,0,5.01
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.04
1,1,0,1,1,1,1,1,0,0,0,0,0,0,5.005
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.01
1,0,1,1,1,1,1,1,0,0,0,0,0,0,5.01
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.025
1,1,1,1,1,1,1,1,0,0,0,0,0,0,5.005
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.025
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.01
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.02
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0
1,1,1,0,0,0,0,0,1,0,0,0,0,0,2.005
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.005
1,0,0,1,0,0,0,0,1,0,0,0,0,0,5.02
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.005
1,1,0,1,0,0,0,0,1,0,0,0,0,0,5.02
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.01
1,0,1,1,0,0,0,0,1,0,0,0,0,0,5.02
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.01
1,1,1,1,0,0,0,0,1,0,0,0,0,0,5.02
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.07
1,0,0,0,1,0,0,0,1,0,0,0,0,0,5.01
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.02
1,1,0,0,1,0,0,0,1,0,0,0,0,0,5.01
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.065
1,0,1,0,1,0,0,0,1,0,0,0,0,0,5.015
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0.02
1,1,1,0,1,0,0,0,1,0,0,0,0,0,5.015
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.065
1,0,0,1,1,0,0,0,1,0,0,0,0,0,5.01
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.02
1,1,0,1,1,0,0,0,1,0,0,0,0,0,5.015
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0.065
1,0,1,1,1,0,0,0,1,0,0,0,0,0,5.015
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.02
1,1,1,1,1,0,0,0,1,0,0,0,0,0,5.015
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.02
1,0,0,0,0,1,0,0,1,0,0,0,0,0,5.0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.025
1,1,0,0,0,1,0,0,1,0,0,0,0,0,5.0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.01
1,0,1,0,0,1,0,0,1,0,0,0,0,0,5.0
0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.02
1,1,1,0,0,1,0,0,1,0,0,0,0,0,5.0
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.02
1,0,0,1,0,1,0,0,1,0,0,0,0,0,5.0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.03
1,1,0,1,0,1,0,0,1,0,0,0,0,0,5.005
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.01
1,0,1,1,0,1,0,0,1,0,0,0,0,0,5.0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.03
1,1,1,1,0,1,0,0,1,0,0,0,0,0,5.005
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.015
1,0,0,0,1,1,0,0,1,0,0,0,0,0,5.0
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.04
1,1,0,0,1,1,0,0,1,0,0,0,0,0,5.0
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0.015
1,0,1,0,1,1,0,0,1,0,0,0,0,0,5.0
0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.04
1,1,1,0,1,1,0,0,1,0,0,0,0,0,5.0
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.015
1,0,0,1,1,1,0,0,1,0,0,0,0,0,5.0
0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.04
1,1,0,1,1,1,0,0,1,0,0,0,0,0,5.0
0,0,1,1,1,1,0,0,1,0,0,0,0,0,0.02
1,0,1,1,1,1,0,0,1,0,0,0,0,0,5.0
0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.045
1,1,1,1,1,1,0,0,1,0,0,0,0,0,5.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.01
1,0,0,0,0,0,1,0,1,0,0,0,0,0,5.005
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.02
1,1,0,0,0,0,1,0,1,0,0,0,0,0,3.785
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.005
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.225
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.04
1,1,1,0,0,0,1,0,1,0,0,0,0,0,5.01
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.005
1,0,0,1,0,0,1,0,1,0,0,0,0,0,5.02
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.01
1,1,0,1,0,0,1,0,1,0,0,0,0,0,5.04
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.015
1,0,1,1,0,0,1,0,1,0,0,0,0,0,5.02
0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.0
1,1,1,1,0,0,1,0,1,0,0,0,0,0,5.02
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.04
1,0,0,0,1,0,1,0,1,0,0,0,0,0,5.01
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.055
1,1,0,0,1,0,1,0,1,0,0,0,0,0,5.015
0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.015
1,0,1,0,1,0,1,0,1,0,0,0,0,0,5.01
0,1,1,0,1,0,1,0,1,0,0,0,0,0,0.05
1,1,1,0,1,0,1,0,1,0,0,0,0,0,5.015
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.0
1,0,0,1,1,0,1,0,1,0,0,0,0,0,4.525
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0
1,1,0,1,1,0,1,0,1,0,0,0,0,0,1.465
0,0,1,1,1,0,1,0,1,0,0,0,0,0,0.01
1,0,1,1,1,0,1,0,1,0,0,0,0,0,5.01
0,1,1,1,1,0,1,0,1,0,0,0,0,0,0.03
1,1,1,1,1,0,1,0,1,0,0,0,0,0,5.01
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.01
1,0,0,0,0,1,1,0,1,0,0,0,0,0,5.01
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0.03
1,1,0,0,0,1,1,0,1,0,0,0,0,0,5.005
0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.01
1,0,1,0,0,1,1,0,1,0,0,0,0,0,5.01
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.035
1,1,1,0,0,1,1,0,1,0,0,0,0,0,5.01
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.01
1,0,0,1,0,1,1,0,1,0,0,0,0,0,5.01
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0.02
1,1,0,1,0,1,1,0,1,0,0,0,0,0,5.01
0,0,1,1,0,1,1,0,1,0,0,0,0,0,0.02
1,0,1,1,0,1,1,0,1,0,0,0,0,0,5.005
0,1,1,1,0,1,1,0,1,0,0,0,0,0,0.025
1,1,1,1,0,1,1,0,1,0,0,0,0,0,0.37
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.02
1,0,0,0,1,1,1,0,1,0,0,0,0,0,5.005
0,1,0,0,1,1,1,0,1,0,0,0,0,0,0.04
1,1,0,0,1,1,1,0,1,0,0,0,0,0,5.005
0,0,1,0,1,1,1,0,1,0,0,0,0,0,0.01
1,0,1,0,1,1,1,0,1,0,0,0,0,0,5.005
0,1,1,0,1,1,1,0,1,0,0,0,0,0,0.03
1,1,1,0,1,1,1,0,1,0,0,0,0,0,5.0
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.01
1,0,0,1,1,1,1,0,1,0,0,0,0,0,5.01
0,1,0,1,1,1,1,0,1,0,0,0,0,0,0.03
1,1,0,1,1,1,1,0,1,0,0,0,0,0,5.005
0,0,1,1,1,1,1,0,1,0,0,0,0,0,0.01
1,0,1,1,1,1,1,0,1,0,0,0,0,0,5.01
0,1,1,1,1,1,1,0,1,0,0,0,0,0,0.035
1,1,1,1,1,1,1,0,1,0,0,0,0,0,5.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.025
1,1,0,0,0,0,0,1,1,0,0,0,0,0,5.01
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,5.02
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.0
1,1,1,0,0,0,0,1,1,0,0,0,0,0,1.945
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.005
1,0,0,1,0,0,0,1,1,0,0,0,0,0,5.02
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.01
1,1,0,1,0,0,0,1,1,0,0,0,0,0,5.02
0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.005
1,0,1,1,0,0,0,1,1,0,0,0,0,0,5.02
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0.01
1,1,1,1,0,0,0,1,1,0,0,0,0,0,5.02
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.07
1,0,0,0,1,0,0,1,1,0,0,0,0,0,5.01
0,1,0,0,1,0,0,1,1,0,0,0,0,0,0.02
1,1,0,0,1,0,0,1,1,0,0,0,0,0,5.01
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0.065
1,0,1,0,1,0,0,1,1,0,0,0,0,0,5.01
0,1,1,0,1,0,0,1,1,0,0,0,0,0,0.02
1,1,1,0,1,0,0,1,1,0,0,0,0,0,5.01
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.06
1,0,0,1,1,0,0,1,1,0,0,0,0,0,5.01
0,1,0,1,1,0,0,1,1,0,0,0,0,0,0.02
1,1,0,1,1,0,0,1,1,0,0,0,0,0,5.01
0,0,1,1,1,0,0,1,1,0,0,0,0,0,0.07
1,0,1,1,1,0,0,1,1,0,0,0,0,0,5.01
0,1,1,1,1,0,0,1,1,0,0,0,0,0,0.02
1,1,1,1,1,0,0,1,1,0,0,0,0,0,5.01
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.01
1,0,0,0,0,1,0,1,1,0,0,0,0,0,5.0
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.03
1,1,0,0,0,1,0,1,1,0,0,0,0,0,5.005
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0.01
1,0,1,0,0,1,0,1,1,0,0,0,0,0,5.0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0.025
1,1,1,0,0,1,0,1,1,0,0,0,0,0,5.0
0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.02
1,0,0,1,0,1,0,1,1,0,0,0,0,0,5.005
