SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0517857142857
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.0642857142857
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.103571428571
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.1375
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0892857142857
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.0607142857143
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.0892857142857
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.1125
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.1375
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.196428571429
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0375
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0660714285714
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.101785714286
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.180357142857
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.169642857143
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.0982142857143
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.157142857143
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.0982142857143
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.075
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0553571428571
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.0892857142857
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.0803571428571
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.0517857142857
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0625
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.0821428571429
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.139285714286
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.1
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.0928571428571
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.217857142857
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.108928571429
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.180357142857
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.123214285714
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.125
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.1625
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.169642857143
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0892857142857
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.0607142857143
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0982142857143
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.0625
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0839285714286
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.0321428571429
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.253571428571
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.0553571428571
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.0642857142857
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.0928571428571
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.117857142857
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.276785714286
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.0625
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.117857142857
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.0517857142857
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.0892857142857
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.0607142857143
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.0607142857143
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.0857142857143
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.0482142857143
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.0517857142857
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.101785714286
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.0196428571429
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.108928571429
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.142857142857
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.142857142857
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.0964285714286
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.0696428571429
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.198214285714
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0589285714286
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.0589285714286
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.142857142857
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.182142857143
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.144642857143
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.0928571428571
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.1625
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.142857142857
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.0267857142857
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.0375
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.103571428571
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0625
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.0946428571429
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.0607142857143
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.0660714285714
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.0607142857143
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.0839285714286
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.0517857142857
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.158928571429
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.285714285714
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.0928571428571
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.108928571429
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.0767857142857
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.325
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.0803571428571
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.276785714286
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.166071428571
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0553571428571
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.05
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0571428571429
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.1
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.125
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.0660714285714
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.173214285714
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.108928571429
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.101785714286
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.271428571429
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.0446428571429
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.110714285714
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.0607142857143
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.280357142857
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.0553571428571
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.0535714285714
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.0696428571429
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0732142857143
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.114285714286
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.116071428571
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.107142857143
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.0553571428571
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0678571428571
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.141071428571
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.169642857143
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.414285714286
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.157142857143
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.0732142857143
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.0589285714286
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.0571428571429
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.0875
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.0714285714286
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0839285714286
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.0642857142857
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.0678571428571
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0482142857143
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.0714285714286
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.0678571428571
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.0589285714286
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.0875
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.0696428571429
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.0928571428571
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.0375
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.0946428571429
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.0857142857143
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.110714285714
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.0767857142857
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0839285714286
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.0875
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.0875
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.0857142857143
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.1
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.0767857142857
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.0553571428571
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0875
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.0678571428571
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.0267857142857
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.0714285714286
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.0875
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.123214285714
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.146428571429
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.169642857143
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.135714285714
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.0714285714286
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.198214285714
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.0803571428571
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.0767857142857
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.0571428571429
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.0875
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.353571428571
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.075
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.0553571428571
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.0642857142857
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.146428571429
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.158928571429
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.148214285714
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.0392857142857
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0732142857143
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0767857142857
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.0589285714286
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.133928571429
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.0553571428571
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.123214285714
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.0803571428571
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.0642857142857
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.0517857142857
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.0678571428571
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.0535714285714
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.0607142857143
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.0946428571429
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.208928571429
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.144642857143
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.0821428571429
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0678571428571
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.101785714286
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.0660714285714
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.075
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.141071428571
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.103571428571
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.0928571428571
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.0571428571429
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.075
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.0964285714286
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.0714285714286
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.0767857142857
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.114285714286
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.0910714285714
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.101785714286
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.0839285714286
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.1625
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.0589285714286
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.0607142857143
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0785714285714
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.0946428571429
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.0625
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.133928571429
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.164285714286
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.0607142857143
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.0464285714286
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.103571428571
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.1
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.151785714286
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.0392857142857
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.341071428571
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.0875
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.0553571428571
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.0910714285714
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.0714285714286
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.0464285714286
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.0696428571429
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.0946428571429
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.0821428571429
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.1375
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0982142857143
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.0589285714286
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.0964285714286
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.0642857142857
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.0732142857143
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.298214285714
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.05
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.0678571428571
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.0928571428571
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.075
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.0857142857143
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.164285714286
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.0910714285714
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0875
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.158928571429
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.1625
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.194642857143
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.075
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.105357142857
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.0553571428571
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.0714285714286
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.110714285714
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.101785714286
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.103571428571
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.0964285714286
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.144642857143
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.146428571429
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.0607142857143
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.119642857143
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.0607142857143
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.0696428571429
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.119642857143
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.2
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.0767857142857
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.260714285714
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.182142857143
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.1125
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.15
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.0339285714286
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.0714285714286
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.0535714285714
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.0857142857143
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.126785714286
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.108928571429
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.0821428571429
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.075
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0482142857143
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.125
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.126785714286
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.0785714285714
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.0964285714286
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.0517857142857
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.4
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.0839285714286
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.0946428571429
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.103571428571
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.121428571429
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.169642857143
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.1625
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.178571428571
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.126785714286
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.0660714285714
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0767857142857
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.119642857143
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.103571428571
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0625
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.0928571428571
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.130357142857
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.0732142857143
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.116071428571
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.108928571429
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0660714285714
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.0803571428571
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.153571428571
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.0928571428571
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0785714285714
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.0232142857143
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.0553571428571
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.139285714286
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.142857142857
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.157142857143
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0625
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.0589285714286
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.105357142857
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.0464285714286
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.0482142857143
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.125
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.0892857142857
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.0589285714286
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0.116071428571
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.164285714286
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.148214285714
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.117857142857
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.0482142857143
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0.0732142857143
1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.0696428571429
1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.0785714285714
1,1,0,1,1,1,0,0,1,1,0,1,0,0,0.0464285714286
