SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.876151236064
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0104217159476
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.722733882695
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.034415899176
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0535627726612
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.846097915657
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0557440620456
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.12433349491
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0504120213282
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.894813378575
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0365971885603
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.0395055744062
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0511391177896
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.796655356277
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.785021812894
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0937954435288
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0576829859428
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0952496364518
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.787445467765
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0986427532719
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0668928744547
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0809500727096
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.82113427048
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0542898691226
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.825496849249
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0591371788657
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.841492971401
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.74188075618
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.0460494425594
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.745758603975
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.0433834222007
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0475036354823
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0535627726612
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0290838584586
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.079980610761
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.751817741154
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.846097915657
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.0647115850703
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.78793019874
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.808288899661
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.130392632089
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.12094037809
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.779932137664
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.885603490063
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.163111972855
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.809500727096
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.777266117305
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.81774115366
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.148812409113
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.824769752787
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.995879786718
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.111488124091
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.831071255453
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.811439650994
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.0637421231217
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0959767329132
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0785264178381
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.79132331556
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.866456616578
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.785748909355
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0819195346583
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.786718371304
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.043868153175
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.825496849249
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.0700436257877
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.139360155114
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.806834706738
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.0397479398934
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.824042656326
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.121425109064
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.782113427048
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.170140571983
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.805622879302
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.86282113427
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.00460494425594
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.90208434319
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.0637421231217
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.854823073194
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.772661173049
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.0671352399418
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.828647600582
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.0545322346098
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.855792535143
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.792292777508
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.25981580223
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0710130877363
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.0310227823558
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.110033931168
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0506543868153
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.872031022782
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.0935530780417
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.914687348522
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0300533204072
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.0421715947649
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.930198739699
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.772661173049
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0748909355308
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.010906446922
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.100339311682
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.841977702375
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.845370819195
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.808531265148
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.859670382937
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.0620455647116
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.0639844886088
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.0637421231217
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.134512845371
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.106640814348
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.938439166263
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.0506543868153
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.850702859913
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.112942317014
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.120213281629
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.064226854096
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0426563257392
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.884391662627
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.809015996122
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.845370819195
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.783809985458
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.0644692195831
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.836888027145
0,1,0,0,0,1,0,1,1,0,0,1,0,0,1.0
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.820649539506
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.111488124091
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.775811924382
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0751333010179
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.767571497819
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.782355792535
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.138390693165
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0843431895298
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0630150266602
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.0855550169656
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.807561803199
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.904507998061
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.787445467765
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.0848279205041
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.787445467765
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.00727096461464
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.848036839554
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.861851672322
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.0315075133301
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.865002423655
1,0,0,1,1,1,0,1,0,1,1,1,0,1,0.813378574891
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.847309743093
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.090887057683
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.111003393117
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.942559379544
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.101308773631
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.833494910325
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.875181774115
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.787445467765
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.794958797867
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.781628696074
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.844643722734
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.769268056229
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.764420746486
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.796170625303
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0494425593795
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.780901599612
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0870092098885
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.814832767814
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.184440135725
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.914929714009
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.78793019874
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.0562287930199
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.841250605914
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.866941347552
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0542898691226
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.823800290839
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.800048473097
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.819680077557
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.789869122637
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0969461948619
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.0976732913233
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0538051381483
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.904507998061
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.929714008725
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.791080950073
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.0373242850218
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.860882210373
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.0700436257877
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.812893843917
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.0734367426079
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.0426563257392
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.809258361609
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.91565681047
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.101551139118
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.122394571013
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.132816286961
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.0841008240427
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0794958797867
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.11585070286
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.820164808531
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.056471158507
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.108095007271
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.785506543868
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.0569558894813
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.00896752302472
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.0690741638391
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.929956374212
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.827678138633
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.725884634028
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.905962190984
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.0174503150751
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.850702859913
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.0700436257877
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0460494425594
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.779932137664
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.124575860397
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.229277750848
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.0625302956859
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.0213281628696
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.752787203102
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.188560349006
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.895540475036
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.798594280175
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.133543383422
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.809015996122
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.070528356762
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.760542898691
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.778235579254
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.784052350945
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.112699951527
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.771934076587
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.798836645662
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0460494425594
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.0290838584586
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.100096946195
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.0300533204072
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.770479883665
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.829859428017
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.84415899176
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.800533204072
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.867426078526
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0518662142511
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.0896752302472
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.216917111003
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.849733397964
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.165293262239
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.978914202618
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.0472612699952
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.779205041202
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.839554047504
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.76490547746
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.114638875424
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.100581677169
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.955404750364
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.808773630635
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.177411536597
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.772903538536
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.866214251091
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.21546291808
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.837615123606
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.762481822588
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.766117304896
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.0448376151236
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.0729520116335
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.777993213766
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.805380513815
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.132331555986
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0618031992244
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.764663111973
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.857246728066
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.767813863306
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.820164808531
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.125060591372
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.192438196801
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.786476005817
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.0714978187106
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.0581677169171
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.790596219098
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0475036354823
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.0542898691226
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.795685894329
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.800048473097
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.121182743577
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.0385361124576
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.119001454193
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.113669413476
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.88414929714
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.889723703345
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.0712554532235
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.767571497819
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.0712554532235
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.112215220553
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.84924866699
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.847794474067
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.0828889966069
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.870576829859
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.821376635967
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.0191468734852
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.803441589918
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0790111488124
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.0836160930683
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.841008240427
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.0322346097916
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.742123121667
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.117789626757
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.772418807562
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.0588948133786
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.0540475036355
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.812409112942
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.0899175957344
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.804411051866
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.118759088706
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.830586524479
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.0717401841978
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.176442074649
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.785264178381
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.798594280175
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.0744062045565
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.134997576345
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.0278720310228
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.115608337373
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.0957343674261
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.739941832283
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.76999515269
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.240426563257
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.125545322346
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.851187590887
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.0492001938924
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0913717886573
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.840281143965
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.828889966069
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.0959767329132
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.820164808531
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.0198739699467
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.76660203587
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.774842462433
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.778477944741
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.869122636937
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.744789142026
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.14735821619
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.0475036354823
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.12094037809
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0.0571982549685
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.0719825496849
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.842947164324
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.135967038294
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.757876878333
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0.0979156568105
1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.12603005332
