spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_feature11_2_7_4435.1
1,1,1,1,0,1,0,0,0,0,0,0,0,0,5.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.235
1,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.005
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.23
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.24
1,0,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.22
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5.0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.11
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.005
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.08
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.33
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.195
1,0,1,0,0,0,1,0,0,0,0,0,0,0,5.01
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.24
1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.01
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.07
1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.02
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.035
1,1,0,1,0,0,1,0,0,0,0,0,0,0,5.02
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.05
1,0,1,1,0,0,1,0,0,0,0,0,0,0,5.03
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.01
1,1,1,1,0,0,1,0,0,0,0,0,0,0,5.03
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.04
1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.02
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.055
1,1,0,0,1,0,1,0,0,0,0,0,0,0,5.02
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.01
1,0,1,0,1,0,1,0,0,0,0,0,0,0,5.02
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.08
1,1,1,0,1,0,1,0,0,0,0,0,0,0,5.02
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.11
1,0,0,1,1,0,1,0,0,0,0,0,0,0,5.02
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.07
1,1,0,1,1,0,1,0,0,0,0,0,0,0,5.02
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.06
1,0,1,1,1,0,1,0,0,0,0,0,0,0,5.02
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.085
1,1,1,1,1,0,1,0,0,0,0,0,0,0,5.02
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.08
1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.005
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.325
1,1,0,0,0,1,1,0,0,0,0,0,0,0,5.01
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.21
1,0,1,0,0,1,1,0,0,0,0,0,0,0,5.01
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.075
1,1,1,0,0,1,1,0,0,0,0,0,0,0,5.005
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.06
1,0,0,1,0,1,1,0,0,0,0,0,0,0,5.01
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.155
1,1,0,1,0,1,1,0,0,0,0,0,0,0,5.01
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.1
1,0,1,1,0,1,1,0,0,0,0,0,0,0,5.01
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.12
1,1,1,1,0,1,1,0,0,0,0,0,0,0,5.01
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.115
1,0,0,0,1,1,1,0,0,0,0,0,0,0,5.01
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.11
1,1,0,0,1,1,1,0,0,0,0,0,0,0,5.01
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.08
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5.01
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.14
1,1,1,0,1,1,1,0,0,0,0,0,0,0,5.01
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.06
1,0,0,1,1,1,1,0,0,0,0,0,0,0,5.01
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.14
1,1,0,1,1,1,1,0,0,0,0,0,0,0,5.005
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.075
1,0,1,1,1,1,1,0,0,0,0,0,0,0,5.005
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.09
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.01
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.035
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.01
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.03
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.01
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.095
1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.01
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.185
1,1,1,0,0,0,0,1,0,0,0,0,0,0,5.01
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.205
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.03
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.04
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5.03
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.22
1,0,1,1,0,0,0,1,0,0,0,0,0,0,5.03
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.04
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5.03
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.07
1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.02
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.235
1,1,0,0,1,0,0,1,0,0,0,0,0,0,5.015
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.065
1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.02
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.23
1,1,1,0,1,0,0,1,0,0,0,0,0,0,5.02
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.065
1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.02
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.225
1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.02
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.07
1,0,1,1,1,0,0,1,0,0,0,0,0,0,5.02
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.23
1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.02
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1
1,0,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.04
1,1,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.13
1,0,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.04
1,1,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.1
1,0,0,1,0,1,0,1,0,0,0,0,0,0,5.0
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.04
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.1
1,0,1,1,0,1,0,1,0,0,0,0,0,0,5.005
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.04
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5.0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.22
1,0,0,0,1,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.04
1,1,0,0,1,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.235
1,0,1,0,1,1,0,1,0,0,0,0,0,0,5.0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0.04
1,1,1,0,1,1,0,1,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.235
1,0,0,1,1,1,0,1,0,0,0,0,0,0,5.005
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,1,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.24
1,0,1,1,1,1,0,1,0,0,0,0,0,0,5.0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0.04
1,1,1,1,1,1,0,1,0,0,0,0,0,0,5.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11
1,0,0,0,0,0,1,1,0,0,0,0,0,0,5.01
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.08
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1.345
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.185
1,0,1,0,0,0,1,1,0,0,0,0,0,0,5.01
0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.24
1,1,1,0,0,0,1,1,0,0,0,0,0,0,5.01
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.075
1,0,0,1,0,0,1,1,0,0,0,0,0,0,5.02
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.035
1,1,0,1,0,0,1,1,0,0,0,0,0,0,5.02
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.05
1,0,1,1,0,0,1,1,0,0,0,0,0,0,5.03
0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.01
1,1,1,1,0,0,1,1,0,0,0,0,0,0,5.03
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.04
1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.02
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.045
1,1,0,0,1,0,1,1,0,0,0,0,0,0,5.02
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.01
1,0,1,0,1,0,1,1,0,0,0,0,0,0,5.02
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.08
1,1,1,0,1,0,1,1,0,0,0,0,0,0,5.02
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.115
1,0,0,1,1,0,1,1,0,0,0,0,0,0,5.015
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0.07
1,1,0,1,1,0,1,1,0,0,0,0,0,0,5.02
0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.06
1,0,1,1,1,0,1,1,0,0,0,0,0,0,5.02
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0.085
1,1,1,1,1,0,1,1,0,0,0,0,0,0,5.02
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.08
1,0,0,0,0,1,1,1,0,0,0,0,0,0,5.01
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.325
1,1,0,0,0,1,1,1,0,0,0,0,0,0,5.01
0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.22
1,0,1,0,0,1,1,1,0,0,0,0,0,0,5.01
0,1,1,0,0,1,1,1,0,0,0,0,0,0,0.075
1,1,1,0,0,1,1,1,0,0,0,0,0,0,5.01
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.06
1,0,0,1,0,1,1,1,0,0,0,0,0,0,5.01
0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.155
1,1,0,1,0,1,1,1,0,0,0,0,0,0,5.01
0,0,1,1,0,1,1,1,0,0,0,0,0,0,0.11
1,0,1,1,0,1,1,1,0,0,0,0,0,0,5.01
0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.115
1,1,1,1,0,1,1,1,0,0,0,0,0,0,5.01
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.1
1,0,0,0,1,1,1,1,0,0,0,0,0,0,5.01
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.115
1,1,0,0,1,1,1,1,0,0,0,0,0,0,5.01
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.08
1,0,1,0,1,1,1,1,0,0,0,0,0,0,5.01
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0.145
1,1,1,0,1,1,1,1,0,0,0,0,0,0,5.01
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.055
1,0,0,1,1,1,1,1,0,0,0,0,0,0,5.01
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.14
1,1,0,1,1,1,1,1,0,0,0,0,0,0,5.01
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.08
1,0,1,1,1,1,1,1,0,0,0,0,0,0,5.01
0,1,1,1,1,1,1,1,0,0,0,0,0,0,0.1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,5.01
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04
1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.035
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.01
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.085
1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.01
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.18
1,1,1,0,0,0,0,0,1,0,0,0,0,0,5.01
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.215
1,0,0,1,0,0,0,0,1,0,0,0,0,0,5.03
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.04
1,1,0,1,0,0,0,0,1,0,0,0,0,0,5.03
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.21
1,0,1,1,0,0,0,0,1,0,0,0,0,0,5.03
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.04
1,1,1,1,0,0,0,0,1,0,0,0,0,0,5.03
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.065
1,0,0,0,1,0,0,0,1,0,0,0,0,0,5.02
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.215
1,1,0,0,1,0,0,0,1,0,0,0,0,0,5.02
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.07
1,0,1,0,1,0,0,0,1,0,0,0,0,0,5.02
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0.22
1,1,1,0,1,0,0,0,1,0,0,0,0,0,5.02
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.065
1,0,0,1,1,0,0,0,1,0,0,0,0,0,5.02
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.225
1,1,0,1,1,0,0,0,1,0,0,0,0,0,5.02
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0.07
1,0,1,1,1,0,0,0,1,0,0,0,0,0,5.02
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.225
1,1,1,1,1,0,0,0,1,0,0,0,0,0,5.02
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,5.0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.04
1,1,0,0,0,1,0,0,1,0,0,0,0,0,5.0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.13
1,0,1,0,0,1,0,0,1,0,0,0,0,0,5.0
0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.04
1,1,1,0,0,1,0,0,1,0,0,0,0,0,5.0
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.105
1,0,0,1,0,1,0,0,1,0,0,0,0,0,5.0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.04
1,1,0,1,0,1,0,0,1,0,0,0,0,0,5.005
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.1
1,0,1,1,0,1,0,0,1,0,0,0,0,0,5.005
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.04
1,1,1,1,0,1,0,0,1,0,0,0,0,0,5.0
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.23
1,0,0,0,1,1,0,0,1,0,0,0,0,0,5.0
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.04
1,1,0,0,1,1,0,0,1,0,0,0,0,0,5.0
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0.23
1,0,1,0,1,1,0,0,1,0,0,0,0,0,5.0
0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.04
1,1,1,0,1,1,0,0,1,0,0,0,0,0,5.0
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.235
1,0,0,1,1,1,0,0,1,0,0,0,0,0,5.0
0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.04
1,1,0,1,1,1,0,0,1,0,0,0,0,0,5.0
0,0,1,1,1,1,0,0,1,0,0,0,0,0,0.24
1,0,1,1,1,1,0,0,1,0,0,0,0,0,5.0
0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.04
1,1,1,1,1,1,0,0,1,0,0,0,0,0,5.005
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.11
1,0,0,0,0,0,1,0,1,0,0,0,0,0,5.005
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.08
1,1,0,0,0,0,1,0,1,0,0,0,0,0,1.35
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.18
1,0,1,0,0,0,1,0,1,0,0,0,0,0,5.015
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.245
1,1,1,0,0,0,1,0,1,0,0,0,0,0,5.01
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.08
1,0,0,1,0,0,1,0,1,0,0,0,0,0,5.025
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.035
1,1,0,1,0,0,1,0,1,0,0,0,0,0,5.025
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.05
1,0,1,1,0,0,1,0,1,0,0,0,0,0,5.03
0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.01
1,1,1,1,0,0,1,0,1,0,0,0,0,0,5.03
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.04
1,0,0,0,1,0,1,0,1,0,0,0,0,0,5.02
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.055
1,1,0,0,1,0,1,0,1,0,0,0,0,0,5.02
0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.01
1,0,1,0,1,0,1,0,1,0,0,0,0,0,5.02
0,1,1,0,1,0,1,0,1,0,0,0,0,0,0.08
1,1,1,0,1,0,1,0,1,0,0,0,0,0,5.02
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.115
1,0,0,1,1,0,1,0,1,0,0,0,0,0,5.02
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.06
1,1,0,1,1,0,1,0,1,0,0,0,0,0,5.02
0,0,1,1,1,0,1,0,1,0,0,0,0,0,0.06
1,0,1,1,1,0,1,0,1,0,0,0,0,0,5.02
0,1,1,1,1,0,1,0,1,0,0,0,0,0,0.09
1,1,1,1,1,0,1,0,1,0,0,0,0,0,5.02
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.08
1,0,0,0,0,1,1,0,1,0,0,0,0,0,5.01
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0.335
1,1,0,0,0,1,1,0,1,0,0,0,0,0,5.01
0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.215
1,0,1,0,0,1,1,0,1,0,0,0,0,0,5.01
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.08
1,1,1,0,0,1,1,0,1,0,0,0,0,0,5.01
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.06
1,0,0,1,0,1,1,0,1,0,0,0,0,0,5.005
0,1,0,1,0,1,1,0,1,0,0,0,0,0,0.155
1,1,0,1,0,1,1,0,1,0,0,0,0,0,5.01
0,0,1,1,0,1,1,0,1,0,0,0,0,0,0.1
1,0,1,1,0,1,1,0,1,0,0,0,0,0,5.01
0,1,1,1,0,1,1,0,1,0,0,0,0,0,0.115
1,1,1,1,0,1,1,0,1,0,0,0,0,0,5.01
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0.11
1,0,0,0,1,1,1,0,1,0,0,0,0,0,5.01
0,1,0,0,1,1,1,0,1,0,0,0,0,0,0.115
1,1,0,0,1,1,1,0,1,0,0,0,0,0,5.01
0,0,1,0,1,1,1,0,1,0,0,0,0,0,0.08
1,0,1,0,1,1,1,0,1,0,0,0,0,0,5.01
0,1,1,0,1,1,1,0,1,0,0,0,0,0,0.145
1,1,1,0,1,1,1,0,1,0,0,0,0,0,5.01
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.055
1,0,0,1,1,1,1,0,1,0,0,0,0,0,5.01
0,1,0,1,1,1,1,0,1,0,0,0,0,0,0.14
1,1,0,1,1,1,1,0,1,0,0,0,0,0,5.01
0,0,1,1,1,1,1,0,1,0,0,0,0,0,0.08
1,0,1,1,1,1,1,0,1,0,0,0,0,0,5.005
0,1,1,1,1,1,1,0,1,0,0,0,0,0,0.095
1,1,1,1,1,1,1,0,1,0,0,0,0,0,5.01
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.04
1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.005
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.035
1,1,0,0,0,0,0,1,1,0,0,0,0,0,5.01
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.1
1,0,1,0,0,0,0,1,1,0,0,0,0,0,5.01
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.18
1,1,1,0,0,0,0,1,1,0,0,0,0,0,5.01
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.21
1,0,0,1,0,0,0,1,1,0,0,0,0,0,5.03
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.04
1,1,0,1,0,0,0,1,1,0,0,0,0,0,5.03
0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.21
1,0,1,1,0,0,0,1,1,0,0,0,0,0,5.03
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0.035
1,1,1,1,0,0,0,1,1,0,0,0,0,0,5.03
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.07
1,0,0,0,1,0,0,1,1,0,0,0,0,0,5.02
0,1,0,0,1,0,0,1,1,0,0,0,0,0,0.225
1,1,0,0,1,0,0,1,1,0,0,0,0,0,5.02
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0.07
1,0,1,0,1,0,0,1,1,0,0,0,0,0,5.02
0,1,1,0,1,0,0,1,1,0,0,0,0,0,0.22
1,1,1,0,1,0,0,1,1,0,0,0,0,0,5.02
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.07
1,0,0,1,1,0,0,1,1,0,0,0,0,0,5.02
0,1,0,1,1,0,0,1,1,0,0,0,0,0,0.22
1,1,0,1,1,0,0,1,1,0,0,0,0,0,5.02
0,0,1,1,1,0,0,1,1,0,0,0,0,0,0.06
1,0,1,1,1,0,0,1,1,0,0,0,0,0,5.02
0,1,1,1,1,0,0,1,1,0,0,0,0,0,0.22
1,1,1,1,1,0,0,1,1,0,0,0,0,0,5.02
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.095
1,0,0,0,0,1,0,1,1,0,0,0,0,0,5.0
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.04
1,1,0,0,0,1,0,1,1,0,0,0,0,0,5.0
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0.135
1,0,1,0,0,1,0,1,1,0,0,0,0,0,5.0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0.04
1,1,1,0,0,1,0,1,1,0,0,0,0,0,5.0
0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.1
