SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq.4
1,0,0,0,1,1,0,1,0,1,1,1,0,0,23.002
0,0,1,1,0,0,1,1,0,1,1,1,1,0,22.576
0,1,1,1,1,0,1,0,0,0,1,0,1,0,18.415
0,0,0,1,0,0,0,0,0,1,0,1,1,0,22.24
0,1,0,1,0,0,1,0,0,1,1,0,1,1,18.319
0,0,1,1,1,0,1,0,1,1,1,0,1,0,18.38
0,0,0,1,1,0,1,0,1,1,0,0,1,0,18.13
0,0,1,0,0,0,0,0,1,0,1,0,1,1,18.308
0,0,1,0,1,0,1,0,0,0,0,0,0,1,18.155
0,1,1,1,1,1,1,0,1,1,0,1,1,1,22.476
1,1,0,1,0,0,0,1,0,1,0,1,0,0,22.789
1,0,1,1,0,0,0,1,1,1,1,0,0,0,18.546
1,1,0,0,1,1,1,0,0,0,0,1,1,0,22.521
1,0,0,1,1,1,1,0,1,1,1,1,0,1,22.93
0,0,0,0,0,1,0,1,0,0,0,0,0,1,18.581
1,1,1,1,1,1,1,1,1,1,1,0,0,1,18.89
0,0,1,1,0,0,1,1,0,0,1,1,0,0,22.478
1,1,1,0,1,0,1,1,1,1,0,1,0,0,22.764
0,0,0,1,1,0,0,0,0,1,1,0,1,0,18.114
1,1,0,0,1,0,0,0,1,0,0,1,1,0,22.391
0,1,0,1,1,0,0,0,0,0,0,1,1,0,22.407
1,0,0,1,0,1,0,0,1,1,1,1,1,0,22.412
1,1,1,1,1,1,0,0,1,1,1,0,0,0,18.408
1,0,1,0,1,1,0,0,1,1,1,1,0,1,22.683
0,0,1,1,0,1,0,1,0,0,1,1,0,1,22.494
0,1,0,1,0,0,1,1,1,1,1,0,1,1,18.19
1,0,0,1,1,1,1,0,1,0,0,1,1,0,22.368
1,0,0,1,1,0,1,0,1,1,0,1,1,0,22.648
0,0,1,1,0,0,0,0,1,1,0,0,1,0,18.501
0,0,0,0,1,1,1,1,1,0,1,0,1,0,18.215
1,0,0,1,1,1,1,1,1,0,1,0,0,1,18.419
1,1,0,0,0,1,0,0,1,0,0,1,0,0,22.951
1,0,1,1,0,0,0,0,0,0,1,1,0,0,22.632
1,0,1,0,1,0,0,0,1,0,0,1,0,0,22.898
0,1,1,1,1,1,0,1,1,0,0,0,0,0,18.383
0,1,0,0,0,1,0,0,1,0,1,1,0,0,22.648
1,0,0,0,1,1,0,0,0,1,1,0,0,1,18.553
1,1,0,1,1,0,0,1,1,0,0,1,0,0,22.663
1,0,1,1,0,1,0,1,1,1,1,0,1,1,18.412
0,1,1,0,1,1,1,0,0,1,1,0,0,1,18.52
1,1,0,1,0,0,1,1,0,0,1,1,1,0,22.31
0,1,0,1,1,0,1,1,0,1,1,0,1,0,18.446
1,0,0,1,1,0,1,1,0,1,0,1,0,1,22.697
1,1,1,0,1,0,0,0,1,0,0,0,0,1,18.557
0,0,1,1,0,0,1,0,0,1,0,1,0,1,22.631
0,1,1,0,0,0,1,1,0,0,1,0,0,1,18.354
0,1,1,1,1,1,0,0,0,1,1,1,0,1,22.683
1,0,1,0,0,0,1,0,1,0,0,1,0,0,22.688
0,0,1,0,0,1,1,0,1,0,0,0,1,1,18.068
1,1,1,0,0,0,0,1,0,0,1,1,1,1,22.349
0,0,0,1,0,1,1,1,1,1,0,0,0,0,18.71
0,1,1,0,0,0,0,0,1,0,1,1,1,1,22.335
0,1,0,0,0,0,0,1,0,1,1,1,1,0,22.607
0,1,1,1,1,0,1,1,1,1,1,0,0,0,18.522
0,0,0,1,1,0,0,0,0,1,1,1,0,1,22.83
1,0,1,0,0,1,0,0,0,0,0,0,1,1,18.335
1,0,1,0,1,1,0,0,1,1,0,1,0,0,22.939
0,1,1,1,0,1,0,0,0,0,0,1,0,0,22.8
1,0,1,1,0,1,0,1,0,0,0,0,1,1,18.159
0,1,1,1,1,0,0,1,1,1,1,0,0,0,18.529
0,1,0,1,1,0,1,0,0,1,1,0,1,0,18.279
0,0,1,1,1,0,0,1,1,1,1,0,1,0,18.223
1,0,1,1,1,1,1,1,0,1,1,0,1,0,18.16
0,0,1,1,1,0,1,0,0,1,1,1,0,1,22.762
1,1,0,0,0,0,1,1,1,1,1,0,1,0,18.154
0,1,1,1,0,1,0,0,0,0,1,1,1,0,22.253
1,1,1,1,0,1,1,1,1,1,1,0,1,1,18.28
1,1,1,0,0,0,1,0,0,1,1,0,1,1,18.54
1,0,0,0,0,1,1,1,1,1,0,1,1,0,22.471
1,1,0,1,1,0,1,1,0,1,0,1,1,1,22.775
1,0,1,1,1,1,0,0,1,0,1,0,0,1,18.483
0,0,1,1,0,0,1,0,0,0,1,0,1,0,17.974
1,1,0,1,0,1,0,1,0,1,0,0,0,0,18.891
1,1,1,0,0,1,1,0,1,0,0,1,0,0,22.72
1,1,0,1,0,1,1,0,1,1,0,1,0,1,22.783
1,0,1,0,1,0,1,1,0,1,0,1,1,0,22.675
1,0,1,1,0,1,0,0,1,0,1,1,0,1,22.539
1,0,0,0,1,0,0,1,0,1,1,0,1,1,18.207
1,0,0,1,0,0,0,1,1,1,1,0,0,0,18.554
1,0,1,0,0,1,1,1,1,1,1,0,0,1,18.633
1,0,0,0,0,1,0,1,0,0,0,0,1,0,18.042
0,1,1,1,1,1,0,0,1,1,0,0,1,1,18.33
1,1,1,1,1,1,0,1,0,0,0,1,1,0,22.542
1,1,1,1,0,0,1,0,1,1,0,0,1,0,18.395
0,1,0,1,0,0,1,0,1,0,0,1,0,0,22.8
0,1,0,1,1,0,1,0,1,1,1,0,0,1,18.731
0,0,1,1,0,1,0,1,1,0,0,0,0,0,18.547
0,0,1,1,0,1,0,1,0,1,0,0,1,0,18.405
0,0,0,1,1,0,0,0,0,1,1,0,1,0,18.38
0,1,1,0,1,0,0,1,0,0,0,1,1,0,22.463
0,1,1,1,0,1,0,1,0,0,1,1,1,1,22.552
1,1,0,0,1,1,1,0,0,1,1,1,1,1,22.521
1,1,1,0,0,0,0,1,1,0,0,1,1,1,22.336
1,1,1,1,1,1,0,1,1,0,0,0,1,0,18.254
1,1,0,0,0,1,0,1,1,0,1,1,1,0,22.595
0,1,0,0,0,1,0,1,1,0,0,1,0,0,22.578
1,0,1,1,1,1,0,1,1,0,0,1,1,1,22.381
1,0,0,1,1,1,0,0,1,0,1,0,1,1,18.115
0,1,0,1,1,1,0,1,1,0,0,1,1,0,22.25
1,1,1,1,1,1,1,1,1,0,0,0,1,0,18.246
0,0,1,1,1,1,0,1,1,1,1,1,1,1,22.485
0,1,1,0,0,0,0,0,0,1,0,1,1,1,22.51
1,0,1,0,0,0,1,1,1,0,0,0,0,1,18.485
1,1,0,1,0,0,0,0,0,0,0,0,1,0,18.452
0,1,1,0,1,1,1,1,1,1,0,0,1,1,18.171
1,1,1,1,1,0,1,0,1,0,0,0,1,1,18.238
1,1,1,0,0,1,0,0,0,1,1,1,0,0,22.597
0,1,1,1,1,0,1,0,0,1,1,1,1,0,22.542
1,1,1,1,1,0,1,0,1,1,0,1,1,0,22.964
1,0,0,0,1,0,1,1,1,1,0,0,0,0,18.479
0,1,0,0,0,1,0,1,1,0,0,1,1,1,22.141
0,1,0,0,1,0,0,1,1,1,0,0,1,1,18.342
0,1,1,0,0,0,0,0,1,1,0,1,0,1,22.667
1,0,0,1,1,1,0,1,0,1,1,1,1,0,23.047
0,0,1,0,1,0,0,1,1,1,1,0,1,0,18.089
0,1,1,1,1,0,0,1,1,1,1,1,1,1,22.409
1,0,0,1,1,1,0,1,0,1,1,1,0,1,22.803
0,0,0,1,0,0,1,0,0,1,1,1,1,1,22.539
1,0,0,0,1,1,1,0,0,0,0,0,0,0,18.758
1,1,0,1,0,1,1,0,1,1,0,0,0,1,18.888
1,1,1,0,1,0,1,1,0,0,1,1,0,1,22.632
0,0,1,0,0,0,0,0,1,0,0,0,0,1,18.143
1,1,0,1,1,0,1,0,1,1,1,1,1,1,22.649
0,0,1,1,1,1,0,1,0,0,0,1,0,1,22.513
0,0,1,1,1,1,1,0,1,0,0,1,0,0,22.331
0,1,1,1,0,0,0,0,0,1,1,1,1,1,22.365
0,1,1,0,1,1,0,0,1,1,1,1,0,1,22.611
1,0,0,1,1,1,1,0,0,1,0,1,0,0,22.955
0,1,0,1,1,1,1,1,1,0,0,1,1,1,22.324
1,0,1,1,0,0,0,0,0,0,1,1,1,0,22.512
1,1,0,0,0,1,0,1,0,1,1,1,0,1,22.602
0,1,0,0,0,0,0,1,1,0,0,0,0,1,18.356
0,1,1,0,1,0,1,0,0,0,0,1,1,1,22.324
1,0,1,1,0,0,0,0,1,1,1,0,0,0,18.198
1,1,1,0,1,1,0,1,1,0,0,1,0,1,22.699
0,1,1,1,1,1,1,0,0,1,0,0,0,0,18.543
1,0,1,0,1,1,0,1,1,1,1,1,1,0,22.365
0,0,1,0,1,0,0,1,1,0,0,1,0,0,22.554
1,0,0,1,1,1,0,1,0,1,0,0,1,0,18.002
1,0,1,1,1,0,0,0,1,0,0,1,0,1,22.796
1,0,0,0,1,1,1,1,1,1,1,1,0,0,22.639
0,0,0,0,1,0,0,1,0,0,0,0,1,0,17.989
0,1,1,0,0,0,1,0,0,1,1,1,1,1,22.299
0,1,1,1,0,1,1,0,1,1,0,1,0,0,23.043
0,0,0,0,1,1,1,1,1,0,0,1,1,1,22.328
1,1,1,0,0,1,1,0,1,0,0,1,1,1,22.405
0,1,1,0,0,1,1,0,1,0,0,0,0,0,18.465
1,1,1,0,0,1,0,1,1,1,1,0,1,0,18.594
0,1,1,1,0,1,0,0,1,0,0,0,1,0,18.407
1,1,1,1,0,1,0,0,1,0,1,1,1,1,22.801
1,1,1,0,1,0,1,1,0,1,1,1,0,0,22.722
1,1,0,1,0,0,1,0,0,0,0,1,0,0,22.58
1,1,0,0,1,0,0,0,1,1,1,0,1,1,18.273
1,1,0,0,0,1,0,1,0,0,0,1,0,0,22.671
0,1,0,1,1,1,1,0,0,1,1,0,0,0,18.413
0,1,0,0,1,1,0,0,0,0,0,1,1,1,22.36
0,0,1,0,1,1,1,1,0,1,0,0,1,0,18.248
0,0,0,0,0,1,1,1,1,0,1,0,1,1,18.186
0,1,1,1,1,1,0,0,0,1,0,1,0,1,23.038
1,1,1,1,1,0,1,0,1,0,0,1,1,1,22.501
0,1,1,1,0,1,1,0,0,1,1,0,1,1,18.043
0,0,0,0,0,0,1,0,1,0,1,0,0,0,18.284
0,0,0,1,0,0,0,0,1,0,1,0,0,1,18.292
0,1,0,0,0,0,0,0,0,1,1,0,1,1,18.325
1,1,0,0,1,1,1,1,1,1,1,0,0,1,18.418
0,1,0,1,0,0,1,0,1,0,0,0,1,0,18.454
1,1,1,1,0,0,1,0,0,1,1,1,0,1,22.917
1,1,0,1,0,0,0,0,0,1,1,0,1,0,18.356
1,0,0,1,1,1,1,1,0,0,0,0,0,1,18.618
0,0,0,1,0,1,1,1,1,0,0,1,0,1,22.434
1,1,0,0,0,0,1,0,1,1,0,0,1,0,18.331
0,0,0,1,1,1,0,1,1,0,1,0,1,0,17.941
1,1,0,0,1,1,1,1,0,0,1,0,1,1,18.336
0,1,0,1,0,1,0,1,1,1,0,1,0,1,22.824
0,0,1,1,1,0,0,0,0,1,1,1,1,1,22.498
1,0,0,0,1,0,1,1,1,0,0,1,1,0,22.329
0,0,1,1,1,1,1,1,0,0,1,1,0,1,22.294
0,0,1,1,0,0,1,1,1,1,1,0,1,1,18.099
0,1,0,0,1,1,1,0,0,1,1,1,1,1,22.559
1,0,1,0,1,1,0,1,1,0,0,0,0,1,18.322
0,1,1,0,1,0,1,1,0,0,0,0,0,0,18.245
1,0,0,0,0,0,1,1,0,0,0,1,1,0,22.415
1,1,1,1,1,1,1,0,1,0,1,0,0,0,18.48
0,0,0,1,0,1,1,0,1,1,0,0,0,1,18.568
1,0,0,1,1,0,0,1,0,1,1,0,0,0,18.381
1,0,0,1,0,0,1,0,0,0,1,0,1,0,18.168
1,1,1,0,0,1,0,0,0,0,0,1,1,0,22.664
1,1,0,1,1,1,1,0,0,0,1,0,1,1,18.171
1,0,1,1,0,1,0,1,0,1,1,1,1,0,22.664
1,0,1,1,1,0,0,0,1,1,1,1,1,0,22.703
1,0,1,0,0,1,0,0,1,0,1,0,0,0,18.452
0,0,1,0,0,0,1,1,1,1,0,1,1,1,22.582
0,1,1,1,0,1,0,1,1,0,0,0,0,0,18.373
0,0,1,0,0,0,1,1,1,0,1,1,1,1,22.398
0,1,0,0,1,0,0,1,1,0,1,1,0,1,22.553
1,1,1,1,0,1,1,0,1,0,1,1,1,0,22.537
1,1,0,0,1,0,1,1,0,1,1,0,0,1,18.632
1,0,1,1,1,1,0,1,1,1,1,1,1,1,22.659
0,0,1,1,1,0,1,0,1,1,1,1,1,0,22.448
0,1,0,1,1,1,1,1,1,0,1,0,1,1,18.163
0,0,0,0,0,1,1,0,1,1,1,0,1,0,18.173
1,0,0,0,0,0,1,1,0,1,1,0,1,0,18.404
0,0,0,1,0,0,0,0,0,1,0,0,1,1,18.252
1,1,0,1,0,0,1,1,1,0,0,1,1,1,22.281
1,0,0,0,1,1,1,1,0,0,0,1,0,1,22.669
1,0,1,0,1,0,1,1,0,1,0,1,0,0,22.714
1,0,1,0,1,1,0,1,0,1,1,1,0,1,22.797
1,0,1,1,0,0,0,0,1,1,1,1,1,0,22.605
0,0,1,0,1,1,1,0,0,0,0,0,1,0,18.214
0,1,0,1,1,1,1,1,1,1,1,0,1,0,18.166
0,1,0,1,0,0,0,0,0,0,1,0,1,0,18.226
1,0,0,1,0,0,1,1,0,1,1,1,0,1,22.991
0,1,0,0,0,0,0,0,1,1,0,0,0,1,18.822
0,0,1,0,0,1,1,0,1,1,1,1,0,0,22.719
1,0,1,1,0,1,1,1,1,0,0,0,1,1,18.177
0,1,0,0,1,1,1,1,0,0,0,1,1,0,22.407
1,1,0,0,0,0,0,1,1,1,0,1,0,0,23.076
0,0,1,1,0,1,1,1,0,0,0,1,1,0,22.439
1,0,1,0,0,0,1,1,1,0,1,0,0,1,18.629
0,1,1,0,0,1,0,0,0,1,1,0,0,1,18.492
1,1,0,0,0,0,0,0,0,0,0,1,1,1,22.276
1,0,0,1,0,1,0,0,1,0,1,1,0,0,22.615
1,1,1,0,1,0,1,1,0,1,0,0,0,1,18.725
1,1,0,0,1,1,0,1,0,0,0,1,1,1,22.578
1,0,1,1,0,1,1,1,1,1,0,1,0,1,22.775
0,0,0,0,1,0,1,1,1,0,1,0,0,1,18.353
0,1,1,1,0,1,0,1,0,1,1,1,0,1,22.657
0,0,1,0,1,1,0,0,0,0,0,1,1,1,22.356
0,1,0,1,0,1,0,0,1,0,1,1,1,1,22.285
0,1,1,0,0,0,1,1,0,0,0,0,0,1,18.603
0,1,1,1,1,0,1,0,0,0,0,0,0,1,18.4
1,1,1,1,0,1,0,0,1,0,0,1,0,1,22.639
1,0,1,0,0,1,0,1,1,0,1,1,0,0,22.514
1,0,1,0,0,0,0,1,1,0,1,0,1,0,18.431
0,1,1,0,0,1,0,0,1,0,1,0,1,1,18.256
0,0,0,0,0,0,1,0,1,0,1,1,1,0,22.57
0,0,1,0,1,1,1,0,1,0,0,1,0,0,22.672
0,0,1,1,1,0,0,0,1,0,0,1,0,0,22.839
1,0,1,1,1,0,0,1,0,0,1,1,1,0,22.335
0,0,1,0,1,1,0,1,0,1,0,0,1,1,18.228
1,1,0,0,1,0,0,1,1,1,1,0,1,1,18.171
1,1,0,0,1,1,0,1,0,0,0,1,0,1,22.77
1,0,1,1,0,0,0,0,0,1,0,0,1,0,18.251
1,1,0,0,0,1,0,0,1,1,0,0,1,0,18.437
0,1,0,1,1,0,0,0,0,0,0,1,1,0,22.229
1,0,0,1,0,1,0,0,0,0,1,0,0,1,18.605
1,1,1,0,0,1,0,1,1,0,0,0,1,0,18.438
1,0,0,1,0,1,1,0,1,1,1,1,1,1,22.731
1,1,0,1,1,0,1,1,1,1,1,1,1,0,22.476
1,0,0,1,1,1,1,1,0,1,1,0,0,1,18.502
0,0,1,0,1,1,0,0,0,1,0,0,1,0,18.23
1,1,1,1,0,0,0,1,0,0,0,0,0,0,18.443
1,1,1,1,0,0,1,1,0,0,0,0,0,1,18.316
0,1,1,0,0,0,1,1,1,1,0,1,0,1,22.915
0,0,0,1,1,0,1,0,0,0,0,1,1,0,22.233
0,1,0,1,1,0,1,0,1,0,0,0,1,0,18.292
0,0,0,0,1,0,0,1,1,0,1,1,0,1,22.627
1,1,0,0,0,1,1,1,1,1,1,0,0,0,18.426
0,1,0,1,1,1,0,1,0,1,0,0,0,1,18.714
1,0,0,1,0,0,0,1,0,0,1,1,0,0,22.591
0,0,0,1,1,0,1,1,1,0,1,1,0,1,22.939
1,1,0,1,0,0,1,0,0,1,1,0,1,0,18.164
0,0,0,1,0,1,0,1,1,0,1,1,0,1,22.591
1,1,1,0,0,1,1,1,1,1,0,1,1,0,22.578
0,1,0,0,0,1,1,1,0,1,1,0,1,0,18.006
1,1,0,0,0,0,1,1,1,1,1,1,0,1,22.903
1,0,0,1,1,1,1,1,1,0,0,0,1,1,18.223
1,1,0,0,1,0,0,0,0,1,0,0,1,1,18.292
1,0,0,1,1,1,1,1,1,1,1,1,0,1,22.734
1,1,0,0,0,1,0,0,1,1,1,0,1,1,18.403
1,0,1,1,1,0,1,0,0,0,0,1,1,1,22.28
1,1,1,1,1,1,0,0,0,1,1,0,0,0,18.612
0,1,1,1,1,1,0,0,0,1,0,1,1,1,22.373
0,0,1,1,1,1,1,1,1,0,0,0,1,0,18.095
1,0,1,1,1,1,0,1,0,1,1,0,1,0,18.235
0,1,0,1,1,0,0,1,1,0,0,1,0,0,22.751
1,1,0,0,0,1,1,1,1,0,0,0,0,1,18.71
0,0,0,1,1,1,0,1,0,1,0,1,0,1,22.799
0,1,1,1,0,0,1,1,1,1,1,0,0,1,18.432
1,1,1,1,1,1,1,1,1,1,1,1,0,1,22.915
1,1,0,1,1,1,0,0,1,1,1,0,0,0,18.687
0,1,0,1,0,0,1,1,0,1,0,0,0,1,18.566
0,0,1,0,0,0,1,0,0,0,0,1,0,1,22.636
0,1,0,0,1,0,0,1,0,1,0,1,1,0,22.37
0,0,1,0,1,1,1,1,0,0,0,0,1,1,18.343
0,0,0,0,0,0,0,0,1,1,0,0,0,0,18.56
0,0,0,0,0,0,1,1,1,1,0,0,1,0,18.21
1,1,1,1,1,0,1,0,1,0,1,0,0,0,18.394
0,0,1,0,1,1,0,1,0,0,0,0,1,1,18.275
0,0,1,0,0,1,0,0,1,0,0,1,1,0,22.518
1,0,0,0,1,0,0,1,1,0,1,1,1,0,22.159
1,0,0,1,1,0,0,0,0,0,1,0,0,1,18.499
0,0,0,1,0,1,1,0,0,1,0,0,0,0,18.57
0,1,1,1,0,0,0,0,0,1,0,1,0,0,23.234
0,1,1,1,1,0,1,1,1,0,1,0,1,0,18.756
1,0,1,0,0,1,1,0,0,0,0,0,0,0,18.586
1,0,0,0,1,0,0,1,1,1,0,1,1,0,22.98
0,1,1,0,0,0,1,0,0,0,1,1,0,1,22.838
1,0,1,0,1,1,1,0,0,1,1,0,0,0,18.545
1,0,0,1,0,0,1,0,0,1,1,1,0,1,22.909
1,0,0,0,0,0,1,1,1,0,1,0,1,0,18.097
1,1,0,0,0,0,0,1,0,0,1,1,1,0,22.56
0,1,1,1,0,0,1,1,0,1,1,1,1,0,22.307
1,1,0,1,1,0,0,1,0,0,1,1,0,0,22.507
1,1,0,1,0,0,1,0,0,1,1,1,1,1,22.606
0,1,0,0,0,1,0,1,0,1,1,1,1,0,22.461
0,1,1,1,1,0,0,1,0,1,1,0,1,1,18.261
0,0,0,0,0,0,1,0,1,0,1,0,1,1,18.045
0,1,1,1,1,0,0,0,1,0,0,0,0,0,18.346
0,1,1,1,1,1,1,1,0,0,1,0,1,1,18.306
0,1,0,0,1,0,0,1,0,1,0,0,1,1,18.18
1,0,1,0,0,0,0,1,0,0,1,1,0,0,22.585
1,1,0,0,1,0,0,1,0,0,0,0,1,0,18.434
0,1,0,0,1,1,1,0,1,0,1,1,1,1,22.381
1,1,1,0,0,1,0,1,1,0,1,0,0,1,18.774
1,0,0,0,0,0,1,0,1,1,1,0,1,1,18.28
1,0,0,1,1,0,1,1,1,1,1,1,1,1,22.565
1,1,0,1,1,1,0,0,1,1,0,1,0,0,23.025
0,1,1,1,0,0,1,1,1,1,1,0,0,0,18.423
0,0,0,1,0,1,0,1,0,0,1,0,0,0,18.58
1,0,1,0,0,1,1,0,0,1,1,1,1,0,22.589
0,1,1,0,0,0,0,1,1,1,0,0,1,0,18.484
1,0,0,1,0,1,1,0,0,1,1,1,1,1,22.487
1,0,1,0,1,0,0,0,1,1,1,0,1,0,18.329
1,0,1,1,1,1,1,0,0,1,1,1,1,0,22.454
0,1,1,0,1,1,1,1,0,1,0,1,0,0,22.907
0,0,1,0,0,0,0,0,1,0,1,1,0,1,22.513
0,1,1,1,0,0,0,0,0,0,0,1,0,1,22.569
0,0,1,1,0,0,1,0,0,1,0,0,1,0,18.417
0,1,1,0,0,1,1,0,0,1,0,1,0,0,22.999
0,1,0,1,0,0,0,1,0,0,1,1,0,0,22.2
0,0,1,1,0,1,0,1,0,1,0,1,1,1,22.447
1,1,0,0,0,0,1,1,0,1,1,1,1,0,22.595
0,1,1,1,1,0,1,1,1,1,0,0,0,0,18.658
0,1,0,0,0,0,1,0,0,1,1,0,0,0,18.467
1,0,1,0,0,1,0,1,0,0,1,1,1,0,22.307
0,0,1,1,0,1,1,1,0,1,0,0,0,1,18.473
0,0,1,1,0,1,1,0,0,0,0,1,0,0,22.398
1,1,0,1,1,1,1,0,1,1,0,0,0,0,18.636
1,1,0,0,0,0,0,1,0,1,0,1,1,0,22.498
0,0,1,0,0,0,1,0,1,0,0,1,1,0,22.251
0,0,0,0,1,0,0,1,0,1,1,1,1,1,22.383
0,1,0,1,1,1,0,1,0,0,0,1,1,1,22.196
1,0,0,0,1,0,0,0,0,1,0,1,1,1,22.511
1,0,1,1,0,0,0,1,1,0,1,0,1,0,18.199
0,0,1,0,1,1,1,1,0,0,0,0,0,1,18.527
1,0,0,0,0,1,0,0,1,0,0,1,1,0,22.511
1,0,0,0,1,1,1,1,0,1,0,0,0,1,18.563
0,1,1,1,0,0,0,0,0,0,0,0,1,1,18.23
1,1,0,1,0,1,0,1,1,1,0,0,0,0,18.685
0,1,1,1,0,0,0,1,1,1,0,0,0,0,18.462
0,1,1,1,1,1,0,0,1,1,1,1,1,1,22.368
1,0,0,0,0,0,0,0,0,0,1,0,1,0,18.063
0,1,0,1,0,0,0,1,1,1,0,1,0,0,23.007
0,1,0,0,0,0,1,1,1,1,1,0,0,1,18.587
