SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K
0,0,0,1,1,1,0,0,0,0,0,1,1,1,68.392
1,0,0,0,1,0,1,1,0,0,1,0,1,0,70.672
1,0,0,1,0,1,0,1,1,0,0,0,1,0,68.6
0,1,1,0,0,0,1,1,1,1,1,1,0,0,69.002
1,0,1,1,0,0,0,0,1,1,1,0,1,0,70.748
0,0,0,1,1,0,0,1,0,1,1,0,1,1,68.719
1,1,1,1,1,0,0,1,1,1,0,0,1,0,70.038
1,0,1,0,0,1,1,1,1,0,1,1,0,1,71.726
0,1,0,1,1,1,0,0,1,1,0,0,1,0,70.467
0,1,1,1,1,1,1,0,1,1,1,0,1,0,68.487
0,1,0,1,0,0,1,1,1,1,1,0,0,0,68.605
1,0,1,1,1,0,1,0,1,1,0,1,1,0,71.351
1,0,0,1,1,1,1,0,0,0,1,1,1,0,68.644
1,0,0,1,0,0,1,1,0,0,0,0,0,1,68.725
1,1,1,0,0,1,0,0,1,0,1,0,1,1,68.291
0,0,1,1,0,1,0,1,1,1,0,0,0,0,70.833
1,0,0,0,1,1,0,1,0,1,1,1,1,0,69.376
1,1,1,0,0,0,0,1,0,0,0,0,0,1,67.978
0,0,1,0,1,1,1,0,0,0,1,0,0,0,68.145
1,1,1,0,0,0,0,0,0,1,1,0,0,0,71.246
0,0,0,0,0,1,1,1,1,0,0,1,1,0,68.667
0,0,1,1,1,0,1,1,0,0,1,0,0,0,68.798
0,1,0,0,0,1,1,1,1,1,0,1,1,0,68.552
0,0,0,1,0,0,0,0,0,1,1,0,0,1,68.438
1,0,0,0,1,1,0,1,0,1,1,1,0,0,69.109
0,0,1,1,0,0,1,1,0,1,1,1,1,0,71.452
0,1,1,1,1,0,1,0,0,0,1,0,1,0,68.509
0,0,0,1,0,0,0,0,0,1,0,1,1,0,68.31
0,1,0,1,0,0,1,0,0,1,1,0,1,1,68.692
0,0,1,1,1,0,1,0,1,1,1,0,1,0,69.222
0,0,0,1,1,0,1,0,1,1,0,0,1,0,68.324
0,0,1,0,0,0,0,0,1,0,1,0,1,1,68.136
0,0,1,0,1,0,1,0,0,0,0,0,0,1,70.239
0,1,1,1,1,1,1,0,1,1,0,1,1,1,68.576
1,1,0,1,0,0,0,1,0,1,0,1,0,0,68.694
1,0,1,1,0,0,0,1,1,1,1,0,0,0,70.844
1,1,0,0,1,1,1,0,0,0,0,1,1,0,68.344
1,0,0,1,1,1,1,0,1,1,1,1,0,1,90.694
0,0,0,0,0,1,0,1,0,0,0,0,0,1,68.233
1,1,1,1,1,1,1,1,1,1,1,0,0,1,69.2
0,0,1,1,0,0,1,1,0,0,1,1,0,0,69.369
1,1,1,0,1,0,1,1,1,1,0,1,0,0,70.754
0,0,0,1,1,0,0,0,0,1,1,0,1,0,68.861
1,1,0,0,1,0,0,0,1,0,0,1,1,0,68.269
0,1,0,1,1,0,0,0,0,0,0,1,1,0,70.4
1,0,0,1,0,1,0,0,1,1,1,1,1,0,68.285
1,1,1,1,1,1,0,0,1,1,1,0,0,0,70.245
1,0,1,0,1,1,0,0,1,1,1,1,0,1,71.115
0,0,1,1,0,1,0,1,0,0,1,1,0,1,68.447
0,1,0,1,0,0,1,1,1,1,1,0,1,1,69.841
1,0,0,1,1,1,1,0,1,0,0,1,1,0,68.116
1,0,0,1,1,0,1,0,1,1,0,1,1,0,71.305
0,0,1,1,0,0,0,0,1,1,0,0,1,0,69.137
0,0,0,0,1,1,1,1,1,0,1,0,1,0,70.26
1,0,0,1,1,1,1,1,1,0,1,0,0,1,68.177
1,1,0,0,0,1,0,0,1,0,0,1,0,0,68.397
1,0,1,1,0,0,0,0,0,0,1,1,0,0,68.752
1,0,1,0,1,0,0,0,1,0,0,1,0,0,71.166
0,1,1,1,1,1,0,1,1,0,0,0,0,0,68.385
0,1,0,0,0,1,0,0,1,0,1,1,0,0,68.309
1,0,0,0,1,1,0,0,0,1,1,0,0,1,68.605
1,1,0,1,1,0,0,1,1,0,0,1,0,0,69.232
1,0,1,1,0,1,0,1,1,1,1,0,1,1,68.441
0,1,1,0,1,1,1,0,0,1,1,0,0,1,69.551
1,1,0,1,0,0,1,1,0,0,1,1,1,0,67.995
0,1,0,1,1,0,1,1,0,1,1,0,1,0,71.362
1,0,0,1,1,0,1,1,0,1,0,1,0,1,68.704
1,1,1,0,1,0,0,0,1,0,0,0,0,1,73.976
0,0,1,1,0,0,1,0,0,1,0,1,0,1,68.841
0,1,1,0,0,0,1,1,0,0,1,0,0,1,69.207
0,1,1,1,1,1,0,0,0,1,1,1,0,1,68.715
1,0,1,0,0,0,1,0,1,0,0,1,0,0,68.608
0,0,1,0,0,1,1,0,1,0,0,0,1,1,69.692
1,1,1,0,0,0,0,1,0,0,1,1,1,1,68.471
0,0,0,1,0,1,1,1,1,1,0,0,0,0,68.397
0,1,1,0,0,0,0,0,1,0,1,1,1,1,68.442
0,1,0,0,0,0,0,1,0,1,1,1,1,0,69.979
0,1,1,1,1,0,1,1,1,1,1,0,0,0,69.461
0,0,0,1,1,0,0,0,0,1,1,1,0,1,69.38
1,0,1,0,0,1,0,0,0,0,0,0,1,1,67.782
1,0,1,0,1,1,0,0,1,1,0,1,0,0,69.106
0,1,1,1,0,1,0,0,0,0,0,1,0,0,69.149
1,0,1,1,0,1,0,1,0,0,0,0,1,1,69.728
0,1,1,1,1,0,0,1,1,1,1,0,0,0,69.032
0,1,0,1,1,0,1,0,0,1,1,0,1,0,69.385
0,0,1,1,1,0,0,1,1,1,1,0,1,0,71.173
1,0,1,1,1,1,1,1,0,1,1,0,1,0,69.182
0,0,1,1,1,0,1,0,0,1,1,1,0,1,69.19
1,1,0,0,0,0,1,1,1,1,1,0,1,0,69.162
0,1,1,1,0,1,0,0,0,0,1,1,1,0,68.544
1,1,1,1,0,1,1,1,1,1,1,0,1,1,68.87
1,1,1,0,0,0,1,0,0,1,1,0,1,1,68.711
1,0,0,0,0,1,1,1,1,1,0,1,1,0,70.628
1,1,0,1,1,0,1,1,0,1,0,1,1,1,68.688
1,0,1,1,1,1,0,0,1,0,1,0,0,1,72.373
0,0,1,1,0,0,1,0,0,0,1,0,1,0,68.009
1,1,0,1,0,1,0,1,0,1,0,0,0,0,70.201
1,1,1,0,0,1,1,0,1,0,0,1,0,0,69.025
1,1,0,1,0,1,1,0,1,1,0,1,0,1,68.838
1,0,1,0,1,0,1,1,0,1,0,1,1,0,70.055
1,0,1,1,0,1,0,0,1,0,1,1,0,1,69.108
1,0,0,0,1,0,0,1,0,1,1,0,1,1,68.748
1,0,0,1,0,0,0,1,1,1,1,0,0,0,68.542
1,0,1,0,0,1,1,1,1,1,1,0,0,1,70.544
1,0,0,0,0,1,0,1,0,0,0,0,1,0,71.045
0,1,1,1,1,1,0,0,1,1,0,0,1,1,68.626
1,1,1,1,1,1,0,1,0,0,0,1,1,0,68.789
1,1,1,1,0,0,1,0,1,1,0,0,1,0,68.596
0,1,0,1,0,0,1,0,1,0,0,1,0,0,68.872
0,1,0,1,1,0,1,0,1,1,1,0,0,1,71.069
0,0,1,1,0,1,0,1,1,0,0,0,0,0,68.617
0,0,1,1,0,1,0,1,0,1,0,0,1,0,68.441
0,0,0,1,1,0,0,0,0,1,1,0,1,0,68.719
0,1,1,0,1,0,0,1,0,0,0,1,1,0,68.673
0,1,1,1,0,1,0,1,0,0,1,1,1,1,67.977
1,1,0,0,1,1,1,0,0,1,1,1,1,1,68.311
1,1,1,0,0,0,0,1,1,0,0,1,1,1,68.801
1,1,1,1,1,1,0,1,1,0,0,0,1,0,70.529
1,1,0,0,0,1,0,1,1,0,1,1,1,0,69.041
0,1,0,0,0,1,0,1,1,0,0,1,0,0,71.52
1,0,1,1,1,1,0,1,1,0,0,1,1,1,69.855
1,0,0,1,1,1,0,0,1,0,1,0,1,1,70.825
0,1,0,1,1,1,0,1,1,0,0,1,1,0,68.997
1,1,1,1,1,1,1,1,1,0,0,0,1,0,71.917
0,0,1,1,1,1,0,1,1,1,1,1,1,1,68.42
0,1,1,0,0,0,0,0,0,1,0,1,1,1,68.811
1,0,1,0,0,0,1,1,1,0,0,0,0,1,68.761
1,1,0,1,0,0,0,0,0,0,0,0,1,0,68.237
0,1,1,0,1,1,1,1,1,1,0,0,1,1,71.44
1,1,1,1,1,0,1,0,1,0,0,0,1,1,68.359
1,1,1,0,0,1,0,0,0,1,1,1,0,0,68.954
0,1,1,1,1,0,1,0,0,1,1,1,1,0,68.442
1,1,1,1,1,0,1,0,1,1,0,1,1,0,68.905
1,0,0,0,1,0,1,1,1,1,0,0,0,0,68.674
0,1,0,0,0,1,0,1,1,0,0,1,1,1,68.924
0,1,0,0,1,0,0,1,1,1,0,0,1,1,71.075
0,1,1,0,0,0,0,0,1,1,0,1,0,1,72.414
1,0,0,1,1,1,0,1,0,1,1,1,1,0,68.703
0,0,1,0,1,0,0,1,1,1,1,0,1,0,70.764
0,1,1,1,1,0,0,1,1,1,1,1,1,1,69.044
1,0,0,1,1,1,0,1,0,1,1,1,0,1,69.469
0,0,0,1,0,0,1,0,0,1,1,1,1,1,71.862
1,0,0,0,1,1,1,0,0,0,0,0,0,0,68.461
1,1,0,1,0,1,1,0,1,1,0,0,0,1,69.184
1,1,1,0,1,0,1,1,0,0,1,1,0,1,69.028
0,0,1,0,0,0,0,0,1,0,0,0,0,1,71.36
1,1,0,1,1,0,1,0,1,1,1,1,1,1,68.095
0,0,1,1,1,1,0,1,0,0,0,1,0,1,68.772
0,0,1,1,1,1,1,0,1,0,0,1,0,0,68.936
0,1,1,1,0,0,0,0,0,1,1,1,1,1,68.755
0,1,1,0,1,1,0,0,1,1,1,1,0,1,68.282
1,0,0,1,1,1,1,0,0,1,0,1,0,0,68.932
0,1,0,1,1,1,1,1,1,0,0,1,1,1,68.055
1,0,1,1,0,0,0,0,0,0,1,1,1,0,68.182
1,1,0,0,0,1,0,1,0,1,1,1,0,1,69.331
0,1,0,0,0,0,0,1,1,0,0,0,0,1,70.13
0,1,1,0,1,0,1,0,0,0,0,1,1,1,68.506
1,0,1,1,0,0,0,0,1,1,1,0,0,0,68.641
1,1,1,0,1,1,0,1,1,0,0,1,0,1,68.689
0,1,1,1,1,1,1,0,0,1,0,0,0,0,68.736
1,0,1,0,1,1,0,1,1,1,1,1,1,0,68.663
0,0,1,0,1,0,0,1,1,0,0,1,0,0,68.719
1,0,0,1,1,1,0,1,0,1,0,0,1,0,69.66
1,0,1,1,1,0,0,0,1,0,0,1,0,1,69.023
1,0,0,0,1,1,1,1,1,1,1,1,0,0,70.367
0,0,0,0,1,0,0,1,0,0,0,0,1,0,68.354
0,1,1,0,0,0,1,0,0,1,1,1,1,1,68.928
0,1,1,1,0,1,1,0,1,1,0,1,0,0,68.784
0,0,0,0,1,1,1,1,1,0,0,1,1,1,68.75
1,1,1,0,0,1,1,0,1,0,0,1,1,1,68.776
0,1,1,0,0,1,1,0,1,0,0,0,0,0,68.699
1,1,1,0,0,1,0,1,1,1,1,0,1,0,68.697
0,1,1,1,0,1,0,0,1,0,0,0,1,0,68.969
1,1,1,1,0,1,0,0,1,0,1,1,1,1,70.274
1,1,1,0,1,0,1,1,0,1,1,1,0,0,69.056
1,1,0,1,0,0,1,0,0,0,0,1,0,0,68.871
1,1,0,0,1,0,0,0,1,1,1,0,1,1,70.994
1,1,0,0,0,1,0,1,0,0,0,1,0,0,69.437
0,1,0,1,1,1,1,0,0,1,1,0,0,0,69.105
0,1,0,0,1,1,0,0,0,0,0,1,1,1,68.861
0,0,1,0,1,1,1,1,0,1,0,0,1,0,69.126
0,0,0,0,0,1,1,1,1,0,1,0,1,1,68.532
0,1,1,1,1,1,0,0,0,1,0,1,0,1,68.369
1,1,1,1,1,0,1,0,1,0,0,1,1,1,67.848
0,1,1,1,0,1,1,0,0,1,1,0,1,1,68.213
0,0,0,0,0,0,1,0,1,0,1,0,0,0,70.82
0,0,0,1,0,0,0,0,1,0,1,0,0,1,68.67
0,1,0,0,0,0,0,0,0,1,1,0,1,1,70.501
1,1,0,0,1,1,1,1,1,1,1,0,0,1,68.952
0,1,0,1,0,0,1,0,1,0,0,0,1,0,68.58
1,1,1,1,0,0,1,0,0,1,1,1,0,1,70.764
1,1,0,1,0,0,0,0,0,1,1,0,1,0,68.353
1,0,0,1,1,1,1,1,0,0,0,0,0,1,68.376
0,0,0,1,0,1,1,1,1,0,0,1,0,1,71.064
1,1,0,0,0,0,1,0,1,1,0,0,1,0,69.108
0,0,0,1,1,1,0,1,1,0,1,0,1,0,68.374
1,1,0,0,1,1,1,1,0,0,1,0,1,1,68.291
0,1,0,1,0,1,0,1,1,1,0,1,0,1,68.978
0,0,1,1,1,0,0,0,0,1,1,1,1,1,68.702
1,0,0,0,1,0,1,1,1,0,0,1,1,0,68.217
0,0,1,1,1,1,1,1,0,0,1,1,0,1,70.416
0,0,1,1,0,0,1,1,1,1,1,0,1,1,69.057
0,1,0,0,1,1,1,0,0,1,1,1,1,1,70.385
1,0,1,0,1,1,0,1,1,0,0,0,0,1,68.476
0,1,1,0,1,0,1,1,0,0,0,0,0,0,68.313
1,0,0,0,0,0,1,1,0,0,0,1,1,0,68.809
1,1,1,1,1,1,1,0,1,0,1,0,0,0,68.505
0,0,0,1,0,1,1,0,1,1,0,0,0,1,68.966
1,0,0,1,1,0,0,1,0,1,1,0,0,0,69.752
1,0,0,1,0,0,1,0,0,0,1,0,1,0,68.918
1,1,1,0,0,1,0,0,0,0,0,1,1,0,68.53
1,1,0,1,1,1,1,0,0,0,1,0,1,1,67.69
1,0,1,1,0,1,0,1,0,1,1,1,1,0,68.968
1,0,1,1,1,0,0,0,1,1,1,1,1,0,68.96
1,0,1,0,0,1,0,0,1,0,1,0,0,0,68.341
0,0,1,0,0,0,1,1,1,1,0,1,1,1,70.749
0,1,1,1,0,1,0,1,1,0,0,0,0,0,70.638
0,0,1,0,0,0,1,1,1,0,1,1,1,1,67.905
0,1,0,0,1,0,0,1,1,0,1,1,0,1,69.019
1,1,1,1,0,1,1,0,1,0,1,1,1,0,68.266
1,1,0,0,1,0,1,1,0,1,1,0,0,1,69.049
1,0,1,1,1,1,0,1,1,1,1,1,1,1,69.091
0,0,1,1,1,0,1,0,1,1,1,1,1,0,69.611
0,1,0,1,1,1,1,1,1,0,1,0,1,1,70.482
0,0,0,0,0,1,1,0,1,1,1,0,1,0,68.042
1,0,0,0,0,0,1,1,0,1,1,0,1,0,69.164
0,0,0,1,0,0,0,0,0,1,0,0,1,1,70.267
1,1,0,1,0,0,1,1,1,0,0,1,1,1,68.809
1,0,0,0,1,1,1,1,0,0,0,1,0,1,70.906
1,0,1,0,1,0,1,1,0,1,0,1,0,0,68.985
1,0,1,0,1,1,0,1,0,1,1,1,0,1,68.293
1,0,1,1,0,0,0,0,1,1,1,1,1,0,69.882
0,0,1,0,1,1,1,0,0,0,0,0,1,0,68.751
0,1,0,1,1,1,1,1,1,1,1,0,1,0,69.858
0,1,0,1,0,0,0,0,0,0,1,0,1,0,71.367
1,0,0,1,0,0,1,1,0,1,1,1,0,1,69.303
0,1,0,0,0,0,0,0,1,1,0,0,0,1,69.182
0,0,1,0,0,1,1,0,1,1,1,1,0,0,68.815
1,0,1,1,0,1,1,1,1,0,0,0,1,1,68.154
0,1,0,0,1,1,1,1,0,0,0,1,1,0,69.224
1,1,0,0,0,0,0,1,1,1,0,1,0,0,69.273
0,0,1,1,0,1,1,1,0,0,0,1,1,0,68.737
1,0,1,0,0,0,1,1,1,0,1,0,0,1,69.284
0,1,1,0,0,1,0,0,0,1,1,0,0,1,68.69
1,1,0,0,0,0,0,0,0,0,0,1,1,1,68.535
1,0,0,1,0,1,0,0,1,0,1,1,0,0,70.753
1,1,1,0,1,0,1,1,0,1,0,0,0,1,70.493
1,1,0,0,1,1,0,1,0,0,0,1,1,1,68.812
1,0,1,1,0,1,1,1,1,1,0,1,0,1,69.683
0,0,0,0,1,0,1,1,1,0,1,0,0,1,69.286
0,1,1,1,0,1,0,1,0,1,1,1,0,1,68.388
0,0,1,0,1,1,0,0,0,0,0,1,1,1,68.401
0,1,0,1,0,1,0,0,1,0,1,1,1,1,68.249
0,1,1,0,0,0,1,1,0,0,0,0,0,1,68.394
0,1,1,1,1,0,1,0,0,0,0,0,0,1,68.691
1,1,1,1,0,1,0,0,1,0,0,1,0,1,70.191
1,0,1,0,0,1,0,1,1,0,1,1,0,0,68.981
1,0,1,0,0,0,0,1,1,0,1,0,1,0,68.337
0,1,1,0,0,1,0,0,1,0,1,0,1,1,68.153
0,0,0,0,0,0,1,0,1,0,1,1,1,0,68.394
0,0,1,0,1,1,1,0,1,0,0,1,0,0,71.553
0,0,1,1,1,0,0,0,1,0,0,1,0,0,70.921
1,0,1,1,1,0,0,1,0,0,1,1,1,0,68.619
0,0,1,0,1,1,0,1,0,1,0,0,1,1,68.513
1,1,0,0,1,0,0,1,1,1,1,0,1,1,68.839
1,1,0,0,1,1,0,1,0,0,0,1,0,1,70.564
1,0,1,1,0,0,0,0,0,1,0,0,1,0,68.613
1,1,0,0,0,1,0,0,1,1,0,0,1,0,69.077
0,1,0,1,1,0,0,0,0,0,0,1,1,0,68.492
1,0,0,1,0,1,0,0,0,0,1,0,0,1,68.464
1,1,1,0,0,1,0,1,1,0,0,0,1,0,70.639
1,0,0,1,0,1,1,0,1,1,1,1,1,1,69.665
1,1,0,1,1,0,1,1,1,1,1,1,1,0,68.297
1,0,0,1,1,1,1,1,0,1,1,0,0,1,68.718
0,0,1,0,1,1,0,0,0,1,0,0,1,0,69.412
1,1,1,1,0,0,0,1,0,0,0,0,0,0,68.683
1,1,1,1,0,0,1,1,0,0,0,0,0,1,73.422
0,1,1,0,0,0,1,1,1,1,0,1,0,1,68.751
0,0,0,1,1,0,1,0,0,0,0,1,1,0,69.397
0,1,0,1,1,0,1,0,1,0,0,0,1,0,68.802
0,0,0,0,1,0,0,1,1,0,1,1,0,1,69.487
1,1,0,0,0,1,1,1,1,1,1,0,0,0,69.279
0,1,0,1,1,1,0,1,0,1,0,0,0,1,70.594
1,0,0,1,0,0,0,1,0,0,1,1,0,0,69.311
0,0,0,1,1,0,1,1,1,0,1,1,0,1,68.097
1,1,0,1,0,0,1,0,0,1,1,0,1,0,68.634
0,0,0,1,0,1,0,1,1,0,1,1,0,1,69.476
1,1,1,0,0,1,1,1,1,1,0,1,1,0,69.223
0,1,0,0,0,1,1,1,0,1,1,0,1,0,68.828
1,1,0,0,0,0,1,1,1,1,1,1,0,1,69.321
1,0,0,1,1,1,1,1,1,0,0,0,1,1,67.972
1,1,0,0,1,0,0,0,0,1,0,0,1,1,68.79
1,0,0,1,1,1,1,1,1,1,1,1,0,1,69.409
1,1,0,0,0,1,0,0,1,1,1,0,1,1,68.351
1,0,1,1,1,0,1,0,0,0,0,1,1,1,68.66
1,1,1,1,1,1,0,0,0,1,1,0,0,0,69.419
0,1,1,1,1,1,0,0,0,1,0,1,1,1,69.068
0,0,1,1,1,1,1,1,1,0,0,0,1,0,68.792
1,0,1,1,1,1,0,1,0,1,1,0,1,0,68.549
0,1,0,1,1,0,0,1,1,0,0,1,0,0,71.74
1,1,0,0,0,1,1,1,1,0,0,0,0,1,69.801
0,0,0,1,1,1,0,1,0,1,0,1,0,1,69.129
0,1,1,1,0,0,1,1,1,1,1,0,0,1,71.628
1,1,1,1,1,1,1,1,1,1,1,1,0,1,69.743
1,1,0,1,1,1,0,0,1,1,1,0,0,0,69.458
0,1,0,1,0,0,1,1,0,1,0,0,0,1,71.042
0,0,1,0,0,0,1,0,0,0,0,1,0,1,68.336
0,1,0,0,1,0,0,1,0,1,0,1,1,0,68.706
0,0,1,0,1,1,1,1,0,0,0,0,1,1,68.452
0,0,0,0,0,0,0,0,1,1,0,0,0,0,69.132
0,0,0,0,0,0,1,1,1,1,0,0,1,0,70.984
1,1,1,1,1,0,1,0,1,0,1,0,0,0,68.148
0,0,1,0,1,1,0,1,0,0,0,0,1,1,71.198
0,0,1,0,0,1,0,0,1,0,0,1,1,0,68.516
1,0,0,0,1,0,0,1,1,0,1,1,1,0,67.937
1,0,0,1,1,0,0,0,0,0,1,0,0,1,70.19
0,0,0,1,0,1,1,0,0,1,0,0,0,0,69.063
0,1,1,1,0,0,0,0,0,1,0,1,0,0,69.633
0,1,1,1,1,0,1,1,1,0,1,0,1,0,68.154
1,0,1,0,0,1,1,0,0,0,0,0,0,0,68.52
1,0,0,0,1,0,0,1,1,1,0,1,1,0,69.154
0,1,1,0,0,0,1,0,0,0,1,1,0,1,70.849
1,0,1,0,1,1,1,0,0,1,1,0,0,0,68.341
1,0,0,1,0,0,1,0,0,1,1,1,0,1,68.736
1,0,0,0,0,0,1,1,1,0,1,0,1,0,68.478
1,1,0,0,0,0,0,1,0,0,1,1,1,0,69.192
0,1,1,1,0,0,1,1,0,1,1,1,1,0,68.922
1,1,0,1,1,0,0,1,0,0,1,1,0,0,70.482
1,1,0,1,0,0,1,0,0,1,1,1,1,1,70.984
0,1,0,0,0,1,0,1,0,1,1,1,1,0,70.08
0,1,1,1,1,0,0,1,0,1,1,0,1,1,69.605
0,0,0,0,0,0,1,0,1,0,1,0,1,1,68.481
0,1,1,1,1,0,0,0,1,0,0,0,0,0,68.171
0,1,1,1,1,1,1,1,0,0,1,0,1,1,68.308
0,1,0,0,1,0,0,1,0,1,0,0,1,1,69.038
1,0,1,0,0,0,0,1,0,0,1,1,0,0,70.495
1,1,0,0,1,0,0,1,0,0,0,0,1,0,70.694
0,1,0,0,1,1,1,0,1,0,1,1,1,1,69.577
1,1,1,0,0,1,0,1,1,0,1,0,0,1,69.082
1,0,0,0,0,0,1,0,1,1,1,0,1,1,69.365
1,0,0,1,1,0,1,1,1,1,1,1,1,1,71.114
1,1,0,1,1,1,0,0,1,1,0,1,0,0,71.03
0,1,1,1,0,0,1,1,1,1,1,0,0,0,69.395
0,0,0,1,0,1,0,1,0,0,1,0,0,0,70.762
1,0,1,0,0,1,1,0,0,1,1,1,1,0,68.611
0,1,1,0,0,0,0,1,1,1,0,0,1,0,69.174
1,0,0,1,0,1,1,0,0,1,1,1,1,1,69.121
1,0,1,0,1,0,0,0,1,1,1,0,1,0,69.878
1,0,1,1,1,1,1,0,0,1,1,1,1,0,68.884
0,1,1,0,1,1,1,1,0,1,0,1,0,0,70.353
0,0,1,0,0,0,0,0,1,0,1,1,0,1,68.57
0,1,1,1,0,0,0,0,0,0,0,1,0,1,68.615
0,0,1,1,0,0,1,0,0,1,0,0,1,0,69.031
0,1,1,0,0,1,1,0,0,1,0,1,0,0,68.505
0,1,0,1,0,0,0,1,0,0,1,1,0,0,68.902
0,0,1,1,0,1,0,1,0,1,0,1,1,1,68.497
1,1,0,0,0,0,1,1,0,1,1,1,1,0,68.786
0,1,1,1,1,0,1,1,1,1,0,0,0,0,69.099
0,1,0,0,0,0,1,0,0,1,1,0,0,0,71.234
1,0,1,0,0,1,0,1,0,0,1,1,1,0,68.663
0,0,1,1,0,1,1,1,0,1,0,0,0,1,68.357
0,0,1,1,0,1,1,0,0,0,0,1,0,0,71.084
1,1,0,1,1,1,1,0,1,1,0,0,0,0,69.226
1,1,0,0,0,0,0,1,0,1,0,1,1,0,69.609
0,0,1,0,0,0,1,0,1,0,0,1,1,0,68.684
0,0,0,0,1,0,0,1,0,1,1,1,1,1,72.046
0,1,0,1,1,1,0,1,0,0,0,1,1,1,68.865
1,0,0,0,1,0,0,0,0,1,0,1,1,1,68.562
1,0,1,1,0,0,0,1,1,0,1,0,1,0,68.512
0,0,1,0,1,1,1,1,0,0,0,0,0,1,68.512
1,0,0,0,0,1,0,0,1,0,0,1,1,0,68.213
1,0,0,0,1,1,1,1,0,1,0,0,0,1,68.684
0,1,1,1,0,0,0,0,0,0,0,0,1,1,69.289
1,1,0,1,0,1,0,1,1,1,0,0,0,0,69.078
0,1,1,1,0,0,0,1,1,1,0,0,0,0,70.115
0,1,1,1,1,1,0,0,1,1,1,1,1,1,70.737
1,0,0,0,0,0,0,0,0,0,1,0,1,0,70.682
0,1,0,1,0,0,0,1,1,1,0,1,0,0,69.368
0,1,0,0,0,0,1,1,1,1,1,0,0,1,69.716
