SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch
1,0,0,0,1,1,0,1,0,1,1,1,0,0,5.264
0,0,1,1,0,0,1,1,0,1,1,1,1,0,5.129
0,1,1,1,1,0,1,0,0,0,1,0,1,0,4.445
0,0,0,1,0,0,0,0,0,1,0,1,1,0,5.144
0,1,0,1,0,0,1,0,0,1,1,0,1,1,4.568
0,0,1,1,1,0,1,0,1,1,1,0,1,0,4.558
0,0,0,1,1,0,1,0,1,1,0,0,1,0,4.514
0,0,1,0,0,0,0,0,1,0,1,0,1,1,4.518
0,0,1,0,1,0,1,0,0,0,0,0,0,1,4.57
0,1,1,1,1,1,1,0,1,1,0,1,1,1,5.154
1,1,0,1,0,0,0,1,0,1,0,1,0,0,5.273
1,0,1,1,0,0,0,1,1,1,1,0,0,0,4.607
1,1,0,0,1,1,1,0,0,0,0,1,1,0,5.146
1,0,0,1,1,1,1,0,1,1,1,1,0,1,5.323
0,0,0,0,0,1,0,1,0,0,0,0,0,1,4.619
1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.623
0,0,1,1,0,0,1,1,0,0,1,1,0,0,5.097
1,1,1,0,1,0,1,1,1,1,0,1,0,0,5.359
0,0,0,1,1,0,0,0,0,1,1,0,1,0,4.577
1,1,0,0,1,0,0,0,1,0,0,1,1,0,5.133
0,1,0,1,1,0,0,0,0,0,0,1,1,0,5.106
1,0,0,1,0,1,0,0,1,1,1,1,1,0,5.213
1,1,1,1,1,1,0,0,1,1,1,0,0,0,4.694
1,0,1,0,1,1,0,0,1,1,1,1,0,1,5.36
0,0,1,1,0,1,0,1,0,0,1,1,0,1,5.028
0,1,0,1,0,0,1,1,1,1,1,0,1,1,4.468
1,0,0,1,1,1,1,0,1,0,0,1,1,0,5.161
1,0,0,1,1,0,1,0,1,1,0,1,1,0,5.484
0,0,1,1,0,0,0,0,1,1,0,0,1,0,4.569
0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.564
1,0,0,1,1,1,1,1,1,0,1,0,0,1,4.539
1,1,0,0,0,1,0,0,1,0,0,1,0,0,5.254
1,0,1,1,0,0,0,0,0,0,1,1,0,0,5.181
1,0,1,0,1,0,0,0,1,0,0,1,0,0,5.21
0,1,1,1,1,1,0,1,1,0,0,0,0,0,4.483
0,1,0,0,0,1,0,0,1,0,1,1,0,0,5.075
1,0,0,0,1,1,0,0,0,1,1,0,0,1,4.541
1,1,0,1,1,0,0,1,1,0,0,1,0,0,5.322
1,0,1,1,0,1,0,1,1,1,1,0,1,1,4.517
0,1,1,0,1,1,1,0,0,1,1,0,0,1,4.649
1,1,0,1,0,0,1,1,0,0,1,1,1,0,5.191
0,1,0,1,1,0,1,1,0,1,1,0,1,0,4.508
1,0,0,1,1,0,1,1,0,1,0,1,0,1,5.228
1,1,1,0,1,0,0,0,1,0,0,0,0,1,4.579
0,0,1,1,0,0,1,0,0,1,0,1,0,1,5.14
0,1,1,0,0,0,1,1,0,0,1,0,0,1,4.625
0,1,1,1,1,1,0,0,0,1,1,1,0,1,5.183
1,0,1,0,0,0,1,0,1,0,0,1,0,0,5.247
0,0,1,0,0,1,1,0,1,0,0,0,1,1,4.511
1,1,1,0,0,0,0,1,0,0,1,1,1,1,5.114
0,0,0,1,0,1,1,1,1,1,0,0,0,0,4.571
0,1,1,0,0,0,0,0,1,0,1,1,1,1,5.265
0,1,0,0,0,0,0,1,0,1,1,1,1,0,5.237
0,1,1,1,1,0,1,1,1,1,1,0,0,0,4.646
0,0,0,1,1,0,0,0,0,1,1,1,0,1,5.251
1,0,1,0,0,1,0,0,0,0,0,0,1,1,4.599
1,0,1,0,1,1,0,0,1,1,0,1,0,0,5.347
0,1,1,1,0,1,0,0,0,0,0,1,0,0,5.069
1,0,1,1,0,1,0,1,0,0,0,0,1,1,4.544
0,1,1,1,1,0,0,1,1,1,1,0,0,0,4.64
0,1,0,1,1,0,1,0,0,1,1,0,1,0,4.563
0,0,1,1,1,0,0,1,1,1,1,0,1,0,4.479
1,0,1,1,1,1,1,1,0,1,1,0,1,0,4.455
0,0,1,1,1,0,1,0,0,1,1,1,0,1,5.146
1,1,0,0,0,0,1,1,1,1,1,0,1,0,4.585
0,1,1,1,0,1,0,0,0,0,1,1,1,0,5.024
1,1,1,1,0,1,1,1,1,1,1,0,1,1,4.501
1,1,1,0,0,0,1,0,0,1,1,0,1,1,4.473
1,0,0,0,0,1,1,1,1,1,0,1,1,0,5.28
1,1,0,1,1,0,1,1,0,1,0,1,1,1,5.338
1,0,1,1,1,1,0,0,1,0,1,0,0,1,4.618
0,0,1,1,0,0,1,0,0,0,1,0,1,0,4.411
1,1,0,1,0,1,0,1,0,1,0,0,0,0,4.681
1,1,1,0,0,1,1,0,1,0,0,1,0,0,5.203
1,1,0,1,0,1,1,0,1,1,0,1,0,1,5.429
1,0,1,0,1,0,1,1,0,1,0,1,1,0,5.285
1,0,1,1,0,1,0,0,1,0,1,1,0,1,5.235
1,0,0,0,1,0,0,1,0,1,1,0,1,1,4.566
1,0,0,1,0,0,0,1,1,1,1,0,0,0,4.541
1,0,1,0,0,1,1,1,1,1,1,0,0,1,4.589
1,0,0,0,0,1,0,1,0,0,0,0,1,0,4.559
0,1,1,1,1,1,0,0,1,1,0,0,1,1,4.547
1,1,1,1,1,1,0,1,0,0,0,1,1,0,5.164
1,1,1,1,0,0,1,0,1,1,0,0,1,0,4.559
0,1,0,1,0,0,1,0,1,0,0,1,0,0,5.203
0,1,0,1,1,0,1,0,1,1,1,0,0,1,4.611
0,0,1,1,0,1,0,1,1,0,0,0,0,0,4.607
0,0,1,1,0,1,0,1,0,1,0,0,1,0,4.607
0,0,0,1,1,0,0,0,0,1,1,0,1,0,4.601
0,1,1,0,1,0,0,1,0,0,0,1,1,0,5.862
0,1,1,1,0,1,0,1,0,0,1,1,1,1,5.175
1,1,0,0,1,1,1,0,0,1,1,1,1,1,5.407
1,1,1,0,0,0,0,1,1,0,0,1,1,1,5.235
1,1,1,1,1,1,0,1,1,0,0,0,1,0,4.574
1,1,0,0,0,1,0,1,1,0,1,1,1,0,5.32
0,1,0,0,0,1,0,1,1,0,0,1,0,0,5.108
1,0,1,1,1,1,0,1,1,0,0,1,1,1,5.21
1,0,0,1,1,1,0,0,1,0,1,0,1,1,4.427
0,1,0,1,1,1,0,1,1,0,0,1,1,0,5.136
1,1,1,1,1,1,1,1,1,0,0,0,1,0,4.542
0,0,1,1,1,1,0,1,1,1,1,1,1,1,5.153
0,1,1,0,0,0,0,0,0,1,0,1,1,1,5.206
1,0,1,0,0,0,1,1,1,0,0,0,0,1,4.6
1,1,0,1,0,0,0,0,0,0,0,0,1,0,4.549
0,1,1,0,1,1,1,1,1,1,0,0,1,1,4.557
1,1,1,1,1,0,1,0,1,0,0,0,1,1,4.603
1,1,1,0,0,1,0,0,0,1,1,1,0,0,5.166
0,1,1,1,1,0,1,0,0,1,1,1,1,0,5.208
1,1,1,1,1,0,1,0,1,1,0,1,1,0,5.242
1,0,0,0,1,0,1,1,1,1,0,0,0,0,4.626
0,1,0,0,0,1,0,1,1,0,0,1,1,1,5.113
0,1,0,0,1,0,0,1,1,1,0,0,1,1,4.466
0,1,1,0,0,0,0,0,1,1,0,1,0,1,5.233
1,0,0,1,1,1,0,1,0,1,1,1,1,0,5.226
0,0,1,0,1,0,0,1,1,1,1,0,1,0,4.467
0,1,1,1,1,0,0,1,1,1,1,1,1,1,5.126
1,0,0,1,1,1,0,1,0,1,1,1,0,1,5.347
0,0,0,1,0,0,1,0,0,1,1,1,1,1,5.186
1,0,0,0,1,1,1,0,0,0,0,0,0,0,4.583
1,1,0,1,0,1,1,0,1,1,0,0,0,1,4.649
1,1,1,0,1,0,1,1,0,0,1,1,0,1,5.219
0,0,1,0,0,0,0,0,1,0,0,0,0,1,4.563
1,1,0,1,1,0,1,0,1,1,1,1,1,1,5.172
0,0,1,1,1,1,0,1,0,0,0,1,0,1,5.117
0,0,1,1,1,1,1,0,1,0,0,1,0,0,5.142
0,1,1,1,0,0,0,0,0,1,1,1,1,1,5.167
0,1,1,0,1,1,0,0,1,1,1,1,0,1,5.248
1,0,0,1,1,1,1,0,0,1,0,1,0,0,5.411
0,1,0,1,1,1,1,1,1,0,0,1,1,1,5.112
1,0,1,1,0,0,0,0,0,0,1,1,1,0,5.42
1,1,0,0,0,1,0,1,0,1,1,1,0,1,5.212
0,1,0,0,0,0,0,1,1,0,0,0,0,1,4.543
0,1,1,0,1,0,1,0,0,0,0,1,1,1,5.256
1,0,1,1,0,0,0,0,1,1,1,0,0,0,4.505
1,1,1,0,1,1,0,1,1,0,0,1,0,1,5.381
0,1,1,1,1,1,1,0,0,1,0,0,0,0,4.567
1,0,1,0,1,1,0,1,1,1,1,1,1,0,5.194
0,0,1,0,1,0,0,1,1,0,0,1,0,0,5.147
1,0,0,1,1,1,0,1,0,1,0,0,1,0,4.482
1,0,1,1,1,0,0,0,1,0,0,1,0,1,5.264
1,0,0,0,1,1,1,1,1,1,1,1,0,0,5.233
0,0,0,0,1,0,0,1,0,0,0,0,1,0,4.528
0,1,1,0,0,0,1,0,0,1,1,1,1,1,5.13
0,1,1,1,0,1,1,0,1,1,0,1,0,0,5.234
0,0,0,0,1,1,1,1,1,0,0,1,1,1,5.064
1,1,1,0,0,1,1,0,1,0,0,1,1,1,5.377
0,1,1,0,0,1,1,0,1,0,0,0,0,0,4.537
1,1,1,0,0,1,0,1,1,1,1,0,1,0,4.503
0,1,1,1,0,1,0,0,1,0,0,0,1,0,4.548
1,1,1,1,0,1,0,0,1,0,1,1,1,1,5.14
1,1,1,0,1,0,1,1,0,1,1,1,0,0,5.31
1,1,0,1,0,0,1,0,0,0,0,1,0,0,5.19
1,1,0,0,1,0,0,0,1,1,1,0,1,1,4.561
1,1,0,0,0,1,0,1,0,0,0,1,0,0,5.222
0,1,0,1,1,1,1,0,0,1,1,0,0,0,4.533
0,1,0,0,1,1,0,0,0,0,0,1,1,1,5.176
0,0,1,0,1,1,1,1,0,1,0,0,1,0,4.527
0,0,0,0,0,1,1,1,1,0,1,0,1,1,4.514
0,1,1,1,1,1,0,0,0,1,0,1,0,1,5.274
1,1,1,1,1,0,1,0,1,0,0,1,1,1,5.258
0,1,1,1,0,1,1,0,0,1,1,0,1,1,4.492
0,0,0,0,0,0,1,0,1,0,1,0,0,0,4.564
0,0,0,1,0,0,0,0,1,0,1,0,0,1,4.503
0,1,0,0,0,0,0,0,0,1,1,0,1,1,4.614
1,1,0,0,1,1,1,1,1,1,1,0,0,1,4.548
0,1,0,1,0,0,1,0,1,0,0,0,1,0,4.535
1,1,1,1,0,0,1,0,0,1,1,1,0,1,5.337
1,1,0,1,0,0,0,0,0,1,1,0,1,0,4.597
1,0,0,1,1,1,1,1,0,0,0,0,0,1,4.621
0,0,0,1,0,1,1,1,1,0,0,1,0,1,5.191
1,1,0,0,0,0,1,0,1,1,0,0,1,0,4.56
0,0,0,1,1,1,0,1,1,0,1,0,1,0,4.46
1,1,0,0,1,1,1,1,0,0,1,0,1,1,4.595
0,1,0,1,0,1,0,1,1,1,0,1,0,1,5.233
0,0,1,1,1,0,0,0,0,1,1,1,1,1,5.222
1,0,0,0,1,0,1,1,1,0,0,1,1,0,5.135
0,0,1,1,1,1,1,1,0,0,1,1,0,1,5.031
0,0,1,1,0,0,1,1,1,1,1,0,1,1,4.472
0,1,0,0,1,1,1,0,0,1,1,1,1,1,5.209
1,0,1,0,1,1,0,1,1,0,0,0,0,1,4.634
0,1,1,0,1,0,1,1,0,0,0,0,0,0,4.496
1,0,0,0,0,0,1,1,0,0,0,1,1,0,5.259
1,1,1,1,1,1,1,0,1,0,1,0,0,0,4.597
0,0,0,1,0,1,1,0,1,1,0,0,0,1,4.692
1,0,0,1,1,0,0,1,0,1,1,0,0,0,4.627
1,0,0,1,0,0,1,0,0,0,1,0,1,0,4.547
1,1,1,0,0,1,0,0,0,0,0,1,1,0,5.219
1,1,0,1,1,1,1,0,0,0,1,0,1,1,4.479
1,0,1,1,0,1,0,1,0,1,1,1,1,0,5.149
1,0,1,1,1,0,0,0,1,1,1,1,1,0,5.222
1,0,1,0,0,1,0,0,1,0,1,0,0,0,4.644
0,0,1,0,0,0,1,1,1,1,0,1,1,1,5.165
0,1,1,1,0,1,0,1,1,0,0,0,0,0,4.527
0,0,1,0,0,0,1,1,1,0,1,1,1,1,5.029
0,1,0,0,1,0,0,1,1,0,1,1,0,1,5.119
1,1,1,1,0,1,1,0,1,0,1,1,1,0,5.128
1,1,0,0,1,0,1,1,0,1,1,0,0,1,4.564
1,0,1,1,1,1,0,1,1,1,1,1,1,1,5.163
0,0,1,1,1,0,1,0,1,1,1,1,1,0,5.142
0,1,0,1,1,1,1,1,1,0,1,0,1,1,4.562
0,0,0,0,0,1,1,0,1,1,1,0,1,0,4.773
1,0,0,0,0,0,1,1,0,1,1,0,1,0,4.667
0,0,0,1,0,0,0,0,0,1,0,0,1,1,4.542
1,1,0,1,0,0,1,1,1,0,0,1,1,1,5.146
1,0,0,0,1,1,1,1,0,0,0,1,0,1,5.22
1,0,1,0,1,0,1,1,0,1,0,1,0,0,5.249
1,0,1,0,1,1,0,1,0,1,1,1,0,1,5.287
1,0,1,1,0,0,0,0,1,1,1,1,1,0,5.261
0,0,1,0,1,1,1,0,0,0,0,0,1,0,4.504
0,1,0,1,1,1,1,1,1,1,1,0,1,0,4.552
0,1,0,1,0,0,0,0,0,0,1,0,1,0,4.42
1,0,0,1,0,0,1,1,0,1,1,1,0,1,5.27
0,1,0,0,0,0,0,0,1,1,0,0,0,1,4.875
0,0,1,0,0,1,1,0,1,1,1,1,0,0,5.299
1,0,1,1,0,1,1,1,1,0,0,0,1,1,4.545
0,1,0,0,1,1,1,1,0,0,0,1,1,0,5.029
1,1,0,0,0,0,0,1,1,1,0,1,0,0,5.348
0,0,1,1,0,1,1,1,0,0,0,1,1,0,5.17
1,0,1,0,0,0,1,1,1,0,1,0,0,1,4.605
0,1,1,0,0,1,0,0,0,1,1,0,0,1,4.544
1,1,0,0,0,0,0,0,0,0,0,1,1,1,5.876
1,0,0,1,0,1,0,0,1,0,1,1,0,0,5.141
1,1,1,0,1,0,1,1,0,1,0,0,0,1,4.585
1,1,0,0,1,1,0,1,0,0,0,1,1,1,5.268
1,0,1,1,0,1,1,1,1,1,0,1,0,1,5.428
0,0,0,0,1,0,1,1,1,0,1,0,0,1,4.599
0,1,1,1,0,1,0,1,0,1,1,1,0,1,5.266
0,0,1,0,1,1,0,0,0,0,0,1,1,1,5.098
0,1,0,1,0,1,0,0,1,0,1,1,1,1,5.748
0,1,1,0,0,0,1,1,0,0,0,0,0,1,4.526
0,1,1,1,1,0,1,0,0,0,0,0,0,1,4.5
1,1,1,1,0,1,0,0,1,0,0,1,0,1,5.182
1,0,1,0,0,1,0,1,1,0,1,1,0,0,5.204
1,0,1,0,0,0,0,1,1,0,1,0,1,0,4.477
0,1,1,0,0,1,0,0,1,0,1,0,1,1,4.509
0,0,0,0,0,0,1,0,1,0,1,1,1,0,5.115
0,0,1,0,1,1,1,0,1,0,0,1,0,0,5.177
0,0,1,1,1,0,0,0,1,0,0,1,0,0,5.164
1,0,1,1,1,0,0,1,0,0,1,1,1,0,5.247
0,0,1,0,1,1,0,1,0,1,0,0,1,1,4.55
1,1,0,0,1,0,0,1,1,1,1,0,1,1,4.631
1,1,0,0,1,1,0,1,0,0,0,1,0,1,5.199
1,0,1,1,0,0,0,0,0,1,0,0,1,0,4.572
1,1,0,0,0,1,0,0,1,1,0,0,1,0,4.567
0,1,0,1,1,0,0,0,0,0,0,1,1,0,5.169
1,0,0,1,0,1,0,0,0,0,1,0,0,1,4.502
1,1,1,0,0,1,0,1,1,0,0,0,1,0,4.534
1,0,0,1,0,1,1,0,1,1,1,1,1,1,5.245
1,1,0,1,1,0,1,1,1,1,1,1,1,0,5.172
1,0,0,1,1,1,1,1,0,1,1,0,0,1,4.623
0,0,1,0,1,1,0,0,0,1,0,0,1,0,4.544
1,1,1,1,0,0,0,1,0,0,0,0,0,0,4.554
1,1,1,1,0,0,1,1,0,0,0,0,0,1,4.57
0,1,1,0,0,0,1,1,1,1,0,1,0,1,5.278
0,0,0,1,1,0,1,0,0,0,0,1,1,0,5.135
0,1,0,1,1,0,1,0,1,0,0,0,1,0,4.583
0,0,0,0,1,0,0,1,1,0,1,1,0,1,5.086
1,1,0,0,0,1,1,1,1,1,1,0,0,0,4.594
0,1,0,1,1,1,0,1,0,1,0,0,0,1,4.663
1,0,0,1,0,0,0,1,0,0,1,1,0,0,5.136
0,0,0,1,1,0,1,1,1,0,1,1,0,1,5.155
1,1,0,1,0,0,1,0,0,1,1,0,1,0,4.626
0,0,0,1,0,1,0,1,1,0,1,1,0,1,5.133
1,1,1,0,0,1,1,1,1,1,0,1,1,0,5.23
0,1,0,0,0,1,1,1,0,1,1,0,1,0,4.576
1,1,0,0,0,0,1,1,1,1,1,1,0,1,5.173
1,0,0,1,1,1,1,1,1,0,0,0,1,1,4.553
1,1,0,0,1,0,0,0,0,1,0,0,1,1,4.572
1,0,0,1,1,1,1,1,1,1,1,1,0,1,5.398
1,1,0,0,0,1,0,0,1,1,1,0,1,1,4.474
1,0,1,1,1,0,1,0,0,0,0,1,1,1,5.188
1,1,1,1,1,1,0,0,0,1,1,0,0,0,4.605
0,1,1,1,1,1,0,0,0,1,0,1,1,1,5.15
0,0,1,1,1,1,1,1,1,0,0,0,1,0,4.587
1,0,1,1,1,1,0,1,0,1,1,0,1,0,4.536
0,1,0,1,1,0,0,1,1,0,0,1,0,0,5.191
1,1,0,0,0,1,1,1,1,0,0,0,0,1,4.62
0,0,0,1,1,1,0,1,0,1,0,1,0,1,5.216
0,1,1,1,0,0,1,1,1,1,1,0,0,1,4.662
1,1,1,1,1,1,1,1,1,1,1,1,0,1,5.404
1,1,0,1,1,1,0,0,1,1,1,0,0,0,4.616
0,1,0,1,0,0,1,1,0,1,0,0,0,1,4.642
0,0,1,0,0,0,1,0,0,0,0,1,0,1,5.084
0,1,0,0,1,0,0,1,0,1,0,1,1,0,5.203
0,0,1,0,1,1,1,1,0,0,0,0,1,1,4.541
0,0,0,0,0,0,0,0,1,1,0,0,0,0,4.658
0,0,0,0,0,0,1,1,1,1,0,0,1,0,4.477
1,1,1,1,1,0,1,0,1,0,1,0,0,0,4.608
0,0,1,0,1,1,0,1,0,0,0,0,1,1,4.529
0,0,1,0,0,1,0,0,1,0,0,1,1,0,5.117
1,0,0,0,1,0,0,1,1,0,1,1,1,0,5.271
1,0,0,1,1,0,0,0,0,0,1,0,0,1,4.567
0,0,0,1,0,1,1,0,0,1,0,0,0,0,4.594
0,1,1,1,0,0,0,0,0,1,0,1,0,0,5.533
0,1,1,1,1,0,1,1,1,0,1,0,1,0,4.444
1,0,1,0,0,1,1,0,0,0,0,0,0,0,4.619
1,0,0,0,1,0,0,1,1,1,0,1,1,0,5.243
0,1,1,0,0,0,1,0,0,0,1,1,0,1,5.08
1,0,1,0,1,1,1,0,0,1,1,0,0,0,4.549
1,0,0,1,0,0,1,0,0,1,1,1,0,1,5.286
1,0,0,0,0,0,1,1,1,0,1,0,1,0,4.508
1,1,0,0,0,0,0,1,0,0,1,1,1,0,5.206
0,1,1,1,0,0,1,1,0,1,1,1,1,0,5.09
1,1,0,1,1,0,0,1,0,0,1,1,0,0,5.21
1,1,0,1,0,0,1,0,0,1,1,1,1,1,5.256
0,1,0,0,0,1,0,1,0,1,1,1,1,0,5.196
0,1,1,1,1,0,0,1,0,1,1,0,1,1,4.469
0,0,0,0,0,0,1,0,1,0,1,0,1,1,4.5
0,1,1,1,1,0,0,0,1,0,0,0,0,0,4.529
0,1,1,1,1,1,1,1,0,0,1,0,1,1,4.477
0,1,0,0,1,0,0,1,0,1,0,0,1,1,4.617
1,0,1,0,0,0,0,1,0,0,1,1,0,0,5.236
1,1,0,0,1,0,0,1,0,0,0,0,1,0,4.607
0,1,0,0,1,1,1,0,1,0,1,1,1,1,5.162
1,1,1,0,0,1,0,1,1,0,1,0,0,1,4.56
1,0,0,0,0,0,1,0,1,1,1,0,1,1,4.556
1,0,0,1,1,0,1,1,1,1,1,1,1,1,5.171
1,1,0,1,1,1,0,0,1,1,0,1,0,0,5.549
0,1,1,1,0,0,1,1,1,1,1,0,0,0,4.651
0,0,0,1,0,1,0,1,0,0,1,0,0,0,4.505
1,0,1,0,0,1,1,0,0,1,1,1,1,0,5.145
0,1,1,0,0,0,0,1,1,1,0,0,1,0,4.522
1,0,0,1,0,1,1,0,0,1,1,1,1,1,5.311
1,0,1,0,1,0,0,0,1,1,1,0,1,0,4.597
1,0,1,1,1,1,1,0,0,1,1,1,1,0,5.221
0,1,1,0,1,1,1,1,0,1,0,1,0,0,5.223
0,0,1,0,0,0,0,0,1,0,1,1,0,1,5.111
0,1,1,1,0,0,0,0,0,0,0,1,0,1,5.11
0,0,1,1,0,0,1,0,0,1,0,0,1,0,4.578
0,1,1,0,0,1,1,0,0,1,0,1,0,0,5.133
0,1,0,1,0,0,0,1,0,0,1,1,0,0,5.158
0,0,1,1,0,1,0,1,0,1,0,1,1,1,5.194
1,1,0,0,0,0,1,1,0,1,1,1,1,0,5.291
0,1,1,1,1,0,1,1,1,1,0,0,0,0,4.554
0,1,0,0,0,0,1,0,0,1,1,0,0,0,4.637
1,0,1,0,0,1,0,1,0,0,1,1,1,0,5.108
0,0,1,1,0,1,1,1,0,1,0,0,0,1,4.641
0,0,1,1,0,1,1,0,0,0,0,1,0,0,5.188
1,1,0,1,1,1,1,0,1,1,0,0,0,0,4.667
1,1,0,0,0,0,0,1,0,1,0,1,1,0,5.251
0,0,1,0,0,0,1,0,1,0,0,1,1,0,5.117
0,0,0,0,1,0,0,1,0,1,1,1,1,1,5.232
0,1,0,1,1,1,0,1,0,0,0,1,1,1,5.065
1,0,0,0,1,0,0,0,0,1,0,1,1,1,5.221
1,0,1,1,0,0,0,1,1,0,1,0,1,0,4.47
0,0,1,0,1,1,1,1,0,0,0,0,0,1,4.629
1,0,0,0,0,1,0,0,1,0,0,1,1,0,5.18
1,0,0,0,1,1,1,1,0,1,0,0,0,1,4.663
0,1,1,1,0,0,0,0,0,0,0,0,1,1,4.507
1,1,0,1,0,1,0,1,1,1,0,0,0,0,4.663
0,1,1,1,0,0,0,1,1,1,0,0,0,0,4.594
0,1,1,1,1,1,0,0,1,1,1,1,1,1,5.588
1,0,0,0,0,0,0,0,0,0,1,0,1,0,4.591
0,1,0,1,0,0,0,1,1,1,0,1,0,0,5.297
0,1,0,0,0,0,1,1,1,1,1,0,0,1,4.56
