SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq
0,1,0,0,0,1,0,0,1,0,1,1,0,0,2.369
1,0,0,0,1,1,0,0,0,1,1,0,0,1,2.493
1,1,0,1,1,0,0,1,1,0,0,1,0,0,2.382
1,0,1,1,0,1,0,1,1,1,1,0,1,1,2.387
0,1,1,0,1,1,1,0,0,1,1,0,0,1,2.403
1,1,0,1,0,0,1,1,0,0,1,1,1,0,2.417
0,1,0,1,1,0,1,1,0,1,1,0,1,0,2.506
1,0,0,1,1,0,1,1,0,1,0,1,0,1,2.386
1,1,1,0,1,0,0,0,1,0,0,0,0,1,2.417
0,0,1,1,0,0,1,0,0,1,0,1,0,1,2.38
0,1,1,0,0,0,1,1,0,0,1,0,0,1,2.401
0,1,1,1,1,1,0,0,0,1,1,1,0,1,2.385
1,0,1,0,0,0,1,0,1,0,0,1,0,0,2.385
0,0,1,0,0,1,1,0,1,0,0,0,1,1,2.399
1,1,1,0,0,0,0,1,0,0,1,1,1,1,2.378
0,0,0,1,0,1,1,1,1,1,0,0,0,0,2.38
0,1,1,0,0,0,0,0,1,0,1,1,1,1,2.408
0,1,0,0,0,0,0,1,0,1,1,1,1,0,2.362
0,1,1,1,1,0,1,1,1,1,1,0,0,0,2.412
0,0,0,1,1,0,0,0,0,1,1,1,0,1,2.431
1,0,1,0,0,1,0,0,0,0,0,0,1,1,2.431
1,0,1,0,1,1,0,0,1,1,0,1,0,0,2.405
0,1,1,1,0,1,0,0,0,0,0,1,0,0,2.39
1,0,1,1,0,1,0,1,0,0,0,0,1,1,2.462
0,1,1,1,1,0,0,1,1,1,1,0,0,0,2.384
0,1,0,1,1,0,1,0,0,1,1,0,1,0,2.384
0,0,1,1,1,0,0,1,1,1,1,0,1,0,2.431
1,0,1,1,1,1,1,1,0,1,1,0,1,0,2.453
0,0,1,1,1,0,1,0,0,1,1,1,0,1,2.432
1,1,0,0,0,0,1,1,1,1,1,0,1,0,2.403
0,1,1,1,0,1,0,0,0,0,1,1,1,0,2.442
1,1,1,1,0,1,1,1,1,1,1,0,1,1,2.431
1,1,1,0,0,0,1,0,0,1,1,0,1,1,2.366
1,0,0,0,0,1,1,1,1,1,0,1,1,0,2.372
1,1,0,1,1,0,1,1,0,1,0,1,1,1,2.409
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2.386
0,0,1,1,0,0,1,0,0,0,1,0,1,0,2.404
1,1,0,1,0,1,0,1,0,1,0,0,0,0,2.385
1,1,1,0,0,1,1,0,1,0,0,1,0,0,2.388
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2.385
1,0,1,0,1,0,1,1,0,1,0,1,1,0,2.398
1,0,1,1,0,1,0,0,1,0,1,1,0,1,2.38
1,0,0,0,1,0,0,1,0,1,1,0,1,1,2.44
1,0,0,1,0,0,0,1,1,1,1,0,0,0,2.511
1,0,1,0,0,1,1,1,1,1,1,0,0,1,2.403
1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.412
0,1,1,1,1,1,0,0,1,1,0,0,1,1,2.394
1,1,1,1,1,1,0,1,0,0,0,1,1,0,2.533
1,1,1,1,0,0,1,0,1,1,0,0,1,0,2.396
0,1,0,1,0,0,1,0,1,0,0,1,0,0,2.506
0,1,0,1,1,0,1,0,1,1,1,0,0,1,2.444
0,0,1,1,0,1,0,1,1,0,0,0,0,0,2.382
0,0,1,1,0,1,0,1,0,1,0,0,1,0,2.379
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2.383
0,1,1,0,1,0,0,1,0,0,0,1,1,0,2.407
0,1,1,1,0,1,0,1,0,0,1,1,1,1,2.421
1,1,0,0,1,1,1,0,0,1,1,1,1,1,2.388
1,1,1,0,0,0,0,1,1,0,0,1,1,1,2.448
1,1,1,1,1,1,0,1,1,0,0,0,1,0,2.412
1,1,0,0,0,1,0,1,1,0,1,1,1,0,2.408
0,1,0,0,0,1,0,1,1,0,0,1,0,0,2.503
1,0,1,1,1,1,0,1,1,0,0,1,1,1,2.376
1,0,0,1,1,1,0,0,1,0,1,0,1,1,2.413
0,1,0,1,1,1,0,1,1,0,0,1,1,0,2.385
1,1,1,1,1,1,1,1,1,0,0,0,1,0,2.508
0,0,1,1,1,1,0,1,1,1,1,1,1,1,2.382
0,1,1,0,0,0,0,0,0,1,0,1,1,1,2.381
1,0,1,0,0,0,1,1,1,0,0,0,0,1,2.39
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2.392
0,1,1,0,1,1,1,1,1,1,0,0,1,1,2.415
1,1,1,1,1,0,1,0,1,0,0,0,1,1,2.416
1,1,1,0,0,1,0,0,0,1,1,1,0,0,2.411
0,1,1,1,1,0,1,0,0,1,1,1,1,0,2.382
1,1,1,1,1,0,1,0,1,1,0,1,1,0,2.389
1,0,0,0,1,0,1,1,1,1,0,0,0,0,2.43
0,1,0,0,0,1,0,1,1,0,0,1,1,1,2.446
0,1,0,0,1,0,0,1,1,1,0,0,1,1,2.583
0,1,1,0,0,0,0,0,1,1,0,1,0,1,2.439
1,0,0,1,1,1,0,1,0,1,1,1,1,0,2.392
0,0,1,0,1,0,0,1,1,1,1,0,1,0,2.384
0,1,1,1,1,0,0,1,1,1,1,1,1,1,2.383
1,0,0,1,1,1,0,1,0,1,1,1,0,1,2.4
0,0,0,1,0,0,1,0,0,1,1,1,1,1,2.391
1,0,0,0,1,1,1,0,0,0,0,0,0,0,2.398
1,1,0,1,0,1,1,0,1,1,0,0,0,1,2.387
1,1,1,0,1,0,1,1,0,0,1,1,0,1,2.389
0,0,1,0,0,0,0,0,1,0,0,0,0,1,2.378
1,1,0,1,1,0,1,0,1,1,1,1,1,1,2.391
0,0,1,1,1,1,0,1,0,0,0,1,0,1,2.389
0,0,1,1,1,1,1,0,1,0,0,1,0,0,2.384
0,1,1,1,0,0,0,0,0,1,1,1,1,1,2.4
0,1,1,0,1,1,0,0,1,1,1,1,0,1,2.39
1,0,0,1,1,1,1,0,0,1,0,1,0,0,2.403
0,1,0,1,1,1,1,1,1,0,0,1,1,1,2.372
1,0,1,1,0,0,0,0,0,0,1,1,1,0,2.404
1,1,0,0,0,1,0,1,0,1,1,1,0,1,2.399
0,1,0,0,0,0,0,1,1,0,0,0,0,1,2.413
0,1,1,0,1,0,1,0,0,0,0,1,1,1,2.394
1,0,1,1,0,0,0,0,1,1,1,0,0,0,2.398
1,1,1,0,1,1,0,1,1,0,0,1,0,1,2.4
0,1,1,1,1,1,1,0,0,1,0,0,0,0,2.4
1,0,1,0,1,1,0,1,1,1,1,1,1,0,2.399
0,0,1,0,1,0,0,1,1,0,0,1,0,0,2.407
1,0,0,1,1,1,0,1,0,1,0,0,1,0,2.394
1,0,1,1,1,0,0,0,1,0,0,1,0,1,2.382
1,0,0,0,1,1,1,1,1,1,1,1,0,0,2.407
0,0,0,0,1,0,0,1,0,0,0,0,1,0,2.4
0,1,1,0,0,0,1,0,0,1,1,1,1,1,2.389
0,1,1,1,0,1,1,0,1,1,0,1,0,0,2.366
0,0,0,0,1,1,1,1,1,0,0,1,1,1,2.391
1,1,1,0,0,1,1,0,1,0,0,1,1,1,2.4
0,1,1,0,0,1,1,0,1,0,0,0,0,0,2.42
1,1,1,0,0,1,0,1,1,1,1,0,1,0,2.433
0,1,1,1,0,1,0,0,1,0,0,0,1,0,2.446
1,1,1,1,0,1,0,0,1,0,1,1,1,1,2.427
1,1,1,0,1,0,1,1,0,1,1,1,0,0,2.391
1,1,0,1,0,0,1,0,0,0,0,1,0,0,2.462
1,1,0,0,1,0,0,0,1,1,1,0,1,1,2.396
1,1,0,0,0,1,0,1,0,0,0,1,0,0,2.394
0,1,0,1,1,1,1,0,0,1,1,0,0,0,2.383
0,1,0,0,1,1,0,0,0,0,0,1,1,1,2.4
0,0,1,0,1,1,1,1,0,1,0,0,1,0,2.549
0,0,0,0,0,1,1,1,1,0,1,0,1,1,2.393
0,1,1,1,1,1,0,0,0,1,0,1,0,1,2.382
1,1,1,1,1,0,1,0,1,0,0,1,1,1,2.387
0,1,1,1,0,1,1,0,0,1,1,0,1,1,2.433
0,0,0,0,0,0,1,0,1,0,1,0,0,0,2.44
0,0,0,1,0,0,0,0,1,0,1,0,0,1,2.434
0,1,0,0,0,0,0,0,0,1,1,0,1,1,2.373
1,1,0,0,1,1,1,1,1,1,1,0,0,1,2.392
0,1,0,1,0,0,1,0,1,0,0,0,1,0,2.394
1,1,1,1,0,0,1,0,0,1,1,1,0,1,2.384
1,1,0,1,0,0,0,0,0,1,1,0,1,0,2.426
1,0,0,1,1,1,1,1,0,0,0,0,0,1,2.382
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2.42
1,1,0,0,0,0,1,0,1,1,0,0,1,0,2.396
0,0,0,1,1,1,0,1,1,0,1,0,1,0,2.387
1,1,0,0,1,1,1,1,0,0,1,0,1,1,2.38
0,1,0,1,0,1,0,1,1,1,0,1,0,1,2.389
0,0,1,1,1,0,0,0,0,1,1,1,1,1,2.381
1,0,0,0,1,0,1,1,1,0,0,1,1,0,2.385
0,0,1,1,1,1,1,1,0,0,1,1,0,1,2.404
0,0,1,1,0,0,1,1,1,1,1,0,1,1,2.468
0,1,0,0,1,1,1,0,0,1,1,1,1,1,2.432
1,0,1,0,1,1,0,1,1,0,0,0,0,1,2.397
0,1,1,0,1,0,1,1,0,0,0,0,0,0,2.389
1,0,0,0,0,0,1,1,0,0,0,1,1,0,2.408
1,1,1,1,1,1,1,0,1,0,1,0,0,0,2.388
0,0,0,1,0,1,1,0,1,1,0,0,0,1,2.393
1,0,0,1,1,0,0,1,0,1,1,0,0,0,2.43
1,0,0,1,0,0,1,0,0,0,1,0,1,0,2.409
1,1,1,0,0,1,0,0,0,0,0,1,1,0,2.403
1,1,0,1,1,1,1,0,0,0,1,0,1,1,2.383
1,0,1,1,0,1,0,1,0,1,1,1,1,0,2.393
1,0,1,1,1,0,0,0,1,1,1,1,1,0,2.405
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2.391
0,0,1,0,0,0,1,1,1,1,0,1,1,1,2.394
0,1,1,1,0,1,0,1,1,0,0,0,0,0,2.415
0,0,1,0,0,0,1,1,1,0,1,1,1,1,2.402
0,1,0,0,1,0,0,1,1,0,1,1,0,1,2.408
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2.398
1,1,0,0,1,0,1,1,0,1,1,0,0,1,2.442
1,0,1,1,1,1,0,1,1,1,1,1,1,1,2.384
0,0,1,1,1,0,1,0,1,1,1,1,1,0,2.385
0,1,0,1,1,1,1,1,1,0,1,0,1,1,2.395
0,0,0,0,0,1,1,0,1,1,1,0,1,0,2.404
1,0,0,0,0,0,1,1,0,1,1,0,1,0,2.386
0,0,0,1,0,0,0,0,0,1,0,0,1,1,2.426
1,1,0,1,0,0,1,1,1,0,0,1,1,1,2.443
1,0,0,0,1,1,1,1,0,0,0,1,0,1,2.385
1,0,1,0,1,0,1,1,0,1,0,1,0,0,2.377
1,0,1,0,1,1,0,1,0,1,1,1,0,1,2.409
1,0,1,1,0,0,0,0,1,1,1,1,1,0,2.407
0,0,1,0,1,1,1,0,0,0,0,0,1,0,2.436
0,1,0,1,1,1,1,1,1,1,1,0,1,0,2.373
0,1,0,1,0,0,0,0,0,0,1,0,1,0,2.542
1,0,0,1,0,0,1,1,0,1,1,1,0,1,2.4
0,1,0,0,0,0,0,0,1,1,0,0,0,1,2.382
0,0,1,0,0,1,1,0,1,1,1,1,0,0,2.402
1,0,1,1,0,1,1,1,1,0,0,0,1,1,2.391
0,1,0,0,1,1,1,1,0,0,0,1,1,0,2.377
1,1,0,0,0,0,0,1,1,1,0,1,0,0,2.39
0,0,1,1,0,1,1,1,0,0,0,1,1,0,2.404
1,0,1,0,0,0,1,1,1,0,1,0,0,1,2.397
0,1,1,0,0,1,0,0,0,1,1,0,0,1,2.428
1,1,0,0,0,0,0,0,0,0,0,1,1,1,2.406
1,0,0,1,0,1,0,0,1,0,1,1,0,0,2.384
1,1,1,0,1,0,1,1,0,1,0,0,0,1,2.405
1,1,0,0,1,1,0,1,0,0,0,1,1,1,2.387
1,0,1,1,0,1,1,1,1,1,0,1,0,1,2.392
0,0,0,0,1,0,1,1,1,0,1,0,0,1,2.518
0,1,1,1,0,1,0,1,0,1,1,1,0,1,2.379
0,0,1,0,1,1,0,0,0,0,0,1,1,1,2.389
0,1,0,1,0,1,0,0,1,0,1,1,1,1,2.403
0,1,1,0,0,0,1,1,0,0,0,0,0,1,2.393
0,1,1,1,1,0,1,0,0,0,0,0,0,1,2.399
1,1,1,1,0,1,0,0,1,0,0,1,0,1,2.443
1,0,1,0,0,1,0,1,1,0,1,1,0,0,2.402
1,0,1,0,0,0,0,1,1,0,1,0,1,0,2.4
0,1,1,0,0,1,0,0,1,0,1,0,1,1,2.44
0,0,0,0,0,0,1,0,1,0,1,1,1,0,2.442
0,0,1,0,1,1,1,0,1,0,0,1,0,0,2.46
0,0,1,1,1,0,0,0,1,0,0,1,0,0,2.393
1,0,1,1,1,0,0,1,0,0,1,1,1,0,2.41
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2.382
1,1,0,0,1,0,0,1,1,1,1,0,1,1,2.391
1,1,0,0,1,1,0,1,0,0,0,1,0,1,2.413
1,0,1,1,0,0,0,0,0,1,0,0,1,0,2.408
1,1,0,0,0,1,0,0,1,1,0,0,1,0,2.409
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2.405
1,0,0,1,0,1,0,0,0,0,1,0,0,1,2.432
1,1,1,0,0,1,0,1,1,0,0,0,1,0,2.433
1,0,0,1,0,1,1,0,1,1,1,1,1,1,2.385
1,1,0,1,1,0,1,1,1,1,1,1,1,0,2.418
1,0,0,1,1,1,1,1,0,1,1,0,0,1,2.385
0,0,1,0,1,1,0,0,0,1,0,0,1,0,2.39
1,1,1,1,0,0,0,1,0,0,0,0,0,0,2.418
1,1,1,1,0,0,1,1,0,0,0,0,0,1,2.463
0,1,1,0,0,0,1,1,1,1,0,1,0,1,2.394
0,0,0,1,1,0,1,0,0,0,0,1,1,0,2.497
0,1,0,1,1,0,1,0,1,0,0,0,1,0,2.453
0,0,0,0,1,0,0,1,1,0,1,1,0,1,2.414
1,1,0,0,0,1,1,1,1,1,1,0,0,0,2.435
0,1,0,1,1,1,0,1,0,1,0,0,0,1,2.37
1,0,0,1,0,0,0,1,0,0,1,1,0,0,2.391
0,0,0,1,1,0,1,1,1,0,1,1,0,1,2.381
1,1,0,1,0,0,1,0,0,1,1,0,1,0,2.399
0,0,0,1,0,1,0,1,1,0,1,1,0,1,2.422
1,1,1,0,0,1,1,1,1,1,0,1,1,0,2.412
0,1,0,0,0,1,1,1,0,1,1,0,1,0,2.397
1,1,0,0,0,0,1,1,1,1,1,1,0,1,2.393
1,0,0,1,1,1,1,1,1,0,0,0,1,1,2.378
1,1,0,0,1,0,0,0,0,1,0,0,1,1,2.421
1,0,0,1,1,1,1,1,1,1,1,1,0,1,2.422
1,1,0,0,0,1,0,0,1,1,1,0,1,1,2.395
1,0,1,1,1,0,1,0,0,0,0,1,1,1,2.405
1,1,1,1,1,1,0,0,0,1,1,0,0,0,2.38
0,1,1,1,1,1,0,0,0,1,0,1,1,1,2.575
0,0,1,1,1,1,1,1,1,0,0,0,1,0,2.398
1,0,1,1,1,1,0,1,0,1,1,0,1,0,2.404
0,1,0,1,1,0,0,1,1,0,0,1,0,0,2.409
1,1,0,0,0,1,1,1,1,0,0,0,0,1,2.419
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2.446
0,1,1,1,0,0,1,1,1,1,1,0,0,1,2.442
1,1,1,1,1,1,1,1,1,1,1,1,0,1,2.451
1,1,0,1,1,1,0,0,1,1,1,0,0,0,2.422
0,1,0,1,0,0,1,1,0,1,0,0,0,1,2.388
0,0,1,0,0,0,1,0,0,0,0,1,0,1,2.394
0,1,0,0,1,0,0,1,0,1,0,1,1,0,2.418
0,0,1,0,1,1,1,1,0,0,0,0,1,1,2.409
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.386
0,0,0,0,0,0,1,1,1,1,0,0,1,0,2.403
1,1,1,1,1,0,1,0,1,0,1,0,0,0,2.424
0,0,1,0,1,1,0,1,0,0,0,0,1,1,2.392
0,0,1,0,0,1,0,0,1,0,0,1,1,0,2.416
1,0,0,0,1,0,0,1,1,0,1,1,1,0,2.412
1,0,0,1,1,0,0,0,0,0,1,0,0,1,2.388
0,0,0,1,0,1,1,0,0,1,0,0,0,0,2.396
0,1,1,1,0,0,0,0,0,1,0,1,0,0,2.437
0,1,1,1,1,0,1,1,1,0,1,0,1,0,2.403
1,0,1,0,0,1,1,0,0,0,0,0,0,0,2.395
1,0,0,0,1,0,0,1,1,1,0,1,1,0,2.364
0,1,1,0,0,0,1,0,0,0,1,1,0,1,2.382
1,0,1,0,1,1,1,0,0,1,1,0,0,0,2.429
1,0,0,1,0,0,1,0,0,1,1,1,0,1,2.431
1,0,0,0,0,0,1,1,1,0,1,0,1,0,2.439
1,1,0,0,0,0,0,1,0,0,1,1,1,0,2.386
0,1,1,1,0,0,1,1,0,1,1,1,1,0,2.384
1,1,0,1,1,0,0,1,0,0,1,1,0,0,2.41
1,1,0,1,0,0,1,0,0,1,1,1,1,1,2.377
0,1,0,0,0,1,0,1,0,1,1,1,1,0,2.378
0,1,1,1,1,0,0,1,0,1,1,0,1,1,2.421
0,0,0,0,0,0,1,0,1,0,1,0,1,1,2.401
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2.384
0,1,1,1,1,1,1,1,0,0,1,0,1,1,2.416
0,1,0,0,1,0,0,1,0,1,0,0,1,1,2.443
1,0,1,0,0,0,0,1,0,0,1,1,0,0,2.434
1,1,0,0,1,0,0,1,0,0,0,0,1,0,2.417
0,1,0,0,1,1,1,0,1,0,1,1,1,1,2.378
1,1,1,0,0,1,0,1,1,0,1,0,0,1,2.392
1,0,0,0,0,0,1,0,1,1,1,0,1,1,2.39
1,0,0,1,1,0,1,1,1,1,1,1,1,1,2.395
1,1,0,1,1,1,0,0,1,1,0,1,0,0,2.377
0,1,1,1,0,0,1,1,1,1,1,0,0,0,2.378
0,0,0,1,0,1,0,1,0,0,1,0,0,0,2.388
1,0,1,0,0,1,1,0,0,1,1,1,1,0,2.557
0,1,1,0,0,0,0,1,1,1,0,0,1,0,2.439
1,0,0,1,0,1,1,0,0,1,1,1,1,1,2.603
1,0,1,0,1,0,0,0,1,1,1,0,1,0,2.448
1,0,1,1,1,1,1,0,0,1,1,1,1,0,2.383
0,1,1,0,1,1,1,1,0,1,0,1,0,0,2.616
0,0,1,0,0,0,0,0,1,0,1,1,0,1,2.382
0,1,1,1,0,0,0,0,0,0,0,1,0,1,2.394
0,0,1,1,0,0,1,0,0,1,0,0,1,0,2.388
0,1,1,0,0,1,1,0,0,1,0,1,0,0,2.39
0,1,0,1,0,0,0,1,0,0,1,1,0,0,2.382
0,0,1,1,0,1,0,1,0,1,0,1,1,1,2.417
1,1,0,0,0,0,1,1,0,1,1,1,1,0,2.368
0,1,1,1,1,0,1,1,1,1,0,0,0,0,2.392
0,1,0,0,0,0,1,0,0,1,1,0,0,0,2.385
1,0,1,0,0,1,0,1,0,0,1,1,1,0,2.389
0,0,1,1,0,1,1,1,0,1,0,0,0,1,2.384
0,0,1,1,0,1,1,0,0,0,0,1,0,0,2.412
1,1,0,1,1,1,1,0,1,1,0,0,0,0,2.59
1,1,0,0,0,0,0,1,0,1,0,1,1,0,2.389
0,0,1,0,0,0,1,0,1,0,0,1,1,0,2.387
0,0,0,0,1,0,0,1,0,1,1,1,1,1,2.393
0,1,0,1,1,1,0,1,0,0,0,1,1,1,2.386
1,0,0,0,1,0,0,0,0,1,0,1,1,1,2.393
1,0,1,1,0,0,0,1,1,0,1,0,1,0,2.398
0,0,1,0,1,1,1,1,0,0,0,0,0,1,2.605
1,0,0,0,0,1,0,0,1,0,0,1,1,0,2.383
1,0,0,0,1,1,1,1,0,1,0,0,0,1,2.378
0,1,1,1,0,0,0,0,0,0,0,0,1,1,2.421
1,1,0,1,0,1,0,1,1,1,0,0,0,0,2.435
0,1,1,1,0,0,0,1,1,1,0,0,0,0,2.517
0,1,1,1,1,1,0,0,1,1,1,1,1,1,2.373
1,0,0,0,0,0,0,0,0,0,1,0,1,0,2.381
0,1,0,1,0,0,0,1,1,1,0,1,0,0,2.388
0,1,0,0,0,0,1,1,1,1,1,0,0,1,2.442
